Running Env Steps,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Running Reverse KL,Itration,Real Det Return
0,0,442.5546,-24.251375198364258,238.83,238.9865,0,190.76
5000,1,438.8834,-643.1152954101562,334.71,272.9001,1,294.79
10000,2,432.4681,-1089.1475830078125,376.26,252.6107,2,462.31
15000,3,418.4564,-1224.31005859375,416.45,241.6101,3,420.91
20000,4,441.5611,-984.133056640625,439.31,268.1732,4,410.55
25000,5,442.2594,-733.5736694335938,423.41,259.8115,5,424.83
30000,6,432.5445,-1537.29541015625,417.53,247.0754,6,419.19
35000,7,425.1776,-2112.464111328125,428.31,247.7835,7,354.38
40000,8,427.9932,-2333.43505859375,517.87,246.4968,8,496.77
45000,9,446.6961,-2196.123779296875,460.77,260.4032,9,384.94
50000,10,415.6901,-2516.72802734375,499.04,241.1956,10,556.62
55000,11,413.6788,-2941.53955078125,512.27,248.4551,11,555.51
60000,12,411.5067,-3085.22900390625,474.29,276.6822,12,420.15
65000,13,411.6791,-3734.63623046875,467.34,313.9573,13,422.5
70000,14,403.2496,-3638.7060546875,506.99,256.6647,14,484.19
75000,15,397.5366,-3492.7080078125,508.05,252.0247,15,589.79
80000,16,403.5659,-3735.8544921875,578.0,253.459,16,630.37
85000,17,390.1268,-4197.13818359375,605.8,264.7865,17,590.91
90000,18,391.9609,-4696.482421875,577.64,286.8172,18,555.49
95000,19,388.9048,-4746.81591796875,542.02,263.2869,19,471.39
100000,20,386.8819,-4865.4228515625,569.59,250.596,20,626.58
105000,21,384.9006,-5265.2919921875,583.72,271.62,21,771.12
110000,22,388.2848,-5414.03466796875,617.51,257.8144,22,741.69
115000,23,388.8493,-5146.02880859375,544.48,246.1359,23,791.48
120000,24,404.2283,-5546.0673828125,562.37,266.2361,24,369.91
125000,25,383.9739,-5644.55908203125,656.31,246.574,25,753.48
130000,26,392.2714,-6152.3134765625,587.77,238.7091,26,717.01
135000,27,398.3443,-6691.8056640625,612.79,281.7381,27,652.15
140000,28,391.0551,-6974.89453125,512.29,258.8901,28,548.96
145000,29,403.4805,-6832.3642578125,522.62,258.7982,29,469.99
150000,30,382.0758,-7547.57763671875,543.94,288.0743,30,574.89
155000,31,377.8252,-7277.3125,633.16,257.5235,31,602.91
160000,32,395.5848,-7760.4287109375,624.54,298.5042,32,666.43
165000,33,389.9346,-7416.65380859375,662.99,263.8614,33,603.87
170000,34,373.1034,-7351.37744140625,709.27,241.9601,34,609.02
175000,35,401.7453,-8235.2861328125,584.35,274.9266,35,571.97
180000,36,380.2659,-7803.9287109375,686.66,250.7844,36,618.3
185000,37,390.7889,-7840.1435546875,701.52,236.9682,37,806.09
190000,38,393.7384,-8542.7021484375,698.42,251.7039,38,712.38
195000,39,391.0595,-8184.9765625,729.37,231.5668,39,666.19
200000,40,372.9273,-7758.11767578125,1019.09,225.8675,40,889.77
205000,41,403.0252,-8857.8525390625,655.57,260.9313,41,580.45
210000,42,380.5144,-8417.5771484375,880.27,239.51,42,830.97
