Itration,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return
0,76.1593,291.69,26.4689,-113.53
1,74.1039,350.61,25.3133,-132.72
2,73.186,408.99,25.2883,-88.87
3,73.4267,344.1,26.2455,-24.1
4,72.3876,489.74,27.0689,-17.62
5,71.9234,573.67,27.43,6.57
6,72.8261,612.1,28.6465,10.94
7,71.3949,485.88,29.0027,43.43
8,72.9316,531.61,28.8066,67.58
9,71.5417,678.62,28.3788,85.89
10,71.957,722.96,29.6476,71.08
11,71.148,709.09,29.4767,96.84
12,72.2748,881.67,29.3809,100.92
13,72.3378,619.56,30.457,111.79
14,71.8649,677.45,30.001,117.68
15,73.9055,647.91,30.2431,137.5
16,72.7424,511.88,30.6171,103.32
17,71.4428,631.26,30.3728,119.28
18,73.2765,722.6,30.1708,129.18
