Running Reverse KL,Running Env Steps,Real Sto Return,Itration,Running Forward KL,Running Update Time,Real Det Return,Reward Loss
24.4774,0,-87.49,0,74.141,0,424.81,32.08694076538086
26.298,5000,-48.84,1,74.0512,1,500.47,-0.7103369832038879
27.5702,10000,-17.01,2,73.6694,2,541.05,-45.27950668334961
28.9402,15000,47.24,3,73.2586,3,526.39,-56.40321731567383
29.3648,20000,46.71,4,70.8673,4,699.01,-125.09237670898438
29.8686,25000,47.41,5,73.464,5,649.37,-150.80332946777344
30.442,30000,97.2,6,71.0523,6,646.69,-215.55413818359375
31.6476,35000,158.67,7,71.2623,7,720.85,-271.4078063964844
30.6482,40000,211.06,8,70.5223,8,890.26,-343.57598876953125
31.6632,45000,216.54,9,71.4115,9,801.5,-379.6944580078125
31.4136,50000,202.73,10,69.5609,10,1059.95,-439.8660888671875
30.7789,55000,106.74,11,70.2814,11,581.74,-498.3862609863281
31.1857,60000,149.17,12,72.1245,12,935.4,-555.3352661132812
31.2438,65000,265.79,13,70.7509,13,871.55,-581.1985473632812
30.6689,70000,300.0,14,71.2114,14,573.37,-679.79541015625
30.0682,75000,151.93,15,70.2786,15,558.04,-721.696044921875
31.4867,80000,141.18,16,72.8613,16,503.56,-788.1680908203125
30.5485,85000,305.39,17,69.7532,17,889.78,-833.7853393554688
31.0715,90000,282.02,18,72.2861,18,587.02,-895.891357421875
29.5649,95000,182.6,19,68.5815,19,862.01,-922.8820190429688
28.2288,100000,379.46,20,67.0927,20,1140.35,-960.4179077148438
27.5112,105000,236.8,21,66.891,21,1004.29,-984.6021728515625
28.0752,110000,465.24,22,66.8309,22,1668.56,-1055.302734375
27.4892,115000,544.38,23,66.2487,23,1282.41,-1090.269775390625
29.126,120000,491.81,24,68.1184,24,1402.86,-1178.775634765625
28.5006,125000,718.81,25,65.3725,25,2125.75,-1101.019775390625
28.7832,130000,536.85,26,67.2759,26,1523.3,-1231.690185546875
29.4087,135000,838.01,27,66.8156,27,1433.65,-1252.522216796875
28.6351,140000,554.43,28,67.6025,28,1173.63,-1360.8624267578125
28.6536,145000,907.92,29,66.6458,29,1909.44,-1390.03076171875
30.6704,150000,891.5,30,66.4923,30,1573.34,-1385.389404296875
30.7827,155000,536.62,31,68.1257,31,1269.81,-1503.839599609375
29.5742,160000,962.07,32,68.0117,32,1723.3,-1535.1549072265625
29.8908,165000,1395.83,33,67.8325,33,2141.84,-1604.5123291015625
