Real Sto Return,Running Reverse KL,Real Det Return,Running Forward KL,Itration,Running Env Steps,Running Update Time,Reward Loss
-96.48,25.3212,371.99,74.0249,0,0,0,14.484308242797852
-50.05,27.0962,467.1,74.1238,1,5000,1,1.1208057403564453
-33.48,27.4604,638.7,72.9147,2,10000,2,-12.389726638793945
3.95,27.6054,680.17,73.0897,3,15000,3,-21.163150787353516
41.8,29.7903,598.97,72.9746,4,20000,4,-39.67905044555664
62.72,29.329,782.34,71.9496,5,25000,5,-48.63700866699219
100.96,30.414,737.77,72.9999,6,30000,6,-64.47262573242188
123.55,30.3354,856.24,69.3679,7,35000,7,-71.48880767822266
138.76,30.0102,852.39,70.0338,8,40000,8,-86.16277313232422
225.65,30.7494,901.15,69.2302,9,45000,9,-99.48098754882812
173.9,30.7168,799.41,71.6192,10,50000,10,-117.60142517089844
197.82,31.0776,659.91,73.3206,11,55000,11,-128.0866241455078
247.61,30.8506,903.27,69.8979,12,60000,12,-140.58226013183594
170.33,30.1396,850.24,68.9764,13,65000,13,-154.52224731445312
160.82,28.8687,877.13,66.886,14,70000,14,-159.12652587890625
190.02,30.7377,706.78,71.2884,15,75000,15,-180.08572387695312
251.21,30.1754,914.2,69.3035,16,80000,16,-189.28369140625
190.75,29.7996,922.2,69.456,17,85000,17,-201.9385986328125
217.88,29.8975,986.44,69.0903,18,90000,18,-212.365478515625
217.69,30.1644,811.4,67.9572,19,95000,19,-224.4319305419922
246.24,30.3009,937.82,71.165,20,100000,20,-242.9163818359375
344.6,27.5855,1122.9,64.4846,21,105000,21,-240.599853515625
357.87,29.5719,878.37,67.9773,22,110000,22,-263.4742126464844
239.78,28.8093,914.7,66.846,23,115000,23,-268.9691162109375
234.94,29.6664,823.15,68.8008,24,120000,24,-291.8487854003906
315.63,28.2435,962.82,65.3404,25,125000,25,-290.96038818359375
430.0,27.726,1072.87,64.1093,26,130000,26,-299.8815612792969
260.46,29.6875,919.92,69.2612,27,135000,27,-326.4639587402344
344.49,30.3444,867.0,69.1567,28,140000,28,-343.6859130859375
340.34,28.4129,974.86,65.4094,29,145000,29,-344.0367431640625
402.79,27.8358,1198.15,63.76,30,150000,30,-350.939453125
293.65,29.3561,1001.83,69.0968,31,155000,31,-380.4971008300781
295.6,28.7487,891.51,66.4895,32,160000,32,-381.58056640625
354.91,27.898,1100.8,65.3466,33,165000,33,-395.20306396484375
272.21,30.1177,1015.86,70.0188,34,170000,34,-423.18414306640625
344.65,29.2606,1160.9,65.6807,35,175000,35,-424.1967468261719
305.15,28.8238,905.98,67.3717,36,180000,36,-443.0388488769531
426.04,26.1391,1157.31,60.7002,37,185000,37,-422.89947509765625
352.6,29.8158,967.61,68.8638,38,190000,38,-476.3939208984375
353.4,28.7677,954.04,65.1934,39,195000,39,-479.01416015625
379.22,28.1813,883.59,64.3934,40,200000,40,-489.86773681640625
401.87,27.5022,1119.33,63.0343,41,205000,41,-491.9826965332031
421.27,28.4639,1075.81,65.9194,42,210000,42,-518.7120361328125
438.5,29.6275,1020.81,68.0405,43,215000,43,-548.9288330078125
259.31,28.3926,889.29,64.907,44,220000,44,-544.9332885742188
338.71,28.682,943.81,66.6403,45,225000,45,-563.1344604492188
422.91,25.2641,958.2,58.9979,46,230000,46,-531.2628784179688
420.69,29.3308,918.11,67.8184,47,235000,47,-600.5082397460938
301.79,29.4418,1154.72,66.6247,48,240000,48,-616.9944458007812
399.39,28.3013,1120.61,65.383,49,245000,49,-619.424560546875
452.22,27.7175,1087.84,63.9874,50,250000,50,-628.2537231445312
407.82,29.6863,1003.22,67.7059,51,255000,51,-663.4845581054688
420.94,28.0539,1161.26,64.0614,52,260000,52,-657.3945922851562
558.81,26.4782,1291.03,60.6018,53,265000,53,-635.0989990234375
398.14,27.1167,1118.83,61.8793,54,270000,54,-675.5333862304688
565.44,27.4972,1245.69,62.9515,55,275000,55,-698.2898559570312
476.93,27.4751,1109.29,62.7104,56,280000,56,-712.426513671875
377.59,27.3532,1191.61,63.0143,57,285000,57,-727.895263671875
650.91,27.7039,1279.33,62.8671,58,290000,58,-735.0328979492188
712.16,26.5182,1309.29,61.6373,59,295000,59,-731.4974365234375
768.12,24.9727,1238.59,58.2094,60,300000,60,-717.1663208007812
495.44,26.0414,1199.51,59.2049,61,305000,61,-751.3436279296875
878.97,24.3631,1695.15,56.2175,62,310000,62,-674.8073120117188
471.65,26.2136,1088.09,61.1593,63,315000,63,-805.2345581054688
588.76,27.2392,1166.49,61.9468,64,320000,64,-834.10302734375
686.45,26.2302,1245.25,60.2863,65,325000,65,-827.7334594726562
1017.63,25.7587,1534.8,59.1865,66,330000,66,-829.088623046875
676.16,25.3711,1311.96,59.4093,67,335000,67,-829.1181030273438
464.4,27.4099,1261.99,62.1776,68,340000,68,-902.8092651367188
966.75,25.0591,1511.7,56.8753,69,345000,69,-823.3250732421875
840.55,26.5334,1869.81,60.7763,70,350000,70,-910.65576171875
973.27,26.1426,2133.94,60.1163,71,355000,71,-890.926513671875
