Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Itration,Real Sto Return
434.13,446.6877,-304.7138671875,257.0666,0,0,0,271.66
330.2,426.2404,-1378.01025390625,245.3381,5000,1,1,346.25
252.33,423.7738,-4606.49072265625,241.5921,10000,2,2,437.19
515.99,421.7953,-3862.2783203125,249.1402,15000,3,3,462.85
243.97,433.3355,-5003.0390625,273.5299,20000,4,4,404.27
597.33,421.3444,-4494.03759765625,289.2249,25000,5,5,505.91
450.89,436.9631,-7674.94921875,265.6847,30000,6,6,433.46
409.33,431.4103,-7469.0595703125,275.3617,35000,7,7,398.63
386.77,423.2429,-9533.525390625,266.6291,40000,8,8,477.07
334.82,414.5477,-10558.423828125,257.5662,45000,9,9,473.15
434.87,421.2429,-10525.212890625,252.0737,50000,10,10,475.74
391.18,433.3455,-11478.080078125,262.5675,55000,11,11,468.94
370.31,437.2704,-12594.61328125,269.6205,60000,12,12,416.97
384.63,429.6624,-14260.8994140625,272.1035,65000,13,13,462.2
421.27,422.1896,-14377.16015625,255.3637,70000,14,14,421.98
607.54,410.2511,-13614.9150390625,236.0322,75000,15,15,476.56
409.91,412.3252,-15274.931640625,258.5495,80000,16,16,502.17
440.94,413.6713,-17608.53515625,257.5755,85000,17,17,478.59
509.14,401.2205,-18279.72265625,243.7462,90000,18,18,575.74
674.62,410.2628,-19053.8125,246.6928,95000,19,19,548.59
502.11,411.4737,-19716.12109375,267.9196,100000,20,20,516.23
413.17,418.3329,-21526.24609375,271.6739,105000,21,21,504.61
610.93,416.4382,-20578.576171875,266.0125,110000,22,22,572.08
785.78,413.6497,-21676.03515625,245.1294,115000,23,23,602.1
759.97,403.385,-21452.42578125,256.2187,120000,24,24,784.0
787.92,400.431,-21285.09765625,253.7436,125000,25,25,843.36
556.06,397.5573,-20434.353515625,272.0146,130000,26,26,708.72
709.26,397.9742,-22390.849609375,255.655,135000,27,27,775.41
691.19,400.09,-23031.609375,242.592,140000,28,28,829.47
736.15,398.1878,-22214.0234375,254.1508,145000,29,29,761.02
791.78,387.6088,-23257.150390625,252.0291,150000,30,30,852.16
721.36,394.4887,-22039.853515625,243.4277,155000,31,31,1163.48
603.22,397.4733,-24842.150390625,252.7236,160000,32,32,825.88
492.37,379.1755,-24595.712890625,236.2307,165000,33,33,873.5
710.94,394.6723,-23915.748046875,247.3079,170000,34,34,871.02
575.27,388.65,-28805.744140625,239.8821,175000,35,35,912.09
1139.41,379.451,-23418.716796875,215.6262,180000,36,36,1200.93
882.25,385.3133,-26685.6875,236.5479,185000,37,37,1210.75
770.38,397.52,-26521.18359375,237.5201,190000,38,38,1169.14
569.13,395.4218,-28525.32421875,253.9945,195000,39,39,948.26
660.79,381.1993,-26881.748046875,245.2291,200000,40,40,1253.04
1133.31,381.8403,-26906.556640625,224.8562,205000,41,41,1150.07
731.59,389.5009,-28097.306640625,235.8153,210000,42,42,1275.35
640.67,372.7844,-26091.60546875,211.9682,215000,43,43,1284.91
876.01,355.7981,-23194.54296875,187.7395,220000,44,44,1301.59
981.76,393.4754,-28729.66015625,223.8906,225000,45,45,1426.35
725.88,376.6474,-30309.572265625,207.6241,230000,46,46,1258.31
663.96,372.6688,-28501.896484375,208.956,235000,47,47,1536.18
954.34,387.8024,-27825.2109375,192.3339,240000,48,48,1301.97
987.7,388.4737,-29319.52734375,245.2837,245000,49,49,1708.53
862.67,375.5025,-29123.478515625,218.4734,250000,50,50,1694.26
1030.5,382.1329,-26114.556640625,187.559,255000,51,51,2696.25
810.81,361.7879,-30202.4296875,195.9026,260000,52,52,1852.77
1226.07,346.3574,-28090.65234375,177.3093,265000,53,53,2017.24
938.39,382.0185,-31694.455078125,223.7672,270000,54,54,1355.48
924.56,361.9564,-32937.640625,217.6563,275000,55,55,1665.18
1122.24,376.0061,-33002.63671875,207.7879,280000,56,56,1478.57
1197.39,358.1749,-28087.361328125,189.8001,285000,57,57,1827.91
1583.71,356.2858,-26758.357421875,169.2636,290000,58,58,2516.44
1035.16,342.3421,-25634.017578125,167.9408,295000,59,59,1350.86
1023.28,361.9668,-32246.4765625,210.0878,300000,60,60,1715.24
1150.19,351.1795,-29462.30078125,174.3205,305000,61,61,2457.82
910.64,359.7802,-28610.44921875,170.2078,310000,62,62,2207.34
884.4,387.0433,-35776.76171875,219.5505,315000,63,63,1725.67
1341.25,350.4185,-31033.67578125,181.6862,320000,64,64,2244.49
1956.97,354.0377,-34499.76953125,194.9404,325000,65,65,2225.5
966.98,347.5554,-29488.75,161.8757,330000,66,66,3562.47
1126.37,344.0095,-31892.9765625,173.2391,335000,67,67,2665.06
1455.99,338.6147,-24398.775390625,141.0678,340000,68,68,2903.23
1879.62,356.5349,-30350.91015625,179.2775,345000,69,69,2287.97
936.13,341.8419,-26022.455078125,142.8656,350000,70,70,3095.56
1147.21,346.2967,-32253.95703125,158.4546,355000,71,71,3166.5
918.83,351.9709,-32477.62109375,166.8917,360000,72,72,4103.39
1090.44,365.0791,-30306.8046875,168.1691,365000,73,73,3895.73
2016.09,359.1727,-34052.6875,179.1133,370000,74,74,2994.39
888.5,379.8451,-32198.25390625,186.14,375000,75,75,2143.99
2472.14,348.4748,-33286.6640625,163.87,380000,76,76,3478.05
3475.7,375.4388,-35683.0234375,178.5009,385000,77,77,3747.07
1799.26,375.3049,-40341.14453125,204.4004,390000,78,78,2897.09
