Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Itration
-17.74,158.778,12.3813,-209.98,0
537.97,158.5293,12.2143,-70.24,1
672.22,158.5043,13.3453,233.19,2
775.91,158.0505,14.5828,472.49,3
995.8,158.1957,15.114,611.22,4
1034.0,158.1003,14.9892,700.39,5
1044.08,157.9139,15.1803,784.87,6
968.12,157.6534,15.2802,848.3,7
1127.56,157.9463,15.2898,776.65,8
1422.46,157.913,16.0358,936.16,9
1530.73,157.9971,16.328,997.17,10
1505.19,157.9717,16.7066,1037.92,11
1535.99,157.9781,16.8309,1166.63,12
1599.94,157.9639,17.166,1165.89,13
1627.35,157.8261,16.542,1254.29,14
1739.93,157.9453,16.9191,1244.23,15
1725.77,157.8303,16.9823,1359.62,16
1757.73,158.0026,16.7315,1349.28,17
1792.23,157.7149,16.8044,1387.81,18
1825.7,157.9472,17.0249,1443.57,19
1868.95,157.7457,17.3289,1448.07,20
1854.74,157.6422,16.9374,1532.77,21
1881.26,157.9061,16.7347,1474.79,22
1899.73,157.6837,16.8609,1502.08,23
1876.55,157.7275,16.9616,1544.89,24
1876.0,157.8665,16.6476,1516.81,25
1914.37,157.6585,16.5325,1449.74,26
1903.58,157.5992,16.8598,1572.56,27
1971.73,157.6918,16.8445,1610.21,28
1898.14,157.5145,16.3242,1593.96,29
1944.89,157.4493,16.6449,1600.75,30
1965.19,157.5779,16.5911,1609.9,31
1988.72,157.4633,16.5572,1641.35,32
2000.58,157.4547,16.7865,1619.42,33
2063.76,157.4285,16.8436,1691.47,34
2007.31,157.523,16.682,1643.88,35
2005.85,157.4445,16.5036,1669.85,36
2035.0,157.355,16.5004,1635.42,37
1937.86,157.3474,15.9728,1609.32,38
2020.18,157.2018,16.4195,1681.37,39
2058.74,157.251,16.4135,1711.22,40
