Running Forward KL,Running Reverse KL,Running Update Time,Real Sto Return,Running Env Steps,Itration,Real Det Return,Reward Loss
33.3381,23.3978,0,201.56,0,0,194.63,424.1343994140625
33.6353,19.094,1,220.25,5000,1,220.23,332.98175048828125
35.7726,21.9174,2,376.0,10000,2,419.95,257.4774475097656
31.0034,19.2835,3,304.22,15000,3,304.84,175.95635986328125
29.3971,18.5741,4,348.6,20000,4,422.9,123.23582458496094
30.5339,43.7739,5,288.03,25000,5,288.59,-65.0461654663086
28.279,26.0686,6,355.56,30000,6,423.39,-142.90699768066406
28.6983,29.4176,7,401.47,35000,7,443.13,-152.7386932373047
28.0076,33.389,8,416.1,40000,8,653.32,88.20645141601562
29.1392,20.3372,9,402.4,45000,9,460.12,-28.42070770263672
28.499,29.5333,10,256.1,50000,10,345.75,-27.861635208129883
32.2904,116.1318,11,245.33,55000,11,239.59,89.3926773071289
30.737,18.5166,12,409.01,60000,12,362.24,-122.16841888427734
32.677,38.3967,13,80.03,65000,13,80.31,31.23655891418457
37.6184,232.6679,14,2.55,70000,14,2.72,-423.9031066894531
32.6983,131.4565,15,184.95,75000,15,186.48,-721.3904418945312
36.7611,51.0851,16,991.51,80000,16,992.35,-449.86181640625
34.6418,32.4274,17,478.2,85000,17,476.91,-181.19027709960938
33.2566,107.7357,18,474.67,90000,18,471.67,-157.534912109375
32.2228,141.2455,19,307.24,95000,19,299.61,-167.712158203125
35.3385,31.5163,20,1046.93,100000,20,1046.16,-686.3551025390625
37.2372,36.6159,21,833.48,105000,21,1039.64,-704.5411376953125
37.044,50.7095,22,1009.76,110000,22,1009.76,-785.3028564453125
36.1074,31.3885,23,1037.06,115000,23,1037.47,-614.407958984375
34.8786,42.3778,24,218.02,120000,24,222.51,-920.3839721679688
35.2081,23.2781,25,1020.16,125000,25,1021.78,-778.173583984375
34.681,27.3382,26,1067.81,130000,26,1077.69,-628.8596801757812
39.084,41.4618,27,1002.6,135000,27,1002.77,-1032.282470703125
34.1776,35.6069,28,1160.84,140000,28,1160.33,-830.2013549804688
34.8117,23.3026,29,1111.31,145000,29,1114.22,-801.8021240234375
35.1421,43.7012,30,1068.9,150000,30,1060.18,-1148.018798828125
34.7041,30.5532,31,1059.32,155000,31,1059.51,-1219.275634765625
35.6013,53.9653,32,1037.87,160000,32,1037.89,-1269.6265869140625
34.2784,31.3604,33,1054.07,165000,33,1053.78,-1275.4256591796875
34.7261,35.3636,34,1083.79,170000,34,1083.68,-1008.6060791015625
34.1935,28.7477,35,1151.49,175000,35,1151.43,-914.86181640625
33.6456,55.9933,36,81.8,180000,36,82.23,-1427.402587890625
35.8772,53.4827,37,1040.13,185000,37,1040.68,-1521.684326171875
35.4642,41.2061,38,1045.64,190000,38,1046.43,-1603.441650390625
34.628,25.2015,39,1098.42,195000,39,1100.2,-1122.10595703125
34.8762,21.6126,40,1089.02,200000,40,1085.69,-1216.5308837890625
