Real Sto Return,Running Update Time,Reward Loss,Real Det Return,Running Reverse KL,Running Env Steps,Itration,Running Forward KL
-196.49,0,-283.1088562011719,-35.2,11.7604,0,0,158.5469
-76.73,1,-375.4195861816406,16.97,11.8456,5000,1,158.3887
-0.22,2,-420.7781066894531,85.06,12.3611,10000,2,158.6118
208.9,3,-509.1400146484375,689.67,12.9,15000,3,158.3184
451.28,4,-620.6295166015625,880.5,14.0399,20000,4,158.2156
682.64,5,-707.72216796875,1147.82,14.7848,25000,5,158.0007
659.55,6,-752.1617431640625,1046.83,14.527,30000,6,158.0236
873.89,7,-764.8601684570312,1284.14,15.107,35000,7,158.1362
970.86,8,-852.8428344726562,1326.62,15.937,40000,8,158.0422
1040.34,9,-869.1885375976562,1428.68,15.9554,45000,9,158.1076
1098.63,10,-916.4304809570312,1508.5,16.4118,50000,10,157.9141
1057.37,11,-934.50830078125,1534.21,16.1308,55000,11,157.9698
1094.22,12,-952.5140380859375,1510.25,15.9404,60000,12,157.8103
1196.25,13,-1001.00830078125,1578.06,16.3653,65000,13,157.9904
1206.41,14,-1065.474609375,1646.04,16.3244,70000,14,157.9282
1273.03,15,-1099.9481201171875,1675.81,16.5392,75000,15,157.6937
1312.51,16,-1164.66552734375,1742.2,16.7842,80000,16,157.6548
1319.09,17,-1166.4833984375,1702.85,16.171,85000,17,157.7961
1368.13,18,-1234.7586669921875,1766.68,16.5657,90000,18,157.9297
1368.67,19,-1233.5980224609375,1802.28,16.184,95000,19,157.7277
1438.83,20,-1310.170654296875,1881.43,16.6148,100000,20,157.7821
1462.1,21,-1346.3681640625,1870.93,16.5391,105000,21,157.6163
1426.65,22,-1366.5723876953125,1820.89,16.1651,110000,22,157.8103
1514.79,23,-1399.9561767578125,1884.2,16.4612,115000,23,157.6432
1545.67,24,-1438.09033203125,1919.87,16.5625,120000,24,157.7678
1517.74,25,-1503.9879150390625,1888.23,16.6141,125000,25,157.7923
1569.8,26,-1515.6199951171875,1923.05,16.5942,130000,26,157.5994
1571.97,27,-1530.0921630859375,1935.8,16.6826,135000,27,157.7925
1560.81,28,-1565.703369140625,1918.19,16.3816,140000,28,157.6631
1618.52,29,-1596.627197265625,2001.63,16.7425,145000,29,157.6743
1602.95,30,-1686.787353515625,2019.39,16.8654,150000,30,157.625
1636.37,31,-1693.54345703125,2003.48,16.7431,155000,31,157.4926
1662.72,32,-1720.185302734375,2019.73,16.5024,160000,32,157.4724
1676.29,33,-1751.3980712890625,2040.63,16.7488,165000,33,157.3506
1653.32,34,-1796.7908935546875,2019.11,16.5026,170000,34,157.4875
1626.45,35,-1851.87158203125,1980.36,16.4699,175000,35,157.5877
1633.71,36,-1891.3409423828125,2018.73,16.7399,180000,36,157.4691
1663.62,37,-1916.7408447265625,2059.04,16.7127,185000,37,157.374
1682.07,38,-1945.19580078125,2070.5,16.8272,190000,38,157.4123
1675.2,39,-1978.9951171875,2025.0,16.2476,195000,39,157.3467
1701.9,40,-2021.5626220703125,2089.92,16.5575,200000,40,157.1214
1656.87,41,-2059.77099609375,2018.15,16.1636,205000,41,157.1985
1690.37,42,-2091.922119140625,2055.86,17.03,210000,42,157.6073
1715.14,43,-2126.103759765625,2105.86,16.7153,215000,43,157.4172
1673.98,44,-2170.461181640625,2032.49,16.4045,220000,44,157.2875
1693.28,45,-2214.35107421875,2074.2,16.2301,225000,45,157.2408
1723.47,46,-2273.802001953125,2084.83,17.1598,230000,46,157.4465
1670.94,47,-2290.5517578125,1913.61,15.9721,235000,47,157.2616
1681.32,48,-2343.738525390625,2049.65,15.9802,240000,48,157.1016
1686.84,49,-2371.169921875,2020.18,16.0449,245000,49,157.3317
1738.32,50,-2448.022705078125,2094.09,16.21,250000,50,157.1097
1734.31,51,-2462.555419921875,2043.1,16.3048,255000,51,157.3514
1749.3,52,-2500.02392578125,2087.68,16.828,260000,52,157.3332
1729.43,53,-2548.158203125,2037.59,16.3289,265000,53,156.9961
1741.01,54,-2615.32421875,2091.21,16.553,270000,54,157.3163
1747.74,55,-2619.13232421875,2088.2,16.463,275000,55,157.2496
1732.01,56,-2653.163330078125,2063.63,15.8216,280000,56,157.2239
1738.2,57,-2681.73291015625,2032.71,15.9928,285000,57,156.9961
1720.76,58,-2713.9677734375,2022.04,15.8826,290000,58,157.0523
1701.94,59,-2776.49560546875,2054.75,16.024,295000,59,157.3129
1697.32,60,-2813.72216796875,2012.28,15.6968,300000,60,157.0009
1717.52,61,-2888.9208984375,2111.35,16.2657,305000,61,157.0716
1754.32,62,-2912.790771484375,2111.26,16.1882,310000,62,157.0988
1736.83,63,-2947.37060546875,2095.78,16.1703,315000,63,157.1075
1788.85,64,-3003.14404296875,2115.28,16.0999,320000,64,157.0789
1771.24,65,-3024.384765625,2049.82,15.9809,325000,65,157.0807
1751.42,66,-3085.58642578125,2074.48,16.0315,330000,66,156.98
1757.18,67,-3140.26025390625,2117.93,15.7955,335000,67,156.9651
1764.73,68,-3177.841796875,2103.17,15.823,340000,68,157.027
1758.51,69,-3232.1318359375,2128.62,16.0711,345000,69,157.0584
1802.54,70,-3265.71630859375,2146.7,16.4235,350000,70,157.0608
1743.11,71,-3273.673095703125,2057.57,15.8595,355000,71,157.0289
1773.35,72,-3353.98828125,2095.11,15.7782,360000,72,156.8853
1783.52,73,-3396.37890625,2113.76,15.9114,365000,73,157.0972
1715.38,74,-3434.58740234375,2061.85,15.6881,370000,74,156.9063
