Real Det Return,Running Env Steps,Running Update Time,Running Forward KL,Itration,Real Sto Return,Reward Loss,Running Reverse KL
230.82,0,0,31.9287,0,234.91,280.2853698730469,22.8184
320.69,5000,1,30.0702,1,323.21,430.6099853515625,15.8317
224.43,10000,2,29.9015,2,229.36,238.06739807128906,22.8897
191.02,15000,3,32.2655,3,190.92,85.19258880615234,43.2016
16.34,20000,4,30.5325,4,119.3,539.957763671875,20.0374
280.01,25000,5,30.6617,5,281.96,203.86285400390625,32.576
1007.1,30000,6,37.9614,6,1005.29,42.381858825683594,34.5485
321.56,35000,7,30.3222,7,295.22,-70.85149383544922,51.8839
405.69,40000,8,26.8996,8,381.65,-224.9289093017578,36.829
388.94,45000,9,28.6701,9,392.76,2.840951919555664,48.9439
1000.04,50000,10,37.1231,10,995.67,-145.62286376953125,20.922
1028.39,55000,11,37.0824,11,1021.97,-181.20709228515625,22.1232
1029.99,60000,12,36.8758,12,1027.19,-241.4776153564453,25.7432
1038.55,65000,13,35.3885,13,1040.32,-308.2718505859375,28.2559
503.25,70000,14,33.5854,14,599.02,-488.3974914550781,34.6841
1025.55,75000,15,37.4828,15,1027.4,-436.4922180175781,28.0043
925.34,80000,16,28.249,16,609.15,-272.7211608886719,24.5024
1064.33,85000,17,29.9786,17,789.32,-396.1415100097656,18.9692
568.19,90000,18,24.909,18,545.22,-412.34906005859375,40.0265
419.97,95000,19,26.1762,19,442.42,-647.7283325195312,21.4964
422.66,100000,20,25.9567,20,437.04,-620.7495727539062,18.853
1040.95,105000,21,37.9903,21,1045.12,-721.0369262695312,21.4142
564.3,110000,22,26.7302,22,553.05,-739.6373291015625,34.4429
1031.46,115000,23,38.5477,23,1031.4,-870.2884521484375,27.8789
984.17,120000,24,37.9216,24,981.29,-893.1023559570312,32.7709
1039.01,125000,25,37.3366,25,1040.97,-908.798583984375,22.3731
985.53,130000,26,39.0451,26,963.47,-984.3802490234375,30.243
996.15,135000,27,38.5987,27,994.76,-1037.74658203125,28.7453
1053.26,140000,28,38.0164,28,1058.2,-1082.496337890625,24.9109
1030.45,145000,29,36.6973,29,1033.53,-1116.4129638671875,23.6956
450.65,150000,30,25.0903,30,541.32,-600.7600708007812,24.9447
2767.94,155000,31,23.3871,31,1461.41,-559.1136474609375,14.185
1052.23,160000,32,25.6032,32,659.46,-1115.420654296875,22.9557
781.24,165000,33,25.4701,33,846.38,-727.5870971679688,15.5463
298.99,170000,34,24.6164,34,1434.51,-488.2324523925781,12.2839
2788.66,175000,35,22.9474,35,2209.88,-416.1816101074219,12.5987
2759.88,180000,36,24.2091,36,2688.96,-495.5949401855469,13.9259
2779.1,185000,37,23.1658,37,2444.16,-511.39813232421875,12.6597
2249.82,190000,38,21.3288,38,1706.6,-411.13995361328125,11.4279
759.1,195000,39,25.7426,39,777.58,-944.1928100585938,16.0148
1003.45,200000,40,39.2035,40,1000.89,-1700.157470703125,35.0683
1812.9,205000,41,25.4064,41,1068.82,-875.0899047851562,13.2459
894.13,210000,42,31.4519,42,1008.19,-1609.4989013671875,22.0994
969.23,215000,43,28.1512,43,955.79,-1248.5863037109375,19.7225
1202.76,220000,44,26.2018,44,1122.85,-1494.456787109375,16.9708
1003.63,225000,45,37.8693,45,1002.39,-1849.304443359375,25.3206
1007.78,230000,46,38.4406,46,1006.36,-1909.978515625,27.8033
189.63,235000,47,38.0746,47,179.02,-1947.0186767578125,32.6815
835.19,240000,48,25.7886,48,736.3,-1377.6424560546875,36.9607
845.19,245000,49,24.3223,49,671.61,-1210.4580078125,22.909
812.35,250000,50,23.819,50,1891.64,-927.680419921875,14.696
3160.83,255000,51,25.0625,51,1656.68,-1097.1351318359375,15.8001
2672.53,260000,52,27.3972,52,1439.04,-961.5491333007812,17.6889
3259.2,265000,53,23.7417,53,3226.4,-128.32675170898438,14.3663
1089.41,270000,54,25.5969,54,919.4,-1453.171630859375,41.2574
2612.16,275000,55,22.647,55,1326.28,-945.4931640625,29.5786
3201.07,280000,56,22.7114,56,2862.07,-422.35540771484375,12.4801
3182.9,285000,57,21.617,57,2950.13,-312.9278259277344,12.8555
969.28,290000,58,23.4329,58,1251.08,-490.1962585449219,12.1777
1922.45,295000,59,22.3627,59,1563.12,-713.3510131835938,12.7378
2719.11,300000,60,23.1108,60,1551.93,-71.09549713134766,10.7649
3253.02,305000,61,22.531,61,2697.23,-471.2908935546875,11.6429
2467.35,310000,62,24.11,62,1423.52,-748.9652709960938,12.9249
3196.39,315000,63,21.1039,63,2570.67,-62.12831115722656,11.0088
3273.89,320000,64,21.4745,64,3200.96,-69.98953247070312,12.0132
3355.54,325000,65,23.2618,65,1877.92,-49.18071746826172,12.0455
3224.4,330000,66,20.8618,66,2448.38,-237.9403076171875,10.2417
3299.73,335000,67,21.4003,67,2483.04,-258.8210144042969,10.812
3402.45,340000,68,23.6832,68,1712.45,-483.3262634277344,13.2664
3245.1,345000,69,21.172,69,3188.51,-412.3455505371094,12.1997
3184.22,350000,70,20.0486,70,2722.4,-836.495361328125,11.2626
3316.34,355000,71,19.4815,71,3173.3,-140.46234130859375,10.4398
3268.38,360000,72,20.8024,72,3169.81,-351.6436767578125,11.1551
3227.91,365000,73,20.695,73,2388.74,-882.0113525390625,11.5639
2012.87,370000,74,22.7098,74,1517.9,-1266.9415283203125,11.4388
3328.72,375000,75,19.4017,75,2972.44,-281.52099609375,10.3945
3424.77,380000,76,22.2115,76,2459.5,-675.011962890625,11.3602
3167.42,385000,77,21.1386,77,2251.81,-952.8432006835938,11.2586
3333.83,390000,78,22.1489,78,2857.27,-472.0624084472656,13.2788
2047.52,395000,79,22.1871,79,1669.6,-620.8956298828125,12.0982
3311.13,400000,80,20.3182,80,3333.28,-42.58826446533203,12.5538
3343.7,405000,81,22.5186,81,2598.61,-715.61376953125,12.1538
987.1,410000,82,23.0901,82,1097.69,-2032.8238525390625,16.2699
3280.59,415000,83,20.4147,83,2894.31,-347.8514709472656,12.0203
3268.77,420000,84,19.9423,84,3033.86,-594.9509887695312,11.4709
3277.15,425000,85,21.2858,85,3284.51,-393.567138671875,12.2982
3310.06,430000,86,22.0326,86,3099.7,-760.0502319335938,13.8797
3315.64,435000,87,20.8234,87,3324.14,-424.9188537597656,11.37
3272.08,440000,88,20.0507,88,3280.51,-442.6820068359375,12.4635
3212.06,445000,89,23.8765,89,2703.02,-717.844970703125,13.2943
3283.97,450000,90,21.7386,90,3290.83,-242.7523193359375,12.6994
3296.08,455000,91,21.4524,91,3284.43,-240.31761169433594,14.2101
3321.52,460000,92,18.6022,92,3218.1,-134.26702880859375,11.5457
3410.69,465000,93,21.1406,93,3263.26,-334.6016540527344,12.2803
3339.42,470000,94,20.4886,94,3248.24,-486.6904296875,13.0495
3316.26,475000,95,22.207,95,3311.88,-436.01593017578125,12.5277
3380.07,480000,96,19.8135,96,3238.94,-294.25225830078125,12.2678
3296.99,485000,97,20.5799,97,2825.35,-636.6708374023438,11.5744
3229.54,490000,98,21.0109,98,3218.0,-500.7628173828125,13.1379
3325.59,495000,99,19.6129,99,3206.61,-566.4794921875,12.6679
3290.7,500000,100,20.695,100,3297.52,-247.82742309570312,12.203
49.13,505000,101,24.1217,101,228.91,-2269.516845703125,14.0254
3362.81,510000,102,18.4659,102,3343.0,-222.96336364746094,11.9559
3307.57,515000,103,20.5637,103,3310.95,-236.8703155517578,13.3472
3303.5,520000,104,19.3535,104,3277.55,-246.36387634277344,11.5152
3343.92,525000,105,20.3261,105,3359.53,-487.7102355957031,12.0449
3308.96,530000,106,20.1776,106,3296.41,-420.36944580078125,11.9648
3282.21,535000,107,20.4466,107,3285.03,-226.3114471435547,13.174
3313.56,540000,108,20.6586,108,3267.57,-383.88458251953125,12.3896
3255.19,545000,109,18.952,109,1590.97,-502.6482849121094,11.3519
-2.24,550000,110,37.1512,110,-2.07,-3396.13427734375,229.9383
1002.25,555000,111,38.2447,111,1002.13,-3127.375244140625,30.7427
991.94,560000,112,38.1804,112,990.68,-3187.020263671875,26.0616
980.67,565000,113,37.9897,113,979.02,-3190.073486328125,30.3934
1041.15,570000,114,36.0426,114,1044.92,-3213.00830078125,21.6191
652.78,575000,115,33.1307,115,613.41,-3083.865478515625,17.9298
1536.48,580000,116,23.4261,116,2098.13,-1374.08544921875,11.1945
1833.46,585000,117,25.2625,117,1496.86,-2535.034423828125,15.2216
3199.56,590000,118,20.4964,118,3065.89,-497.78961181640625,13.2343
3120.41,595000,119,22.0959,119,2967.32,-739.5919799804688,13.2554
3193.99,600000,120,23.473,120,3163.51,-583.4503173828125,15.2293
3127.2,605000,121,21.6364,121,3117.57,-628.7368774414062,13.9399
3180.55,610000,122,19.1189,122,3097.71,-451.11700439453125,11.9119
3242.53,615000,123,19.7063,123,3110.33,-421.9769592285156,11.9729
3233.99,620000,124,21.8716,124,3227.44,-558.16357421875,13.4441
3123.57,625000,125,22.6279,125,2238.85,-703.2259521484375,12.4471
3187.45,630000,126,21.1494,126,1878.52,-774.1317749023438,12.0512
3215.87,635000,127,19.8664,127,3219.08,-546.9508666992188,11.9883
3263.77,640000,128,19.9371,128,3272.34,-369.6711120605469,11.9637
3297.02,645000,129,20.5975,129,2714.81,-416.7934875488281,12.2842
3272.06,650000,130,18.0153,130,1926.51,-421.58953857421875,9.5813
3244.57,655000,131,20.9768,131,2736.42,-918.4406127929688,11.774
3233.68,660000,132,22.1452,132,2772.75,-433.9428405761719,12.8651
3268.48,665000,133,20.8408,133,3269.7,-418.1146240234375,12.3859
3273.9,670000,134,19.1212,134,3204.9,-421.6892395019531,11.1796
