Real Det Return,Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time
284.06,0,49.1768,0,12.935,-367.9969177246094,343.72,0
261.68,1,49.5279,5000,36.5277,-611.73681640625,288.25,1
446.63,2,49.8749,10000,37.0641,-862.2941284179688,406.58,2
348.99,3,49.9672,15000,30.804,-960.273681640625,366.61,3
349.15,4,49.4655,20000,14.5951,-1440.254638671875,392.86,4
473.62,5,49.4282,25000,17.1134,-1188.31201171875,403.3,5
637.43,6,48.4901,30000,18.4675,-928.8204956054688,520.93,6
737.3,7,47.1977,35000,25.8683,-408.4667663574219,751.1,7
1080.15,8,46.7888,40000,24.6523,-561.5130004882812,1123.27,8
769.18,9,46.8132,45000,16.7151,-1012.825439453125,959.78,9
935.72,10,47.1595,50000,14.5113,-1263.5506591796875,979.01,10
63.88,11,47.2377,55000,13.5319,-1257.6680908203125,599.79,11
1253.66,12,46.8974,60000,20.2379,-1200.3543701171875,1132.02,12
1209.23,13,47.5307,65000,13.1308,-1038.2713623046875,1177.41,13
978.3,14,47.9019,70000,17.2034,-1394.238037109375,905.76,14
940.28,15,46.8923,75000,20.3054,-1760.6236572265625,1001.78,15
787.46,16,47.1224,80000,14.4124,-1202.36181640625,963.75,16
1320.97,17,46.1647,85000,20.4754,-1724.7628173828125,1247.6,17
1350.22,18,46.3516,90000,20.3257,-1524.1873779296875,1669.71,18
1807.73,19,46.6496,95000,15.0434,-1420.1143798828125,1316.04,19
1315.12,20,45.9876,100000,16.5201,-866.796142578125,1242.63,20
1365.6,21,46.18,105000,21.2408,-1648.1007080078125,1252.9,21
1571.03,22,46.1994,110000,14.0354,-1491.591552734375,1124.97,22
1363.5,23,46.1584,115000,13.9274,-1231.0032958984375,1234.91,23
1141.31,24,46.4024,120000,15.0263,-1036.8443603515625,1088.41,24
1045.87,25,46.2009,125000,13.2704,-1275.618408203125,1085.65,25
1340.96,26,46.1755,130000,13.2384,-1484.72412109375,1113.98,26
1133.15,27,46.0069,135000,14.7993,-1003.1505126953125,967.95,27
992.93,28,46.0688,140000,23.4185,-1303.5301513671875,1037.81,28
1110.92,29,46.5453,145000,14.5373,-1900.0396728515625,1176.55,29
931.82,30,46.0585,150000,17.8065,-1585.3016357421875,1110.34,30
1090.57,31,45.8801,155000,16.0429,-2058.3134765625,1059.58,31
1076.82,32,46.4226,160000,16.809,-2094.019287109375,1111.71,32
1158.6,33,46.5978,165000,18.1097,-2317.46728515625,1012.07,33
13.12,34,47.565,170000,17.594,-2643.08544921875,327.66,34
1095.97,35,46.3681,175000,18.4713,-2038.0526123046875,1196.5,35
1117.13,36,45.5534,180000,15.6987,-2051.2607421875,1440.83,36
1107.06,37,46.1405,185000,16.4503,-2638.20703125,1123.84,37
1698.34,38,45.2625,190000,16.4726,-2111.51611328125,1613.17,38
1654.76,39,45.58,195000,16.9062,-2510.859130859375,1521.52,39
1094.15,40,45.8699,200000,17.2108,-2839.35986328125,1137.06,40
1336.31,41,45.683,205000,17.5882,-1969.516845703125,1262.53,41
1126.61,42,46.8849,210000,21.564,-1927.14208984375,1180.07,42
1104.45,43,45.6464,215000,18.4776,-2370.23876953125,1248.75,43
1579.6,44,46.3082,220000,17.9408,-2295.8017578125,1379.26,44
1682.46,45,45.6621,225000,18.0392,-2387.378173828125,1180.9,45
1365.82,46,45.8904,230000,15.438,-2536.45751953125,1225.17,46
1194.61,47,46.1227,235000,17.698,-3211.324462890625,1186.05,47
1243.94,48,46.0016,240000,20.1882,-2861.206787109375,1172.74,48
1686.03,49,45.3242,245000,18.7334,-2922.3798828125,1371.62,49
1745.35,50,45.524,250000,15.5575,-2795.623779296875,1299.2,50
1486.97,51,45.2045,255000,15.0262,-2775.538330078125,1357.09,51
1487.44,52,45.5825,260000,16.303,-2873.314208984375,1362.24,52
1346.66,53,45.6292,265000,15.9473,-3388.065673828125,1236.77,53
1810.59,54,45.8822,270000,20.1226,-2590.302978515625,1615.82,54
1509.04,55,45.8629,275000,16.9269,-2939.021484375,1178.41,55
1885.04,56,45.0465,280000,17.0021,-2698.375,1584.28,56
2704.41,57,45.4439,285000,17.7624,-3029.239501953125,1670.49,57
1369.87,58,45.3998,290000,14.956,-3119.2763671875,1249.16,58
1313.77,59,45.4846,295000,20.8457,-3720.631591796875,1351.67,59
1344.2,60,45.6009,300000,16.6667,-3510.097900390625,1260.11,60
1474.73,61,45.6125,305000,20.237,-3616.685791015625,1344.96,61
1672.05,62,45.2441,310000,21.0394,-3502.87255859375,1296.41,62
2107.39,63,45.1757,315000,20.9282,-3574.611328125,1399.39,63
1288.75,64,45.653,320000,15.5535,-3937.608154296875,1258.42,64
