Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps
233.91,80,80,30.9532,-3892.431640625,235.32,31.461,400000
208.31,81,81,32.0322,-3285.43115234375,205.63,32.1432,405000
272.59,82,82,49.7978,-3698.029541015625,289.51,31.7664,410000
261.63,83,83,25.7286,-3160.183837890625,192.35,31.4933,415000
186.71,84,84,23.4729,-2808.98291015625,190.18,30.3702,420000
43.14,85,85,118.0949,-3064.576416015625,43.09,35.881,425000
849.73,86,86,85.2691,-4124.0322265625,850.31,37.9966,430000
1020.46,87,87,91.3425,-4218.22021484375,1020.22,38.4344,435000
550.55,88,88,58.0423,-3429.6484375,549.83,28.4628,440000
1009.22,89,89,29.8425,-3663.746826171875,998.04,34.4597,445000
9.98,90,90,85.4508,-4395.02978515625,10.0,34.9139,450000
147.31,91,91,32.6664,-3518.8515625,146.87,28.4262,455000
75.11,92,92,108.4993,-3940.61328125,75.35,32.9996,460000
187.08,93,93,47.1159,-4255.29052734375,211.06,32.9228,465000
191.99,94,94,41.8199,-3645.88525390625,214.75,32.2962,470000
846.58,95,95,54.1811,-4386.0859375,788.81,33.4819,475000
1015.85,96,96,76.4889,-4592.78955078125,1015.57,37.8545,480000
1013.53,97,97,97.6932,-4648.9326171875,1013.46,36.6473,485000
1001.16,98,98,80.3552,-4618.26416015625,1001.02,37.1153,490000
1006.37,99,99,41.023,-4056.55908203125,1006.23,34.8666,495000
998.48,100,100,44.8449,-4063.958251953125,998.04,36.0856,500000
373.39,101,101,48.9183,-3940.4716796875,364.66,30.2675,505000
340.43,102,102,28.6196,-4411.125,370.43,30.0365,510000
52.56,103,103,70.8474,-3795.62841796875,52.29,35.2322,515000
50.85,104,104,122.0958,-5086.9052734375,50.87,39.1725,520000
1008.99,105,105,116.1097,-5153.751953125,1009.0,40.0175,525000
1040.93,106,106,112.0118,-5249.72265625,1040.81,37.9606,530000
1053.27,107,107,72.0754,-5268.88134765625,1053.48,37.2438,535000
251.79,108,108,93.6341,-5446.263671875,253.0,35.0073,540000
156.57,109,109,47.6124,-5625.79150390625,158.37,34.5737,545000
161.66,110,110,42.953,-5197.8251953125,161.89,33.0073,550000
986.52,111,111,115.4721,-5579.56005859375,986.84,36.5042,555000
988.47,112,112,49.9146,-5412.52734375,988.54,37.1636,560000
969.08,113,113,54.2915,-5533.83447265625,1004.56,36.9857,565000
621.25,114,114,62.8736,-5225.83544921875,902.09,32.3932,570000
997.28,115,115,109.4564,-5604.66845703125,997.49,38.3837,575000
998.36,116,116,109.9094,-5815.228515625,998.38,38.1176,580000
992.96,117,117,124.5402,-5850.73779296875,992.93,38.2356,585000
684.2,118,118,34.572,-5456.87060546875,762.68,29.7761,590000
995.64,119,119,118.9455,-6005.05029296875,995.62,37.9252,595000
571.15,120,120,57.5566,-4381.75732421875,657.45,30.4232,600000
49.38,121,121,51.7722,-4607.4111328125,49.81,35.6186,605000
74.76,122,122,105.6226,-6060.8271484375,74.75,38.8065,610000
994.76,123,123,118.6387,-6199.87158203125,994.75,40.0255,615000
1019.71,124,124,131.8304,-6435.99560546875,1020.01,37.9798,620000
288.31,125,125,85.8058,-6365.00927734375,287.25,35.1499,625000
97.85,126,126,45.3824,-5027.66650390625,100.18,31.5784,630000
277.93,127,127,28.1679,-5377.51123046875,298.3,31.7239,635000
190.18,128,128,65.7865,-5764.6171875,181.47,32.7163,640000
288.27,129,129,67.6672,-5712.10546875,227.24,32.8172,645000
689.04,130,130,67.4166,-5956.22216796875,810.85,32.3229,650000
981.66,131,131,139.3101,-6737.71728515625,981.74,37.9771,655000
971.66,132,132,131.927,-6747.2255859375,971.71,37.9234,660000
976.8,133,133,87.3534,-6843.2529296875,976.68,38.2397,665000
986.02,134,134,124.3386,-6942.1015625,985.75,38.4525,670000
1004.0,135,135,129.1606,-7165.4326171875,1003.89,39.8501,675000
524.5,136,136,34.3916,-6538.376953125,546.14,32.6522,680000
225.64,137,137,91.4549,-7303.96337890625,228.74,34.821,685000
265.57,138,138,30.4983,-6825.62109375,268.58,32.2926,690000
283.08,139,139,24.5724,-6271.3115234375,280.09,30.0677,695000
486.51,140,140,27.1362,-5559.087890625,437.44,29.3019,700000
150.3,141,141,160.6572,-5162.90185546875,156.5,33.6547,705000
394.36,142,142,23.492,-5710.2978515625,390.25,31.8789,710000
353.18,143,143,27.4161,-6332.630859375,356.98,31.4637,715000
625.87,144,144,30.6064,-5981.46630859375,615.65,29.3516,720000
985.65,145,145,120.9321,-7703.96533203125,985.34,38.4414,725000
985.66,146,146,93.3749,-7660.73779296875,985.69,38.5425,730000
991.16,147,147,43.7843,-7446.96142578125,991.02,37.7671,735000
966.21,148,148,61.6119,-7200.18994140625,966.09,37.6096,740000
79.14,149,149,93.7874,-7454.44873046875,79.41,36.6447,745000
81.44,150,150,66.7257,-5696.34716796875,81.56,37.2234,750000
1020.88,151,151,113.3856,-8048.1337890625,1020.89,38.9151,755000
1006.37,152,152,129.1282,-8332.3232421875,1006.21,39.7287,760000
1007.56,153,153,126.4085,-8007.69677734375,1007.59,38.9945,765000
