Running Reverse KL,Real Det Return,Itration,Real Sto Return,Reward Loss,Running Update Time,Running Forward KL,Running Env Steps
22.8514,202.43,0,199.22,-95.9964828491211,0,39.7547,0
26.4064,211.83,1,208.59,-115.53350067138672,1,40.0584,5000
32.0039,239.01,2,230.66,-125.68181610107422,2,39.3997,10000
123.5691,133.9,3,114.39,-5.307793617248535,3,38.6962,15000
18.5659,312.91,4,314.83,31.497329711914062,4,35.7552,20000
16.1486,443.0,5,435.82,21.36269187927246,5,32.9433,25000
15.0963,524.61,6,472.24,-6.290987014770508,6,32.5604,30000
17.9385,685.31,7,821.32,-10.126829147338867,7,32.0504,35000
18.6561,704.57,8,1044.05,-18.780946731567383,8,30.7058,40000
15.2533,694.08,9,957.6,-33.66082763671875,9,31.5025,45000
13.4097,736.93,10,1269.49,22.794544219970703,10,30.4325,50000
12.5062,1326.36,11,943.33,-12.247726440429688,11,29.9766,55000
13.1501,1158.84,12,1279.07,-21.631330490112305,12,30.4217,60000
14.8958,2517.44,13,2362.48,-30.541048049926758,13,29.9785,65000
16.7215,2987.04,14,2645.81,-23.099214553833008,14,29.3076,70000
25.6928,1078.39,15,977.37,-137.29803466796875,15,30.4498,75000
27.3324,1879.33,16,1231.3,-78.50764465332031,16,30.7264,80000
16.8281,3138.19,17,2329.52,-51.71623992919922,17,29.4876,85000
15.492,3055.73,18,3019.21,-22.72903823852539,18,28.7441,90000
19.4259,3154.18,19,1362.62,-86.81883239746094,19,29.8973,95000
20.3274,1642.87,20,1678.51,-113.83184814453125,20,31.1737,100000
26.4779,3096.51,21,1268.3,-146.2945098876953,21,30.6599,105000
16.9521,3108.18,22,3069.57,-22.144227981567383,22,29.8422,110000
18.2518,3174.63,23,2576.58,-94.29390716552734,23,29.2549,115000
15.24,3018.56,24,1685.87,-96.58050537109375,24,31.0307,120000
14.3766,3171.09,25,2102.35,-55.278541564941406,25,30.1335,125000
14.4038,3180.91,26,2038.72,-103.10948181152344,26,30.2986,130000
15.91,1571.25,27,1118.62,-125.74915313720703,27,31.41,135000
18.7422,1255.63,28,1321.5,-176.48910522460938,28,31.0666,140000
24.1006,1896.91,29,1554.92,-184.05047607421875,29,31.1589,145000
19.8492,3199.94,30,1753.7,-141.1849822998047,30,30.2693,150000
17.3571,3172.69,31,2739.41,-61.21149826049805,31,29.318,155000
23.1916,2021.32,32,1605.69,-177.85462951660156,32,30.7568,160000
20.6981,2348.45,33,1300.38,-192.98170471191406,33,31.2453,165000
29.4716,1880.24,34,1374.7,-222.98953247070312,34,31.1042,170000
17.5472,2968.64,35,1497.49,-165.66082763671875,35,30.6398,175000
17.4151,3188.46,36,2984.56,-59.792518615722656,36,29.0817,180000
20.0123,3197.54,37,1974.24,-168.35084533691406,37,29.7352,185000
28.8775,3117.66,38,1603.83,-227.12149047851562,38,30.7893,190000
16.3686,3132.53,39,3131.52,-62.149314880371094,39,29.1084,195000
16.2454,3118.03,40,3111.61,-56.013763427734375,40,29.0512,200000
29.5636,2802.16,41,1545.06,-259.23193359375,41,30.8027,205000
33.709,1057.64,42,1135.18,-292.4591979980469,42,31.2551,210000
19.2787,3180.06,43,2246.83,-191.48617553710938,43,29.4475,215000
19.562,2812.15,44,1712.15,-221.89822387695312,44,29.4433,220000
24.4837,3155.42,45,1690.62,-255.8475799560547,45,30.0632,225000
18.6811,3194.8,46,2564.04,-153.57925415039062,46,29.1539,230000
18.7371,3159.7,47,2239.43,-156.2274169921875,47,29.0992,235000
19.5812,3148.0,48,2072.44,-159.42007446289062,48,29.2822,240000
25.24,2026.67,49,1320.31,-322.9061279296875,49,30.4189,245000
28.0358,2409.25,50,1490.1,-310.489501953125,50,30.9016,250000
15.521,3153.49,51,2833.8,-83.48694610595703,51,27.909,255000
25.3023,1572.93,52,1363.03,-318.127197265625,52,30.7919,260000
25.6678,3189.41,53,2109.54,-251.6256866455078,53,29.9784,265000
28.3653,2590.93,54,1538.48,-309.822509765625,54,30.0358,270000
16.4207,3145.43,55,3002.93,-131.6004638671875,55,29.8127,275000
18.0707,3188.06,56,2286.09,-205.96868896484375,56,28.6883,280000
29.7477,3018.8,57,1510.84,-347.8881530761719,57,29.9849,285000
15.8974,3209.11,58,2194.46,-216.4210968017578,58,29.3226,290000
15.2284,3052.99,59,1771.52,-270.8956604003906,59,29.6586,295000
23.9833,1427.89,60,1332.68,-339.4156188964844,60,29.5588,300000
19.2495,3167.46,61,2397.03,-296.61944580078125,61,28.6283,305000
19.29,2256.66,62,1483.13,-308.4586181640625,62,29.9309,310000
13.5754,2809.61,63,1936.87,-252.40426635742188,63,30.0418,315000
13.589,3191.27,64,2206.33,-161.0482635498047,64,28.797,320000
14.6219,3172.94,65,2482.9,-161.47998046875,65,28.7819,325000
15.1314,3191.22,66,2442.11,-234.54779052734375,66,28.9188,330000
16.4356,3107.41,67,3097.28,-104.22286224365234,67,28.8438,335000
13.6717,3174.22,68,1876.35,-232.9227294921875,68,28.5446,340000
16.2836,2983.91,69,1912.25,-295.84820556640625,69,28.7428,345000
15.4989,3149.3,70,2910.02,-92.21195983886719,70,28.111,350000
15.1455,3188.34,71,2826.07,-158.9855194091797,71,28.1231,355000
15.2888,3156.52,72,2883.43,-142.1321258544922,72,27.8839,360000
15.3823,3188.72,73,2631.77,-186.92591857910156,73,28.6242,365000
16.4784,3166.57,74,2768.52,-141.1193084716797,74,28.0001,370000
15.5526,3128.87,75,3131.59,-112.42985534667969,75,28.3491,375000
15.9516,3145.35,76,2993.28,-110.72510528564453,76,28.2475,380000
15.5607,3160.18,77,3110.23,-109.934326171875,77,28.2447,385000
14.9993,3059.3,78,1543.87,-315.85986328125,78,29.4973,390000
15.5149,3163.85,79,3076.53,-119.91325378417969,79,27.6314,395000
15.4275,3175.68,80,2937.19,-246.80435180664062,80,28.2674,400000
15.8309,3163.48,81,3148.96,-128.12001037597656,81,27.6515,405000
15.7337,3126.54,82,2984.01,-131.444091796875,82,28.0077,410000
15.7949,3166.61,83,3158.89,-128.14878845214844,83,27.7618,415000
15.0115,3161.68,84,2822.5,-128.69668579101562,84,27.9659,420000
14.9376,3143.48,85,3070.88,-130.49176025390625,85,27.3723,425000
14.9607,3198.94,86,2825.87,-183.4759979248047,86,28.0718,430000
15.5471,3192.43,87,2934.49,-187.96682739257812,87,27.7609,435000
14.2863,3200.97,88,2869.93,-160.29026794433594,88,27.9046,440000
17.7374,3224.62,89,1963.33,-361.4837646484375,89,28.9137,445000
15.4711,3166.42,90,3005.43,-148.56576538085938,90,27.6861,450000
15.0312,3190.67,91,3070.39,-139.3235626220703,91,27.5809,455000
17.4001,3221.66,92,2316.32,-351.0872802734375,92,28.8045,460000
14.7833,3197.56,93,2857.27,-224.2838134765625,93,27.7073,465000
14.4771,3195.94,94,2945.33,-168.20498657226562,94,27.6186,470000
18.2194,3206.26,95,2275.16,-290.4959411621094,95,28.4543,475000
