Real Sto Return,Running Update Time,Running Reverse KL,Real Det Return,Running Forward KL,Itration,Running Env Steps,Reward Loss
235.88,0,301.1495,165.3,445.352,0,0,-174.64649963378906
327.04,1,293.7894,373.36,428.5922,1,5000,-1751.8470458984375
291.09,2,284.1617,311.57,440.4062,2,10000,-2562.86279296875
415.93,3,267.4669,528.45,414.0496,3,15000,-3143.223388671875
402.98,4,256.9778,521.81,394.1599,4,20000,-5316.919921875
398.33,5,315.8955,337.91,400.6018,5,25000,-7786.2421875
428.96,6,267.9909,482.76,409.1823,6,30000,-8884.619140625
454.79,7,270.1124,408.37,414.6804,7,35000,-9448.853515625
405.91,8,307.2847,421.13,386.1932,8,40000,-10958.51953125
450.26,9,301.1936,357.82,388.4029,9,45000,-12899.21484375
451.51,10,274.5726,401.12,402.9153,10,50000,-12438.1279296875
523.83,11,265.4476,526.72,379.9307,11,55000,-13639.92578125
450.54,12,258.1785,463.73,390.921,12,60000,-14380.0498046875
540.92,13,250.8047,600.76,375.5853,13,65000,-14229.0126953125
480.26,14,240.7038,487.99,377.2278,14,70000,-17371.779296875
522.72,15,259.9344,449.7,381.7237,15,75000,-18354.98046875
524.59,16,249.3228,481.97,368.708,16,80000,-19204.3046875
623.42,17,268.4223,518.35,371.8741,17,85000,-21346.052734375
588.09,18,245.4762,596.39,358.3252,18,90000,-20361.98828125
553.72,19,260.9899,501.13,358.4937,19,95000,-21965.94140625
629.08,20,246.7761,666.81,361.0099,20,100000,-22515.181640625
604.06,21,309.7913,551.48,377.1524,21,105000,-24839.755859375
632.04,22,302.6239,576.0,365.0464,22,110000,-27891.005859375
620.97,23,283.0658,523.25,364.3367,23,115000,-28402.29296875
556.88,24,252.4779,528.14,374.0529,24,120000,-28131.20703125
594.56,25,255.5849,617.22,363.1889,25,125000,-29515.0546875
590.0,26,253.0868,566.48,344.1378,26,130000,-31306.857421875
553.16,27,227.2176,586.87,356.5648,27,135000,-28108.275390625
620.06,28,234.1169,704.61,353.0892,28,140000,-28294.048828125
841.17,29,255.5387,631.4,345.8174,29,145000,-34573.93359375
778.48,30,254.1127,601.39,344.7095,30,150000,-35439.9296875
664.66,31,225.1743,604.67,353.3517,31,155000,-32409.69140625
753.25,32,229.6302,727.58,357.5934,32,160000,-34188.00390625
901.75,33,220.9153,795.92,339.9745,33,165000,-34765.34765625
881.25,34,232.8822,827.56,327.493,34,170000,-34987.4140625
