Running Update Time,Real Sto Return,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL,Real Det Return,Itration
0,341.6,0,13.0702,466.7562561035156,50.3503,296.02,0
1,347.56,5000,13.0209,828.3609008789062,48.7912,437.85,1
2,352.21,10000,14.7674,481.3064270019531,49.0876,500.0,2
3,401.76,15000,17.5345,-193.7929229736328,49.1649,436.67,3
4,340.79,20000,13.8595,219.57891845703125,49.4916,335.83,4
5,390.69,25000,13.9319,519.6207275390625,49.706,355.81,5
6,386.71,30000,13.9321,634.9110107421875,49.6136,398.17,6
7,764.62,35000,14.6425,90.07643127441406,47.652,604.71,7
8,1026.44,40000,16.3999,-321.49462890625,48.0658,636.52,8
9,1115.99,45000,18.3131,-438.9267883300781,47.1547,1439.69,9
10,771.34,50000,15.1896,-189.8083953857422,46.7067,904.43,10
11,821.37,55000,14.6783,-25.94678497314453,47.2011,938.04,11
12,857.0,60000,15.4407,-362.58624267578125,47.2031,1011.02,12
13,1094.29,65000,17.6223,-525.40087890625,46.5306,1184.81,13
14,1197.75,70000,15.0146,-329.00927734375,46.113,1254.16,14
15,935.19,75000,14.115,-283.9775695800781,46.7154,1087.71,15
16,1051.25,80000,21.8679,-561.7034912109375,47.1609,992.06,16
17,1032.7,85000,14.9477,-335.08001708984375,46.3535,971.14,17
18,1226.19,90000,14.243,-486.64691162109375,46.4192,1042.94,18
19,1536.44,95000,13.9309,-290.6781921386719,46.1667,1751.06,19
20,962.05,100000,13.4953,-445.6860046386719,46.6207,1046.48,20
21,1068.9,105000,14.0496,-649.1265869140625,45.9889,1182.26,21
22,1324.03,110000,14.0913,-726.7305908203125,46.1232,2402.14,22
23,1118.21,115000,15.1382,-725.0250244140625,46.5438,936.28,23
24,1001.98,120000,14.9115,-872.7674560546875,46.3437,1234.44,24
25,971.41,125000,13.429,-499.7820129394531,45.9937,1013.36,25
26,1316.75,130000,13.4402,-504.52081298828125,45.8271,1259.54,26
27,1846.19,135000,14.6388,-746.6651000976562,45.4339,2279.71,27
28,1769.12,140000,13.7928,-639.8916015625,45.5929,1479.07,28
29,1215.24,145000,13.3952,-462.4143371582031,45.9034,1193.35,29
30,1214.11,150000,18.3766,-886.2566528320312,44.9743,1255.26,30
31,1440.78,155000,13.9023,-738.0828247070312,45.3807,2014.55,31
32,1576.55,160000,14.1484,-665.9577026367188,45.0142,1526.93,32
33,1200.92,165000,12.7531,-1005.1873779296875,45.8224,1187.18,33
34,1656.49,170000,13.0818,-899.8951416015625,44.9597,2200.37,34
35,2066.27,175000,12.9642,-897.1018676757812,44.0952,2773.43,35
36,1483.82,180000,13.9116,-946.7232666015625,46.178,1657.86,36
37,1970.66,185000,14.4416,-865.1397094726562,45.3655,2323.22,37
38,2050.91,190000,13.9162,-957.1703491210938,44.2215,2983.15,38
39,1662.79,195000,13.5379,-841.2644653320312,44.1766,2321.06,39
40,1409.4,200000,14.0667,-919.2157592773438,44.7191,1939.47,40
41,3319.62,205000,18.4679,-853.9890747070312,44.6098,3680.79,41
42,3464.84,210000,17.6041,-922.7553100585938,44.2228,3457.32,42
43,3351.96,215000,17.6784,-988.0376586914062,44.5466,3550.54,43
44,2023.33,220000,13.8106,-1187.1370849609375,42.9981,1889.76,44
45,3057.27,225000,15.1533,-909.5411376953125,43.8769,3523.78,45
46,3188.16,230000,14.735,-903.576171875,43.6795,3321.86,46
47,2718.92,235000,14.8576,-963.8865966796875,43.3444,3383.85,47
48,3726.25,240000,17.6093,-916.32080078125,44.0619,3758.49,48
49,3639.23,245000,18.7176,-1074.70263671875,44.3185,3664.72,49
50,3374.07,250000,20.4157,-1038.0799560546875,44.8822,3738.41,50
51,3777.42,255000,17.5621,-963.482666015625,43.3035,3785.95,51
52,3736.14,260000,18.6005,-1081.826904296875,44.1796,3612.23,52
53,3524.13,265000,18.8276,-988.4923095703125,43.6223,3756.02,53
54,3757.15,270000,18.0524,-1163.548828125,43.9157,3724.42,54
55,3882.05,275000,20.0919,-1109.7117919921875,43.8415,3953.5,55
56,3829.15,280000,18.2191,-1182.5794677734375,43.9447,3784.31,56
57,3611.43,285000,17.9923,-1162.1251220703125,43.7653,3920.61,57
58,3858.07,290000,18.3376,-1093.9119873046875,43.1811,3944.59,58
59,3968.17,295000,18.7533,-1104.5545654296875,43.002,3935.81,59
60,3858.76,300000,17.9703,-1177.4166259765625,43.5364,3843.73,60
61,3912.37,305000,18.8368,-1180.09814453125,43.6788,3907.81,61
62,3908.17,310000,16.8558,-1223.52197265625,43.2914,3851.14,62
63,3930.55,315000,18.8406,-1177.3184814453125,43.1348,3995.61,63
64,3854.73,320000,17.0744,-1278.6201171875,43.1201,3816.52,64
65,3856.05,325000,15.8609,-1486.2513427734375,42.8308,3802.09,65
66,3893.97,330000,17.8341,-1324.0355224609375,42.8264,3895.71,66
67,4020.01,335000,16.6185,-1398.6802978515625,43.2139,4054.51,67
68,3981.78,340000,18.829,-1458.62890625,43.5035,4045.81,68
69,3899.98,345000,18.0048,-1456.001220703125,43.6152,3862.48,69
70,3969.71,350000,17.6197,-1410.7410888671875,42.1977,3962.2,70
71,3896.13,355000,14.4587,-1471.638916015625,42.7931,3859.71,71
72,3878.02,360000,18.4601,-1517.200439453125,42.956,3922.41,72
73,3885.15,365000,15.9923,-1652.4267578125,42.4089,3893.34,73
74,3999.1,370000,17.3083,-1450.3707275390625,42.1598,4001.8,74
75,3967.13,375000,18.2197,-1582.2470703125,42.8825,3924.69,75
76,3992.59,380000,18.3393,-1597.1800537109375,43.2799,4019.87,76
77,3956.71,385000,17.4056,-1598.28759765625,42.905,4084.15,77
78,4069.52,390000,17.656,-1671.7049560546875,42.4593,4106.1,78
79,4172.9,395000,17.7907,-1508.1414794921875,42.6524,4162.13,79
80,4035.93,400000,16.3437,-1583.804443359375,42.3015,4070.99,80
81,4110.48,405000,18.501,-1725.2435302734375,42.6304,4070.56,81
82,4025.55,410000,17.9065,-1758.1405029296875,42.579,4045.64,82
83,3918.76,415000,15.2453,-1726.5992431640625,42.0003,3884.26,83
84,3961.21,420000,17.0752,-1629.4769287109375,41.9813,4238.88,84
85,3817.0,425000,16.4065,-1696.96484375,41.5572,4177.41,85
86,4173.68,430000,15.4706,-1842.3287353515625,42.0664,4195.22,86
87,3033.12,435000,14.1226,-1676.6121826171875,41.361,4052.98,87
88,4217.64,440000,16.0354,-1715.7918701171875,41.2614,4317.56,88
89,4192.65,445000,15.7493,-1673.3677978515625,41.4842,4241.32,89
90,4204.5,450000,15.7318,-1819.28759765625,41.7298,4163.62,90
91,3972.67,455000,14.9031,-1872.4791259765625,41.6968,4183.3,91
92,4136.88,460000,15.3942,-1811.3316650390625,41.1522,4156.19,92
93,4047.89,465000,14.8498,-1865.855712890625,41.0835,4281.13,93
94,3876.6,470000,14.3397,-1884.683837890625,41.7855,4214.01,94
95,4098.11,475000,14.9474,-1855.8531494140625,41.4527,4131.46,95
96,4104.3,480000,14.8866,-1892.106201171875,41.1446,4294.78,96
97,4076.73,485000,14.0979,-1814.3592529296875,40.5673,4215.82,97
98,3913.97,490000,14.162,-1926.0479736328125,41.3152,4203.33,98
99,4065.43,495000,16.3987,-2045.666015625,40.0965,4291.63,99
100,4140.7,500000,15.0353,-1958.259033203125,41.5822,4197.71,100
101,3682.71,505000,15.9256,-1998.66064453125,41.6437,4085.31,101
102,4121.08,510000,14.9229,-2022.4085693359375,41.0099,4309.3,102
103,4185.37,515000,15.2333,-1967.783203125,40.7882,4237.64,103
104,4262.3,520000,15.7438,-1956.470947265625,41.1966,4396.66,104
105,4275.04,525000,14.5277,-1939.051513671875,40.2505,4340.86,105
106,4232.88,530000,14.2439,-1885.726806640625,40.5534,4257.1,106
107,4288.77,535000,14.5294,-2037.4515380859375,40.1414,4239.31,107
108,4237.44,540000,14.7612,-2002.920654296875,40.3418,4328.91,108
