Itration,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL
0,0,195.82,0,16.9671,61.44545364379883,216.1,32.33
1,1,266.23,5000,16.9962,78.48368835449219,272.52,29.8314
2,2,354.74,10000,13.3516,30.002609252929688,351.46,27.8194
3,3,342.01,15000,20.8473,98.44338989257812,351.59,28.5879
4,4,357.81,20000,14.0396,27.45992660522461,392.39,26.3579
5,5,610.63,25000,13.4841,17.837739944458008,445.05,26.7948
6,6,347.44,30000,14.5801,31.165346145629883,344.44,28.6685
7,7,407.54,35000,18.6486,11.808440208435059,397.33,27.5651
8,8,712.88,40000,48.8688,24.398448944091797,714.1,24.903
9,9,693.42,45000,34.1903,16.1273250579834,721.15,25.2271
10,10,765.88,50000,29.5132,13.701390266418457,831.39,25.9249
11,11,976.99,55000,38.5104,-1.805230975151062,974.62,24.3332
12,12,675.81,60000,18.1829,-12.489803314208984,608.91,23.6518
13,13,578.27,65000,27.8345,-28.920326232910156,563.14,26.2449
14,14,1994.14,70000,27.4317,10.285017967224121,1978.46,21.8503
15,15,879.28,75000,41.6525,-31.15859603881836,1177.61,22.6313
16,16,608.85,80000,108.1061,-4.95920991897583,616.94,25.6849
17,17,2780.28,85000,15.8165,-23.033302307128906,2476.59,22.8092
18,18,456.86,90000,23.1377,-22.176942825317383,739.94,25.5492
19,19,770.4,95000,17.4955,-29.393339157104492,1186.59,23.4704
20,20,3101.97,100000,17.6181,-9.294178009033203,3106.34,23.2221
21,21,2815.2,105000,15.828,-48.97256088256836,2672.39,24.3513
22,22,3088.97,110000,12.6961,-25.030651092529297,2881.63,22.4938
23,23,3253.48,115000,12.6134,-47.37796401977539,2973.86,21.1211
24,24,3231.77,120000,13.3822,-33.047115325927734,3232.86,20.6332
25,25,3406.33,125000,11.2777,-8.260275840759277,3183.42,18.9876
26,26,3364.9,130000,13.0043,-21.2642765045166,3341.9,19.3566
27,27,3395.56,135000,13.6157,-21.533567428588867,3262.44,19.5835
28,28,3441.02,140000,20.5978,-39.273746490478516,2823.71,21.2435
29,29,3348.96,145000,15.1412,-35.50990295410156,3358.8,21.4775
30,30,3386.07,150000,15.9613,-24.961456298828125,2947.54,19.2242
31,31,3380.77,155000,12.1406,-19.20005226135254,3184.89,18.3393
32,32,3399.04,160000,13.0476,-14.156579971313477,2791.9,19.7966
33,33,3358.51,165000,13.6895,-10.005995750427246,2733.3,18.7519
34,34,3393.6,170000,20.5679,-45.251792907714844,2614.14,20.4713
35,35,3431.94,175000,12.528,-16.772441864013672,2881.62,19.2474
36,36,3431.93,180000,13.2289,-20.091659545898438,3145.62,19.7527
37,37,3440.38,185000,27.4809,-57.1610107421875,2465.73,20.2248
38,38,3455.14,190000,13.5726,-24.649694442749023,3417.95,19.7803
39,39,3432.28,195000,22.7103,-84.72126770019531,2392.05,20.9444
40,40,61.4,200000,14.0224,-14.739863395690918,61.46,19.9116
41,41,1569.34,205000,19.0203,-73.31201171875,1879.74,21.1543
42,42,948.75,210000,24.8676,-85.66543579101562,1919.57,20.2377
43,43,3316.87,215000,12.5791,-42.582332611083984,3322.61,19.5338
44,44,860.01,220000,29.9743,-113.52654266357422,1744.53,23.3389
45,45,3400.98,225000,19.7457,-73.99443054199219,2762.44,20.058
46,46,2946.87,230000,42.0088,-120.25988006591797,2228.05,21.2109
47,47,3388.21,235000,18.4073,-62.83078384399414,2968.69,20.8199
48,48,3085.58,240000,20.0932,-85.24835205078125,2549.46,20.3621
49,49,431.57,245000,45.2584,-198.05723571777344,733.8,26.2564
50,50,3068.04,250000,16.3318,-86.09330749511719,2715.56,19.8217
51,51,2600.45,255000,10.9077,-43.95301818847656,2689.35,21.2082
52,52,993.51,260000,26.418,-185.05177307128906,1052.8,37.7716
53,53,1019.02,265000,22.4594,-196.91262817382812,1022.87,36.6062
54,54,3459.04,270000,15.7154,-69.92369079589844,3410.13,22.0132
55,55,3360.19,275000,13.5914,-65.66827392578125,3323.72,19.5317
56,56,703.22,280000,14.047,-95.18250274658203,1734.21,21.1045
57,57,388.23,285000,23.6558,-129.65220642089844,1296.02,25.9122
58,58,3375.22,290000,13.2349,-73.3442153930664,3340.64,21.3756
59,59,3096.89,295000,13.1309,-80.86705780029297,3074.91,21.2307
60,60,3340.63,300000,10.3658,-50.62821578979492,3307.42,18.4396
61,61,3308.19,305000,13.3204,-77.3615951538086,2886.25,18.106
62,62,3336.69,310000,14.3222,-79.30378723144531,3332.88,19.2928
63,63,3426.7,315000,13.9653,-43.3144416809082,3280.74,18.3576
64,64,3433.74,320000,13.2685,-59.02290344238281,3400.59,18.5882
65,65,3458.73,325000,13.7439,-80.84553527832031,3403.98,19.7158
66,66,3406.65,330000,13.0706,-75.14251708984375,3368.2,18.5572
67,67,3454.09,335000,14.4346,-84.36309051513672,3418.02,19.8452
68,68,3397.51,340000,13.3402,-64.18122100830078,3397.68,18.7129
69,69,3424.56,345000,14.3528,-79.38015747070312,3387.86,19.3054
70,70,3441.28,350000,24.5661,-141.94305419921875,1955.72,19.0195
71,71,3448.19,355000,15.583,-130.7371826171875,2043.28,17.94
72,72,3452.39,360000,19.6961,-105.58757019042969,2853.2,18.4858
73,73,3463.33,365000,22.5868,-126.94866943359375,2439.36,18.6052
74,74,3467.34,370000,14.0204,-81.8606185913086,3429.42,19.6714
75,75,3189.42,375000,18.9799,-137.569580078125,2636.61,22.6179
76,76,670.44,380000,56.8959,-328.4085388183594,792.18,24.1606
77,77,3400.42,385000,13.1993,-71.30156707763672,3358.76,20.0655
78,78,3485.5,390000,13.4099,-55.20318603515625,3466.5,19.3129
79,79,3475.39,395000,16.3024,-87.00142669677734,3439.35,20.447
80,80,3408.54,400000,13.0813,-54.205596923828125,3373.27,18.6323
81,81,3442.76,405000,13.1634,-91.09798431396484,3396.85,18.8585
82,82,3458.34,410000,16.4232,-104.97872161865234,3322.99,19.4658
83,83,3412.19,415000,13.4672,-101.67035675048828,3389.85,18.8921
84,84,3436.47,420000,13.6821,-108.0465316772461,3408.66,19.7263
85,85,3467.82,425000,12.4862,-88.15061950683594,3410.17,18.5748
86,86,3489.95,430000,39.378,-255.4430389404297,1496.38,20.8706
87,87,3369.33,435000,27.4588,-236.31573486328125,2121.34,20.69
88,88,3422.1,440000,19.7801,-173.22897338867188,2744.4,19.423
89,89,3462.63,445000,14.0578,-114.8277359008789,3342.6,19.8287
90,90,3451.03,450000,17.5427,-205.1769561767578,2496.24,21.0067
91,91,3449.6,455000,12.7935,-113.96198272705078,3411.71,19.614
92,92,3440.55,460000,12.5863,-120.07421112060547,2699.42,19.4612
93,93,3391.56,465000,18.9791,-240.882080078125,2514.57,21.1711
94,94,3411.51,470000,21.464,-172.37286376953125,2763.59,18.849
95,95,3396.25,475000,11.7565,-87.24163818359375,3382.14,17.8968
96,96,3430.88,480000,13.7848,-92.96421813964844,3153.25,19.1588
97,97,3404.77,485000,12.1695,-88.85228729248047,3384.31,17.4868
98,98,3439.33,490000,12.4577,-111.95515441894531,3331.67,18.5884
99,99,3474.37,495000,12.9329,-101.26587677001953,3450.41,18.4812
100,100,3474.15,500000,13.5,-116.70272064208984,3199.05,19.405
101,101,3467.87,505000,15.1467,-172.5326690673828,2690.77,19.5787
102,102,3483.77,510000,12.8737,-120.0870132446289,3341.42,18.8554
103,103,3453.72,515000,13.3848,-119.51564025878906,3226.64,18.9848
104,104,3461.8,520000,12.7442,-177.24014282226562,2687.59,19.6797
105,105,3370.05,525000,12.5672,-104.02377319335938,3384.03,19.2772
106,106,3443.29,530000,12.6742,-152.052734375,2971.59,18.8588
107,107,3432.89,535000,15.2915,-144.53155517578125,2884.4,19.1213
108,108,3432.03,540000,12.9039,-120.54969024658203,3320.89,18.3079
109,109,3449.75,545000,13.0104,-127.35918426513672,3171.52,18.6335
110,110,3474.07,550000,13.8952,-149.11973571777344,3431.88,19.2486
