Itration,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps,Real Det Return,Running Reverse KL,Running Update Time
0,70.33572387695312,190.74,31.877,0,256.1,17.5786,0
1,61.11748123168945,204.34,31.9783,5000,227.33,19.0149,1
2,57.90376281738281,295.89,31.2155,10000,296.69,18.3802,2
3,48.014892578125,296.08,30.3018,15000,317.54,15.6273,3
4,35.06861114501953,360.52,29.9789,20000,366.23,15.1203,4
5,46.98529815673828,393.85,30.1646,25000,404.7,15.5584,5
6,6.370961666107178,390.62,29.6119,30000,400.87,16.5324,6
7,20.57400894165039,412.3,29.3393,35000,433.07,15.7678,7
8,1.2673325538635254,419.02,25.7405,40000,353.22,16.5369,8
9,-15.491593360900879,1008.06,37.8447,45000,1007.74,40.8228,9
10,-41.8455924987793,409.65,28.2491,50000,422.37,29.2075,10
11,-30.487686157226562,161.83,33.4157,55000,151.28,48.4802,11
12,-64.09588623046875,302.25,34.3686,60000,587.73,97.2296,12
13,-44.68114471435547,549.88,25.8833,65000,569.16,16.2655,13
14,-37.62336349487305,408.68,32.7382,70000,374.57,16.7135,14
15,-32.11050033569336,573.42,25.3804,75000,540.86,14.4698,15
16,-64.16336822509766,824.15,25.258,80000,815.99,18.3117,16
17,-78.2198257446289,606.16,24.3389,85000,647.04,25.4613,17
18,-107.35813903808594,827.33,25.5985,90000,822.71,25.3766,18
19,-109.86355590820312,975.17,23.6116,95000,1064.85,25.3069,19
20,-135.2292938232422,761.16,24.7545,100000,800.59,25.3833,20
21,-145.4650421142578,494.56,27.0036,105000,594.87,22.9833,21
22,-193.24093627929688,395.38,32.5414,110000,350.04,29.7528,22
23,-188.63841247558594,351.01,30.4262,115000,352.59,25.0731,23
24,-193.05601501464844,629.19,26.0117,120000,623.4,36.5397,24
25,-123.65910339355469,1149.23,22.0914,125000,800.66,17.0811,25
26,-59.393821716308594,2181.23,19.9848,130000,3033.06,18.1564,26
27,-70.85791015625,1604.69,21.6906,135000,1537.63,14.7698,27
28,-133.76707458496094,897.75,23.9332,140000,998.52,61.065,28
29,-21.646543502807617,2792.93,19.3172,145000,3265.51,10.9297,29
30,-13.678521156311035,2364.07,19.4582,150000,1547.69,12.1078,30
31,-128.64590454101562,1215.96,19.6859,155000,623.77,23.1565,31
32,-92.76136016845703,1702.35,20.8342,160000,2074.67,19.6559,32
33,-60.52324295043945,2668.11,19.1823,165000,2834.46,14.7514,33
34,-56.498870849609375,2657.79,20.2163,170000,3098.18,11.2348,34
35,-10.203287124633789,3028.21,18.3827,175000,3228.66,9.9816,35
36,-132.06614685058594,2074.06,21.4031,180000,3368.2,30.1659,36
37,-40.88637161254883,2894.77,18.4185,185000,3299.86,31.4734,37
38,-7.535979270935059,2879.33,17.7922,190000,3218.01,10.9449,38
39,-137.98773193359375,1173.66,22.3768,195000,1552.21,29.4903,39
40,4.525482654571533,2962.73,18.4016,200000,3203.26,12.327,40
41,-107.39041900634766,1701.36,19.1481,205000,3349.49,35.5348,41
42,-178.72933959960938,788.76,23.6773,210000,761.11,77.3215,42
