Itration,Reward Loss,Running Forward KL,Real Det Return,Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return
0,151.37081909179688,40.1852,178.95,0,0,26.6601,194.24
1,130.04869079589844,37.7584,284.4,1,5000,48.3459,279.98
2,126.75887298583984,37.4662,291.81,2,10000,52.0905,289.57
3,116.47340393066406,37.1212,321.53,3,15000,41.2427,318.25
4,104.37218475341797,37.5966,311.22,4,20000,34.8571,306.74
5,100.55116271972656,36.8748,326.54,5,25000,23.2028,319.35
6,97.37744903564453,36.3517,348.87,6,30000,23.3499,345.28
7,75.1527328491211,34.6253,541.35,7,35000,22.2191,536.04
8,64.92070770263672,35.4553,392.86,8,40000,24.8092,420.21
9,27.400211334228516,31.0146,1523.88,9,45000,17.1079,1574.17
10,35.29431915283203,30.5574,1382.41,10,50000,16.4377,1455.87
11,45.26322555541992,30.8718,1189.84,11,55000,18.4443,1026.14
12,35.21687316894531,30.6258,1033.16,12,60000,19.149,1007.61
13,33.80910110473633,32.4147,824.96,13,65000,19.2198,794.41
14,20.530109405517578,31.7365,1041.31,14,70000,17.9629,1028.11
15,-24.730205535888672,28.4087,2956.51,15,75000,14.7977,3085.71
16,-10.312477111816406,29.2347,1938.84,16,80000,20.2208,1796.92
17,-29.614839553833008,28.1275,2781.25,17,85000,43.996,1664.48
18,-24.41366195678711,30.9936,1541.61,18,90000,32.7195,1119.15
19,-39.909236907958984,26.8406,3432.49,19,95000,14.467,3423.12
20,-50.1658935546875,28.3518,3421.88,20,100000,29.2039,2797.37
21,-40.227821350097656,27.2041,3279.77,21,105000,15.0893,3285.08
22,-45.24131774902344,26.4749,3162.3,22,110000,12.9691,3233.24
23,-107.77454376220703,28.7484,2711.27,23,115000,93.0769,1738.81
