Running Reverse KL,Reward Loss,Running Forward KL,Running Env Steps,Real Sto Return,Itration,Running Update Time,Real Det Return
11.9308,149.01927185058594,49.2259,0,332.45,0,0,137.01
13.8947,93.24317932128906,49.2525,5000,286.86,1,1,339.36
12.3777,131.33517456054688,48.5301,10000,482.48,2,2,425.17
12.7666,141.62196350097656,49.3043,15000,365.94,3,3,402.38
12.8699,115.85810852050781,48.7724,20000,410.56,4,4,420.72
14.2697,84.17376708984375,49.3031,25000,391.5,5,5,341.22
15.9863,18.76415252685547,48.3571,30000,597.57,6,6,573.86
15.9737,11.541515350341797,48.0574,35000,637.21,7,7,564.65
17.638,-23.337020874023438,47.9895,40000,691.54,8,8,696.28
31.9731,-91.64616394042969,47.4324,45000,729.71,9,9,771.63
18.2027,-50.5394172668457,48.2373,50000,577.45,10,10,307.33
21.2255,-46.03642272949219,47.4046,55000,802.15,11,11,841.98
16.5962,32.027767181396484,48.0534,60000,934.31,12,12,779.93
14.177,-27.89842987060547,47.0798,65000,1047.1,13,13,1052.71
13.541,-20.437850952148438,46.7044,70000,1078.02,14,14,1112.81
22.4932,-99.84310150146484,48.3224,75000,750.87,15,15,846.04
15.08,-4.860818386077881,47.4659,80000,832.64,16,16,766.45
18.4477,-68.817138671875,46.7867,85000,888.07,17,17,893.78
15.8519,-20.575613021850586,47.1934,90000,858.88,18,18,846.77
14.2151,-18.43103790283203,47.1267,95000,1074.57,19,19,1398.43
27.8509,-138.10504150390625,47.1674,100000,949.14,20,20,980.24
18.2993,-95.0765609741211,47.8024,105000,988.77,21,21,1118.57
13.0917,-11.94581413269043,46.5032,110000,1213.51,22,22,869.95
13.769,-69.64114379882812,46.4517,115000,1534.13,23,23,1236.54
14.0865,-48.36252212524414,46.5915,120000,1374.3,24,24,729.35
15.5674,-50.16899108886719,45.661,125000,1646.1,25,25,1532.8
15.7086,-57.299644470214844,45.9657,130000,1682.95,26,26,1871.34
15.3979,-39.553375244140625,45.4218,135000,2069.89,27,27,1959.23
16.453,-90.82615661621094,46.2078,140000,2610.84,28,28,2647.99
15.4013,-63.87799835205078,45.8406,145000,2525.03,29,29,2325.66
15.4172,-81.97518920898438,45.5425,150000,2868.88,30,30,2952.13
17.3016,-50.32283020019531,45.4016,155000,2804.49,31,31,3127.82
16.9438,-86.55229187011719,45.7181,160000,2561.6,32,32,3299.6
15.9609,-68.28611755371094,45.1056,165000,2790.05,33,33,3393.06
16.0549,-66.9619140625,45.9382,170000,2531.54,34,34,2801.76
14.7613,-122.76497650146484,45.7715,175000,1987.73,35,35,1730.39
18.5124,-68.13693237304688,45.0968,180000,3202.62,36,36,3398.12
19.2419,-53.03713607788086,45.3519,185000,3207.81,37,37,3402.8
15.1512,-70.5220718383789,46.3123,190000,2093.05,38,38,2473.78
16.1543,-68.62193298339844,45.2787,195000,3141.64,39,39,3298.24
19.3242,-85.50348663330078,45.367,200000,3304.32,40,40,3403.74
19.1806,-62.87905502319336,45.7549,205000,3203.24,41,41,3297.81
18.905,-93.0682144165039,46.2496,210000,3204.55,42,42,3385.39
17.3272,-92.02674102783203,45.0721,215000,3264.5,43,43,3310.88
20.433,-89.37677764892578,45.86,220000,3496.8,44,44,3534.84
21.6524,-106.03445434570312,45.3135,225000,3582.04,45,45,3562.32
21.1544,-106.60773468017578,45.9526,230000,3383.49,46,46,3426.03
20.8822,-124.91085815429688,46.0198,235000,3355.35,47,47,3365.62
22.6187,-144.10147094726562,45.4458,240000,3200.47,48,48,3497.24
21.2476,-85.11334991455078,45.3835,245000,2901.02,49,49,943.16
28.6716,-373.7403259277344,47.3295,250000,172.1,50,50,9.62
22.0125,-343.43658447265625,47.5831,255000,619.06,51,51,1980.81
37.7383,-320.6094970703125,46.6746,260000,2491.27,52,52,6.45
