Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Running Update Time,Real Sto Return
0,-13.3,11.9299,158.511,0,-19.111751556396484,0,-174.85
1,-78.11,11.7736,158.3411,5000,-21.4561824798584,1,-62.53
2,494.48,12.2468,158.2438,10000,-10.432243347167969,2,120.8
3,822.38,13.0186,158.0301,15000,-3.6208629608154297,3,331.54
4,865.41,13.905,158.095,20000,-8.990943908691406,4,486.37
5,954.76,14.4419,158.1947,25000,-13.738393783569336,5,608.18
6,1228.07,14.922,158.2617,30000,-59.22359085083008,6,751.72
7,1163.64,15.0822,158.006,35000,-70.3330078125,7,774.74
8,1336.83,15.6176,157.9732,40000,-112.50764465332031,8,916.63
9,1381.4,15.8716,158.2065,45000,-165.55148315429688,9,984.77
10,1488.29,16.305,157.9189,50000,-171.6263885498047,10,1062.72
11,1538.39,16.2797,158.0772,55000,-230.78173828125,11,1114.24
12,1552.89,16.6962,158.0003,60000,-249.57704162597656,12,1160.61
13,1612.14,16.4774,157.8099,65000,-282.47265625,13,1126.58
14,1623.75,16.5569,157.7958,70000,-319.8931884765625,14,1141.0
15,1656.94,16.6639,157.7264,75000,-358.4547119140625,15,1262.44
16,1663.08,16.6477,157.8372,80000,-406.2935791015625,16,1298.42
17,1682.57,16.583,157.8298,85000,-450.4768371582031,17,1256.37
18,1737.52,16.4531,157.7595,90000,-484.637451171875,18,1310.55
19,1780.19,16.3325,157.7667,95000,-527.4327392578125,19,1346.05
20,1818.21,16.4948,157.7435,100000,-550.76220703125,20,1395.9
21,1819.75,16.0406,157.5562,105000,-598.9592895507812,21,1374.87
22,1817.09,16.5546,157.8232,110000,-637.4234008789062,22,1416.3
23,1811.74,16.1449,157.6094,115000,-677.2855224609375,23,1421.08
24,1823.9,16.4885,157.8332,120000,-702.8417358398438,24,1432.76
25,1853.34,16.3296,157.5363,125000,-748.3014526367188,25,1367.71
26,1878.28,16.2492,157.5521,130000,-775.1458129882812,26,1465.89
27,1895.63,16.3158,157.5569,135000,-810.4724731445312,27,1505.88
28,1890.84,16.4154,157.9258,140000,-855.7865600585938,28,1518.2
29,1863.13,16.3382,157.6698,145000,-879.5068359375,29,1489.42
30,1902.93,16.2559,157.5639,150000,-905.022216796875,30,1548.61
31,1898.88,15.567,157.415,155000,-965.5231323242188,31,1470.91
32,-653.34,24.6869,159.3591,160000,-1207.181396484375,32,-327.8
