Running Reverse KL,Itration,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Running Update Time
26.5625,0,75.9654,240.51,0,-20.18,86.47138977050781,0
25.218,1,73.4104,369.59,5000,-32.67,-25.052045822143555,1
26.7332,2,72.3526,505.01,10000,-29.41,-74.71247100830078,2
28.5589,3,73.1288,614.61,15000,40.65,-142.72018432617188,3
29.5586,4,73.7209,610.76,20000,75.76,-202.9649200439453,4
30.6984,5,73.409,783.67,25000,74.92,-264.3366394042969,5
30.2802,6,72.3705,754.22,30000,92.64,-338.19134521484375,6
30.2964,7,73.4726,577.74,35000,116.41,-405.09783935546875,7
30.2452,8,72.0987,679.66,40000,108.4,-450.77886962890625,8
30.4549,9,71.9883,738.16,45000,124.75,-513.36572265625,9
30.734,10,71.7467,521.65,50000,110.86,-589.8612670898438,10
30.3407,11,70.2714,919.99,55000,170.96,-634.78857421875,11
30.4341,12,70.0523,575.42,60000,120.92,-709.7222900390625,12
30.6983,13,71.148,686.2,65000,164.91,-764.918212890625,13
30.9688,14,72.2166,784.03,70000,131.42,-835.5119018554688,14
30.6556,15,70.1363,632.3,75000,149.61,-886.11376953125,15
31.0102,16,70.796,823.56,80000,204.72,-951.6416015625,16
30.4588,17,69.8251,903.33,85000,188.55,-1003.7008666992188,17
30.7952,18,70.3106,804.86,90000,143.64,-1081.29833984375,18
31.0439,19,72.0023,684.66,95000,123.81,-1152.0948486328125,19
30.9909,20,73.6847,599.07,100000,142.35,-1226.41015625,20
30.8152,21,71.0555,799.55,105000,169.52,-1273.93359375,21
30.4911,22,69.6198,805.59,110000,260.55,-1316.91650390625,22
31.0409,23,72.5661,815.74,115000,168.2,-1411.1021728515625,23
29.9708,24,67.9876,890.78,120000,221.56,-1437.3231201171875,24
31.2379,25,70.9084,745.16,125000,265.41,-1521.84130859375,25
31.068,26,71.8356,717.87,130000,178.64,-1600.2623291015625,26
30.7534,27,70.5614,865.11,135000,294.8,-1641.1583251953125,27
30.767,28,71.0271,901.83,140000,240.91,-1719.3675537109375,28
30.7193,29,67.7458,691.34,145000,223.96,-1769.235595703125,29
30.7609,30,70.7783,620.2,150000,263.06,-1866.7298583984375,30
29.7905,31,67.9512,680.48,155000,240.78,-1892.051513671875,31
30.2785,32,67.8726,877.76,160000,310.04,-1966.466064453125,32
30.3305,33,69.1411,711.46,165000,303.58,-2049.750732421875,33
31.0996,34,70.3576,897.97,170000,230.5,-2126.37646484375,34
30.9057,35,72.2667,760.45,175000,253.09,-2202.657958984375,35
30.6304,36,70.4503,837.9,180000,232.63,-2267.402587890625,36
30.1137,37,69.9027,922.23,185000,285.51,-2333.202392578125,37
30.6594,38,71.3684,671.43,190000,247.02,-2417.913330078125,38
30.2622,39,70.8855,733.48,195000,215.65,-2492.634521484375,39
