Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL,Running Update Time,Running Env Steps,Itration,Running Forward KL
231.57,-157.23092651367188,214.67,19.5477,0,0,0,33.4405
200.53,-170.02566528320312,232.74,19.52,1,5000,1,31.8742
319.75,-183.46649169921875,316.28,19.3264,2,10000,2,30.5345
286.68,-211.6024627685547,172.93,19.1231,3,15000,3,30.4639
464.63,-591.0446166992188,448.79,37.2864,4,20000,4,27.753
382.47,-810.27978515625,395.38,42.217,5,25000,5,27.5654
421.03,-456.43890380859375,419.71,30.466,6,30000,6,26.5189
498.81,-492.4807434082031,448.81,27.8275,7,35000,7,27.3693
608.54,-494.7330322265625,455.82,26.0246,8,40000,8,26.2838
723.02,-461.0030822753906,553.42,22.8457,9,45000,9,26.8143
626.58,-530.3272705078125,568.7,21.388,10,50000,10,25.202
827.82,-483.4723815917969,649.55,18.789,11,55000,11,25.5518
677.25,-573.3515625,693.06,22.923,12,60000,12,26.0635
903.23,-560.5283813476562,876.55,18.1066,13,65000,13,25.0248
227.39,-492.02825927734375,306.74,24.6953,14,70000,14,24.6229
1504.1,-487.25299072265625,1359.29,25.9868,15,75000,15,25.4884
991.12,-621.1216430664062,989.97,35.9715,16,80000,16,24.7276
927.23,-643.664794921875,741.8,31.8257,17,85000,17,24.9578
831.35,-765.1998901367188,750.26,35.783,18,90000,18,26.5166
1505.3,-680.7166748046875,1075.26,35.9152,19,95000,19,24.031
750.4,-712.790283203125,1247.45,28.8775,20,100000,20,24.2614
741.78,-837.546142578125,910.26,33.0517,21,105000,21,25.7478
976.91,-690.7798461914062,895.38,19.0474,22,110000,22,22.3387
935.88,-740.1248779296875,823.79,15.0798,23,115000,23,26.5809
1028.06,-841.2620239257812,1023.75,14.4041,24,120000,24,24.9118
1023.13,-1023.3157958984375,1094.11,25.547,25,125000,25,24.4195
2909.98,-703.8148803710938,2012.91,14.5939,26,130000,26,21.9468
1082.75,-911.7720336914062,1082.93,15.698,27,135000,27,22.8826
995.6,-1161.2423095703125,941.43,20.8209,28,140000,28,26.0292
1214.49,-848.4380493164062,1739.05,17.5365,29,145000,29,21.936
3221.19,-741.8355102539062,2168.99,14.2633,30,150000,30,21.7213
1177.79,-969.8934326171875,1135.34,14.288,31,155000,31,22.3555
1066.7,-956.8414306640625,1532.54,15.3064,32,160000,32,22.2192
986.56,-1021.8002319335938,1059.11,20.6849,33,165000,33,23.2868
3139.05,-419.8822021484375,2580.93,13.2554,34,170000,34,21.5602
1492.44,-827.7344360351562,1582.14,19.404,35,175000,35,21.3223
1304.59,-1164.425537109375,1464.77,17.7638,36,180000,36,23.8207
1002.46,-1013.3743896484375,1433.72,28.2247,37,185000,37,22.9378
2686.8,-1004.6885986328125,1984.89,23.132,38,190000,38,21.0462
2052.9,-989.3399047851562,1562.44,25.8102,39,195000,39,21.9842
1006.76,-1300.5787353515625,1027.14,36.7736,40,200000,40,24.3554
3155.31,-906.9436645507812,1947.32,22.5748,41,205000,41,21.2418
3342.44,-649.1626586914062,1432.68,16.3661,42,210000,42,18.8807
973.82,-992.2366333007812,1747.92,17.9788,43,215000,43,20.7283
3394.16,-206.24647521972656,3049.2,12.3404,44,220000,44,20.3211
1348.5,-1138.0196533203125,1561.47,22.0306,45,225000,45,21.8671
2585.22,-1047.2991943359375,1901.98,19.0732,46,230000,46,22.7311
3422.45,-581.832275390625,2870.72,13.6644,47,235000,47,19.7533
2977.31,-1028.974365234375,1871.86,18.1556,48,240000,48,21.2719
3236.64,-905.3033447265625,2271.12,13.5371,49,245000,49,19.8413
3375.61,-768.5816040039062,2196.06,12.3507,50,250000,50,21.0814
3388.17,-112.05526733398438,3371.29,12.3158,51,255000,51,18.7534
3393.23,-446.0976867675781,2589.42,13.464,52,260000,52,19.7623
1167.32,-1534.779296875,1161.92,21.0078,53,265000,53,23.8548
1273.33,-1413.755859375,1252.08,19.7848,54,270000,54,22.1116
1521.74,-1322.995849609375,1643.95,18.3516,55,275000,55,22.2905
3392.28,-827.032958984375,1924.69,14.9415,56,280000,56,20.3946
2289.36,-1290.8447265625,1787.46,21.2856,57,285000,57,21.4086
3376.5,-1307.314453125,2308.98,16.3958,58,290000,58,22.401
1563.2,-1526.37255859375,1981.44,21.2853,59,295000,59,20.7936
3397.17,-837.3348999023438,2824.37,13.2606,60,300000,60,20.4271
