Real Det Return,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Itration
366.01,277.7447,0,0,347.31,-485.0654602050781,453.1549,0
277.14,263.594,5000,1,309.45,-967.1089477539062,452.1099,1
293.08,297.5079,10000,2,319.2,-1246.7939453125,454.4437,2
287.3,262.885,15000,3,381.67,-1224.181640625,422.0375,3
459.53,264.9204,20000,4,451.91,-1921.991943359375,435.4679,4
439.26,263.3602,25000,5,416.61,-1872.15478515625,430.1388,5
421.21,269.3601,30000,6,457.45,-2033.1158447265625,438.5546,6
398.53,260.2629,35000,7,459.49,-2060.10205078125,434.3814,7
448.68,242.5992,40000,8,445.82,-2690.29541015625,431.7231,8
444.47,279.6784,45000,9,417.92,-2525.09912109375,422.3421,9
413.6,275.3404,50000,10,490.36,-3735.52587890625,428.9776,10
544.55,257.9292,55000,11,555.96,-4251.416015625,420.1089,11
489.41,263.1109,60000,12,539.92,-3674.9609375,429.6432,12
541.53,260.313,65000,13,516.55,-3722.194091796875,421.957,13
649.19,251.3738,70000,14,580.24,-4256.11865234375,411.7464,14
635.2,263.725,75000,15,486.9,-4002.040771484375,410.993,15
614.11,261.6339,80000,16,609.39,-4852.15576171875,416.8872,16
596.42,266.1087,85000,17,625.28,-4570.27099609375,405.7722,17
692.16,260.0802,90000,18,679.86,-5397.32763671875,408.6458,18
640.86,293.6175,95000,19,592.37,-6093.6591796875,411.9854,19
486.54,259.0314,100000,20,547.55,-5491.7392578125,409.4305,20
648.98,250.2621,105000,21,554.56,-6140.4814453125,416.2615,21
722.56,247.6164,110000,22,640.07,-6290.416015625,411.7255,22
610.01,235.7869,115000,23,600.49,-6007.85888671875,412.3991,23
712.8,244.362,120000,24,638.08,-6191.7490234375,415.1096,24
589.76,260.452,125000,25,706.84,-6694.47900390625,409.2798,25
650.73,266.1118,130000,26,591.8,-7427.8408203125,406.9492,26
658.76,270.0197,135000,27,644.51,-7388.5751953125,406.4351,27
559.13,259.6454,140000,28,632.28,-7731.22216796875,400.5131,28
973.81,266.3638,145000,29,819.83,-7407.62744140625,397.5902,29
772.48,273.0751,150000,30,669.1,-7867.0693359375,414.2249,30
878.69,278.662,155000,31,819.27,-8258.2646484375,399.7627,31
861.25,267.4597,160000,32,914.94,-8370.5537109375,405.1158,32
1078.88,242.762,165000,33,1243.83,-7991.0673828125,389.6174,33
878.3,289.3395,170000,34,1143.61,-9051.587890625,398.9817,34
762.89,263.0474,175000,35,1048.64,-8740.0224609375,393.945,35
892.93,288.251,180000,36,807.2,-9647.2646484375,411.6939,36
913.17,250.305,185000,37,821.67,-8998.7666015625,409.3431,37
1591.66,253.8506,190000,38,1314.35,-9049.4501953125,377.7948,38
1371.81,218.4003,195000,39,1333.24,-7886.60498046875,367.408,39
