Running Forward KL,Real Det Return,Running Reverse KL,Running Env Steps,Real Sto Return,Reward Loss,Running Update Time,Itration
446.3412,457.82,254.2204,0,361.96,2222.00048828125,0,0
449.0952,342.59,271.8612,5000,340.5,1434.9197998046875,1,1
423.523,433.2,260.6525,10000,384.52,960.9427490234375,2,2
432.438,317.98,251.7111,15000,414.27,704.7296142578125,3,3
415.8088,497.88,266.6107,20000,443.95,683.9671630859375,4,4
444.173,353.55,304.85,25000,339.62,1571.4566650390625,5,5
432.4746,465.4,289.7618,30000,391.45,1198.2061767578125,6,6
412.3502,353.5,260.1006,35000,389.64,-496.1662292480469,7,7
403.4922,378.73,304.4994,40000,386.79,-246.82057189941406,8,8
413.6965,363.98,287.7814,45000,410.89,-600.7914428710938,9,9
424.4294,317.58,314.1415,50000,400.02,-539.4315795898438,10,10
420.5497,342.97,304.6603,55000,410.53,-1217.91455078125,11,11
403.2657,410.68,268.8652,60000,505.1,-1320.6871337890625,12,12
399.0844,437.04,252.0554,65000,489.8,-1634.6578369140625,13,13
407.8331,404.92,269.17,70000,515.35,-1836.755126953125,14,14
395.709,482.42,258.3085,75000,556.59,-2101.6796875,15,15
400.0461,472.76,250.5184,80000,554.32,-2877.779541015625,16,16
400.1099,627.05,257.5689,85000,624.05,-2620.87939453125,17,17
389.1287,561.29,249.8624,90000,630.71,-3024.36279296875,18,18
396.8239,457.62,251.647,95000,553.38,-3276.6435546875,19,19
377.8243,487.67,243.602,100000,594.02,-3131.0078125,20,20
403.4591,527.97,244.272,105000,611.97,-3135.769287109375,21,21
387.8286,624.77,232.3,110000,620.32,-3817.613037109375,22,22
409.5938,519.82,239.7403,115000,655.93,-3613.570556640625,23,23
403.0288,497.04,229.2096,120000,678.92,-4287.5556640625,24,24
387.344,806.4,231.7263,125000,744.22,-3374.330078125,25,25
394.6565,532.24,244.3475,130000,693.23,-4149.318359375,26,26
