Itration,Running Update Time,Running Env Steps,Running Forward KL,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL
0,0,0,158.3895,-29.02,27.562320709228516,-197.25,11.2564
1,1,5000,158.2499,413.88,-4.190325736999512,-51.91,11.3755
2,2,10000,158.0002,780.07,-33.5516471862793,161.55,12.1923
3,3,15000,157.9083,733.34,-75.80435180664062,285.02,12.436
4,4,20000,157.8829,748.59,-114.0007553100586,339.13,12.7936
5,5,25000,158.0043,875.33,-100.18353271484375,540.29,13.0914
6,6,30000,158.0382,271.89,-150.09799194335938,525.93,14.0427
7,7,35000,158.1891,927.94,-154.48089599609375,485.37,14.4711
8,8,40000,158.0207,1226.4,-207.51515197753906,897.76,15.5786
9,9,45000,157.8627,1495.69,-221.30178833007812,1051.04,16.0762
10,10,50000,157.8153,1534.52,-266.6656188964844,1123.77,16.2574
11,11,55000,157.8082,1598.11,-298.4582214355469,1179.03,16.5295
12,12,60000,157.7981,1568.87,-325.2276916503906,1218.06,16.6517
13,13,65000,157.6947,1655.04,-358.6394348144531,1248.58,16.8942
14,14,70000,157.6905,1706.44,-393.9786071777344,1297.61,16.6791
15,15,75000,157.888,1655.77,-432.99407958984375,1307.51,16.8031
16,16,80000,157.5984,1691.57,-463.1728515625,1314.0,16.2426
17,17,85000,157.7186,1694.32,-495.19146728515625,1336.75,16.5888
18,18,90000,157.8182,1682.73,-524.239990234375,1359.61,16.6591
19,19,95000,157.6834,1814.83,-569.4459838867188,1410.16,16.8168
20,20,100000,157.7787,1829.62,-606.66845703125,1407.54,16.9363
21,21,105000,157.9034,1841.48,-621.3605346679688,1428.4,17.0557
22,22,110000,157.8888,1879.92,-667.8113403320312,1433.1,16.9583
23,23,115000,157.7879,1860.92,-683.265869140625,1473.39,17.0014
24,24,120000,157.8257,1879.44,-701.0785522460938,1478.69,16.7209
25,25,125000,157.9684,1929.99,-765.2653198242188,1508.66,16.9272
26,26,130000,157.7865,1918.41,-770.0131225585938,1535.06,16.8561
27,27,135000,157.8167,1841.37,-784.8814697265625,1530.49,16.656
28,28,140000,157.8677,1916.01,-822.7306518554688,1553.45,16.5974
29,29,145000,157.7758,1923.27,-852.615478515625,1570.82,16.5582
30,30,150000,157.6828,1979.92,-886.04736328125,1573.03,16.9641
31,31,155000,157.6877,1904.94,-897.4405517578125,1589.66,16.537
32,32,160000,157.7661,1953.23,-944.603271484375,1590.16,16.6789
33,33,165000,157.7298,1977.07,-985.415283203125,1650.56,17.0989
34,34,170000,157.4778,1946.38,-985.3713989257812,1607.79,16.457
35,35,175000,157.5418,2007.25,-1036.3812255859375,1635.81,16.6871
36,36,180000,157.6682,2005.01,-1063.607177734375,1619.05,16.9548
37,37,185000,157.6009,2031.36,-1091.5489501953125,1669.51,16.8466
38,38,190000,157.5341,2024.32,-1122.5101318359375,1641.88,16.5809
39,39,195000,157.5519,2025.82,-1135.42529296875,1684.91,16.5996
40,40,200000,157.4638,1975.06,-1185.3677978515625,1654.05,16.4999
41,41,205000,157.6404,1986.02,-1195.1177978515625,1629.82,16.5827
42,42,210000,157.4814,2025.25,-1248.2349853515625,1699.01,16.7003
43,43,215000,157.4917,2052.87,-1279.6043701171875,1717.31,16.9211
44,44,220000,157.5838,2020.79,-1290.5096435546875,1670.8,16.4979
45,45,225000,157.6321,2060.84,-1330.76806640625,1724.05,16.9094
46,46,230000,157.2751,2024.65,-1368.15087890625,1695.12,16.7278
47,47,235000,157.364,2042.25,-1395.1707763671875,1681.2,16.7182
48,48,240000,157.5538,2086.86,-1436.453857421875,1746.65,17.2886
49,49,245000,157.4874,1976.58,-1435.88037109375,1687.65,16.1553
50,50,250000,157.3482,2012.38,-1490.172119140625,1663.19,16.5772
51,51,255000,157.4877,2082.93,-1509.33984375,1698.7,16.5112
52,52,260000,157.375,2069.46,-1551.7578125,1722.93,16.6052
53,53,265000,157.489,2080.1,-1574.5848388671875,1752.18,16.4227
54,54,270000,157.1166,2115.21,-1596.4801025390625,1742.26,16.2343
55,55,275000,157.1026,2099.31,-1629.680419921875,1743.31,16.36
56,56,280000,157.4004,2112.81,-1672.0853271484375,1758.97,16.5439
57,57,285000,157.0587,2084.02,-1684.2427978515625,1723.25,16.3379
58,58,290000,157.2822,2060.82,-1701.468017578125,1745.26,16.2817
59,59,295000,157.2202,2064.08,-1741.3206787109375,1749.48,16.2755
60,60,300000,157.3195,2128.84,-1782.14697265625,1773.69,16.5107
61,61,305000,157.33,2079.53,-1810.7435302734375,1738.61,16.4418
62,62,310000,157.3028,2135.95,-1861.658935546875,1779.23,16.7323
63,63,315000,157.1586,2097.61,-1864.83056640625,1743.12,16.1749
64,64,320000,157.2791,2148.9,-1914.7110595703125,1806.35,16.4149
65,65,325000,157.0942,2018.45,-1917.4644775390625,1710.94,15.8976
66,66,330000,157.2361,2157.15,-1975.412841796875,1814.28,16.5749
67,67,335000,157.149,2125.03,-2001.1153564453125,1790.0,16.2669
68,68,340000,157.1214,2136.79,-2032.6290283203125,1768.29,16.1252
69,69,345000,156.9984,2155.87,-2037.097412109375,1821.11,16.2174
70,70,350000,156.9274,2126.59,-2060.028076171875,1772.29,15.7548
71,71,355000,157.0311,2139.11,-2112.306396484375,1795.77,16.1569
