Real Sto Return,Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL,Reward Loss,Running Env Steps,Itration
312.17,316.79,0,29.9352,13.8272,263.9868469238281,0,0
337.54,347.27,1,30.7399,21.3255,275.2775573730469,5000,1
341.61,346.08,2,29.2271,72.573,333.92083740234375,10000,2
282.64,279.28,3,29.3854,21.326,255.7201690673828,15000,3
460.62,442.84,4,27.3451,20.8014,166.64077758789062,20000,4
481.04,521.43,5,26.1165,26.1377,79.33869171142578,25000,5
408.63,298.66,6,26.0851,19.8603,206.66293334960938,30000,6
766.82,844.02,7,25.4757,16.0115,189.3094482421875,35000,7
662.26,620.88,8,24.3166,16.5009,135.79635620117188,40000,8
519.38,502.95,9,25.9209,18.5448,129.12437438964844,45000,9
605.41,610.55,10,25.444,19.6469,129.4106903076172,50000,10
753.41,898.29,11,25.1714,21.355,13.498531341552734,55000,11
1301.62,1497.57,12,23.7132,20.7894,11.139269828796387,60000,12
2629.9,2498.82,13,25.7467,15.9952,-158.3921356201172,65000,13
1643.22,2683.29,14,24.0993,17.7444,1.3600939512252808,70000,14
2082.64,3023.73,15,25.1093,19.7013,-44.487831115722656,75000,15
2724.17,2933.79,16,24.9608,23.5893,-39.85821533203125,80000,16
1494.45,1746.94,17,23.9781,37.9828,-56.45957946777344,85000,17
2070.26,3183.08,18,23.389,21.2099,-29.4194278717041,90000,18
2932.81,3006.3,19,24.6719,17.2408,-96.29253387451172,95000,19
2946.7,3017.77,20,23.9528,15.1147,-87.18143463134766,100000,20
2043.86,3145.95,21,24.2322,24.0934,-75.4888916015625,105000,21
-2.23,-2.23,22,24.4791,19.541,-328.860107421875,110000,22
1018.14,1016.77,23,37.7536,31.5554,-876.8197021484375,115000,23
1016.89,995.82,24,38.7308,41.023,-959.2001953125,120000,24
348.9,346.27,25,25.3177,16.5492,-262.2871398925781,125000,25
2790.44,2738.95,26,25.68,17.2339,-170.44793701171875,130000,26
1399.2,2012.61,27,25.502,25.2131,-403.66204833984375,135000,27
1770.05,3147.19,28,24.1594,23.6575,-288.9986877441406,140000,28
2645.0,3151.56,29,24.5983,15.3868,-277.8434143066406,145000,29
2638.96,3148.27,30,24.4224,15.0378,-148.6614227294922,150000,30
2649.64,1974.36,31,23.5795,14.2811,-284.53973388671875,155000,31
2618.94,980.09,32,23.4879,13.6601,-255.07875061035156,160000,32
2473.68,3114.36,33,21.9872,13.2029,-233.8362274169922,165000,33
1444.94,2797.82,34,22.4228,12.6359,-305.30267333984375,170000,34
1779.62,3069.94,35,22.9078,13.5259,-390.19183349609375,175000,35
1919.25,2780.42,36,23.3219,13.2911,-316.9578552246094,180000,36
2939.51,3180.13,37,22.9502,13.894,-234.91127014160156,185000,37
2088.18,3187.88,38,22.3151,11.6457,-218.87112426757812,190000,38
3026.42,3203.49,39,22.6071,13.1052,-269.07586669921875,195000,39
3062.86,3146.95,40,23.0724,14.4587,-289.9057312011719,200000,40
3095.43,3181.7,41,23.109,13.9243,-262.6390686035156,205000,41
2505.4,3204.2,42,23.0938,13.6233,-242.1061248779297,210000,42
2639.6,3177.81,43,21.9174,13.398,-248.81228637695312,215000,43
2786.62,3172.49,44,23.5382,14.4575,-307.1290283203125,220000,44
2107.81,3203.46,45,22.3856,15.1111,-423.9947814941406,225000,45
2329.32,3180.53,46,22.1808,13.4772,-410.593994140625,230000,46
3145.94,3179.09,47,22.1641,13.5784,-427.5318603515625,235000,47
2861.07,2798.14,48,22.6299,14.6972,-454.3693542480469,240000,48
2459.52,2247.75,49,22.8277,15.2565,-473.4839172363281,245000,49
2301.52,3165.74,50,22.3156,14.7627,-486.9947814941406,250000,50
2555.22,3211.68,51,22.1661,15.2606,-364.87823486328125,255000,51
3014.79,3143.25,52,21.6911,12.8807,-434.0883483886719,260000,52
2666.79,3186.0,53,22.4416,19.5172,-495.72076416015625,265000,53
2678.54,3160.17,54,22.207,15.9277,-463.0187072753906,270000,54
2980.95,3080.42,55,23.2482,16.7364,-409.1822204589844,275000,55
2194.86,3155.85,56,22.432,17.8248,-662.7738037109375,280000,56
3078.71,3173.24,57,22.537,13.3339,-487.90447998046875,285000,57
2331.3,3205.48,58,21.4964,14.9552,-560.9344482421875,290000,58
2519.51,3153.22,59,22.0419,13.6714,-550.7738037109375,295000,59
1415.87,3175.4,60,22.6414,20.8676,-834.3851928710938,300000,60
2488.51,3178.02,61,22.0809,15.4489,-672.36279296875,305000,61
2609.42,3151.69,62,22.0919,15.3188,-692.7919921875,310000,62
2955.42,3179.09,63,22.6573,14.4166,-500.4436340332031,315000,63
2872.49,3191.0,64,21.3867,12.4677,-579.1801147460938,320000,64
2557.51,3170.31,65,20.8368,13.1184,-546.5680541992188,325000,65
3012.78,3199.22,66,21.2809,13.4841,-601.6681518554688,330000,66
2404.48,3217.83,67,21.7412,14.0934,-692.3326416015625,335000,67
3153.38,3172.37,68,22.0908,13.4298,-567.2269897460938,340000,68
2634.17,2537.52,69,21.4978,16.294,-657.0863647460938,345000,69
2220.43,3195.5,70,21.2321,13.9299,-683.9951782226562,350000,70
3124.32,3254.28,71,21.4914,13.4917,-609.696044921875,355000,71
2205.91,3188.8,72,21.9476,16.756,-756.6143188476562,360000,72
2661.9,3167.12,73,21.5125,13.0293,-650.3748168945312,365000,73
2662.82,3005.63,74,21.9906,13.1537,-643.3629760742188,370000,74
2910.85,3225.21,75,21.2282,12.5471,-581.9986572265625,375000,75
2451.93,3218.04,76,21.2462,15.5692,-850.4151000976562,380000,76
2990.32,3165.77,77,21.3649,12.64,-700.318603515625,385000,77
3169.35,3243.44,78,21.1751,13.0226,-639.0814819335938,390000,78
