Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Update Time,Real Det Return,Running Env Steps
31.0758,212.16,-83.50712585449219,14.2988,0,0,226.64,0
32.2474,245.8,-211.70028686523438,20.1108,1,1,238.03,5000
31.7696,268.75,-211.11923217773438,18.7461,2,2,264.36,10000
32.4036,278.13,-307.5205383300781,21.1761,3,3,280.83,15000
32.9259,283.47,-380.9166564941406,21.4193,4,4,285.49,20000
32.807,309.04,-434.57623291015625,23.0851,5,5,307.41,25000
32.3375,303.54,-475.0047607421875,24.2993,6,6,304.03,30000
32.156,319.91,-449.4598083496094,25.138,7,7,319.7,35000
31.0701,304.22,-413.13372802734375,23.725,8,8,311.52,40000
29.7471,331.29,-463.9018249511719,23.5487,9,9,339.32,45000
28.8458,309.6,-494.4248962402344,20.1703,10,10,304.52,50000
31.6704,322.56,-592.1539306640625,24.1598,11,11,330.1,55000
28.4679,410.85,-689.0064697265625,19.3137,12,12,410.31,60000
28.3874,374.5,-774.6659545898438,19.3396,13,13,360.75,65000
27.8232,386.22,-743.7186279296875,15.1992,14,14,364.23,70000
26.5653,446.52,-732.8646240234375,15.7961,15,15,437.83,75000
26.726,481.5,-687.8377075195312,13.807,16,16,501.34,80000
28.3872,441.19,-879.0188598632812,17.897,17,17,466.32,85000
27.3947,449.32,-988.7911987304688,39.0936,18,18,445.76,90000
26.2195,558.68,-877.8101196289062,18.1763,19,19,561.33,95000
26.5255,596.79,-910.2080078125,19.9524,20,20,618.89,100000
26.0141,714.33,-917.7108154296875,28.1864,21,21,685.85,105000
25.8371,922.29,-790.705078125,24.9424,22,22,982.35,110000
25.1174,1230.45,-754.423095703125,22.8225,23,23,370.73,115000
24.4687,759.76,-691.8839721679688,22.8536,24,24,848.89,120000
26.1298,316.01,-1113.2684326171875,49.2441,25,25,310.39,125000
24.0258,1155.73,-917.9625244140625,29.8046,26,26,1506.26,130000
24.8292,1030.57,-1191.7340087890625,41.8683,27,27,1198.1,135000
24.8824,1122.64,-1286.9437255859375,37.8078,28,28,1210.17,140000
22.4486,1114.68,-888.3235473632812,16.8605,29,29,1023.91,145000
24.3515,1091.85,-1100.44287109375,22.1672,30,30,1996.31,150000
26.2619,927.7,-1263.16259765625,20.6549,31,31,1130.07,155000
24.5875,1444.9,-1200.301513671875,21.0813,32,32,2197.28,160000
23.1588,2130.15,-731.3779296875,16.4324,33,33,2819.54,165000
23.1311,2850.36,-667.10107421875,14.1615,34,34,3007.64,170000
24.3212,1318.98,-1006.8280029296875,13.5897,35,35,1816.63,175000
24.4188,1121.26,-1084.106201171875,14.5376,36,36,1551.62,180000
25.0503,1451.14,-1323.5579833984375,22.3926,37,37,1960.17,185000
24.6047,1095.13,-1573.5013427734375,31.8979,38,38,1227.26,190000
24.9859,1400.73,-1320.62451171875,23.8636,39,39,1813.26,195000
21.8968,3168.44,-224.713623046875,13.9294,40,40,3245.07,200000
25.0664,3348.09,-202.66041564941406,16.5412,41,41,3368.35,205000
21.7301,3171.2,-251.04019165039062,13.6136,42,42,3202.87,210000
23.0245,3226.29,-283.492919921875,14.9538,43,43,3227.29,215000
21.8039,3122.39,-382.8875732421875,13.9932,44,44,3189.96,220000
23.6391,3309.01,-235.01409912109375,15.3391,45,45,3306.03,225000
23.3396,3071.08,-573.6966552734375,18.7088,46,46,3315.54,230000
24.6511,3188.42,-309.7860412597656,15.8709,47,47,3363.79,235000
24.224,2740.92,-493.7853088378906,18.7574,48,48,3332.95,240000
24.5181,3337.35,-266.3660583496094,16.3264,49,49,3356.66,245000
24.256,3195.79,-522.0842895507812,15.9109,50,50,3374.6,250000
24.0016,1439.69,-1288.148193359375,26.0087,51,51,2754.39,255000
24.3155,3006.16,-321.3575134277344,16.133,52,52,3331.34,260000
23.9738,3319.66,-299.73004150390625,16.0717,53,53,3336.67,265000
24.1054,1902.35,-1218.903076171875,23.2801,54,54,3050.5,270000
23.9771,3325.41,-305.1650695800781,16.0132,55,55,3348.85,275000
24.757,3002.89,-371.0903625488281,16.3827,56,56,3342.3,280000
24.7839,3323.85,-361.0412292480469,16.6676,57,57,3338.72,285000
24.0524,3285.74,-426.5423889160156,16.3186,58,58,3310.24,290000
24.2369,3217.67,-436.6413269042969,16.2484,59,59,3342.93,295000
23.5518,3294.03,-461.05706787109375,15.4314,60,60,3320.05,300000
23.7388,3288.34,-419.68206787109375,15.5639,61,61,3363.18,305000
24.2102,3092.9,-530.1702880859375,15.7498,62,62,3307.67,310000
23.2053,2683.66,-828.7536010742188,13.5144,63,63,3306.59,315000
24.5601,3111.4,-575.1149291992188,15.0706,64,64,3345.39,320000
23.8822,3258.67,-477.58087158203125,15.4763,65,65,3335.64,325000
23.0502,3227.34,-541.7684326171875,15.1893,66,66,3338.61,330000
23.484,3264.88,-541.584228515625,15.1964,67,67,3335.55,335000
24.9497,3018.33,-596.4776611328125,16.2621,68,68,3360.45,340000
22.6605,3199.67,-572.5751953125,14.1937,69,69,3303.2,345000
23.5843,2930.64,-648.2849731445312,14.2936,70,70,3376.42,350000
22.321,3318.3,-581.8094482421875,14.2786,71,71,3308.95,355000
23.213,3261.33,-570.7119750976562,14.5647,72,72,3280.15,360000
23.365,3165.93,-607.8236083984375,14.6878,73,73,3332.84,365000
23.7646,2803.6,-613.3142700195312,15.1779,74,74,3324.21,370000
22.4197,3114.96,-527.461669921875,15.0836,75,75,3250.93,375000
23.9609,3136.1,-642.9803466796875,15.804,76,76,3329.92,380000
24.3508,3091.46,-754.3767700195312,14.7043,77,77,3307.77,385000
22.8206,3252.7,-678.8790893554688,14.0424,78,78,3358.71,390000
23.3809,3257.23,-639.6061401367188,14.6591,79,79,3319.14,395000
21.6524,3274.73,-627.764892578125,14.2715,80,80,3311.89,400000
23.2113,3260.92,-771.508056640625,14.3224,81,81,3310.03,405000
24.2572,3058.68,-812.4899291992188,15.2671,82,82,3289.49,410000
23.9503,3311.19,-766.2572631835938,15.4859,83,83,3332.21,415000
23.8966,3019.15,-712.55908203125,15.1128,84,84,3299.44,420000
24.2045,3021.31,-768.3402099609375,14.666,85,85,3305.61,425000
22.3963,3204.84,-713.97314453125,13.9999,86,86,3322.51,430000
23.056,3093.88,-731.9873046875,14.5429,87,87,3310.8,435000
24.1116,2148.71,-1140.6436767578125,13.5017,88,88,3379.33,440000
22.4713,2695.02,-944.1419677734375,12.353,89,89,3290.96,445000
23.3627,3215.07,-889.2655639648438,14.6474,90,90,3300.11,450000
22.8501,3056.34,-811.1753540039062,14.2649,91,91,3306.82,455000
23.1987,3021.1,-868.4793701171875,13.9348,92,92,3309.91,460000
23.4454,2595.3,-1207.696533203125,12.8981,93,93,3324.99,465000
23.5851,2583.83,-1406.223876953125,15.1178,94,94,3351.27,470000
23.7635,2095.56,-1368.096923828125,12.4492,95,95,3075.08,475000
23.1508,2192.52,-1154.882568359375,12.5724,96,96,3342.8,480000
22.5283,3178.04,-875.3750610351562,14.0095,97,97,3295.06,485000
22.9471,3211.59,-947.29931640625,15.0394,98,98,3313.15,490000
23.8748,2497.07,-1316.308837890625,15.1913,99,99,3073.36,495000
22.1727,3061.2,-914.90185546875,13.7366,100,100,3329.82,500000
23.7255,1621.53,-1639.897216796875,13.2558,101,101,1609.8,505000
23.5348,3033.13,-1044.9654541015625,13.9498,102,102,3358.27,510000
22.1753,2988.68,-1189.8045654296875,13.1394,103,103,3234.34,515000
23.0512,2871.53,-1042.03759765625,13.6905,104,104,3392.45,520000
21.7847,2994.01,-995.3046875,13.1485,105,105,3298.11,525000
21.9753,3003.49,-997.1770629882812,14.1106,106,106,3326.34,530000
22.8634,2595.61,-1301.8409423828125,12.3895,107,107,3331.62,535000
23.723,2977.02,-1317.843017578125,14.1789,108,108,3350.25,540000
23.4454,2509.16,-1629.270263671875,13.6261,109,109,3344.13,545000
23.1844,2860.43,-1328.2110595703125,12.9109,110,110,3307.77,550000
22.309,3325.07,-1204.348388671875,14.2186,111,111,3358.67,555000
22.7053,3190.4,-1247.4716796875,14.3362,112,112,3322.88,560000
22.7701,2981.32,-1414.685302734375,14.2035,113,113,3304.44,565000
22.1314,2918.0,-1430.71044921875,13.9442,114,114,3300.12,570000
22.8195,2984.46,-1191.1263427734375,13.2571,115,115,3306.5,575000
22.5177,3033.36,-1550.083740234375,13.8447,116,116,3300.31,580000
22.241,3206.2,-1201.68115234375,13.847,117,117,3327.8,585000
22.0052,2433.54,-1505.4046630859375,12.07,118,118,3304.94,590000
22.6082,3206.54,-1318.820556640625,13.4342,119,119,3353.8,595000
20.9337,3147.24,-1295.9368896484375,12.5673,120,120,3318.87,600000
23.3498,2753.53,-1504.8609619140625,13.7061,121,121,3295.41,605000
22.4706,3339.92,-1234.9039306640625,14.5158,122,122,3364.69,610000
22.1585,2726.74,-1489.6072998046875,14.3379,123,123,3339.06,615000
22.38,2932.66,-1314.2843017578125,13.5221,124,124,3352.12,620000
22.3909,3121.58,-1390.950439453125,13.7647,125,125,3364.44,625000
21.6737,2288.81,-1653.523193359375,13.1185,126,126,3315.57,630000
21.7813,2838.56,-1672.8092041015625,13.1934,127,127,3304.03,635000
21.4106,2931.49,-1477.8304443359375,13.0398,128,128,3337.75,640000
21.2839,3131.63,-1357.5279541015625,13.4655,129,129,3341.5,645000
20.8067,3015.04,-1670.9886474609375,14.3204,130,130,3311.47,650000
21.966,3201.13,-1574.2327880859375,12.601,131,131,3315.14,655000
21.3476,3338.14,-1557.7401123046875,12.2738,132,132,3367.27,660000
22.5038,3088.14,-1744.8704833984375,12.7023,133,133,3328.13,665000
22.6495,3207.63,-1528.9591064453125,13.8713,134,134,3317.34,670000
21.6944,3242.51,-1444.228759765625,14.2251,135,135,3349.42,675000
20.5598,3181.17,-1187.5902099609375,13.2867,136,136,3342.72,680000
21.7731,3262.52,-1572.0074462890625,14.1541,137,137,3370.74,685000
21.8176,3240.65,-1460.5565185546875,14.1234,138,138,3367.76,690000
20.2466,3230.04,-1370.2164306640625,12.859,139,139,3361.11,695000
20.9067,3225.78,-1407.2381591796875,12.8359,140,140,3339.56,700000
20.7551,3197.25,-1542.21728515625,12.3203,141,141,3321.29,705000
22.5335,2373.3,-1997.6463623046875,14.1741,142,142,3371.68,710000
