Reward Loss,Real Det Return,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL,Running Env Steps,Itration
62.45720291137695,-21.71,11.4091,0,-195.72,158.3452,0,0
58.99739074707031,68.99,11.6323,1,-97.06,158.2567,5000,1
-96.59719848632812,-55.81,12.7079,2,-68.54,158.5781,10000,2
-139.4408416748047,302.5,12.1488,3,119.12,158.3156,15000,3
-69.8532485961914,-11.71,12.7273,4,274.42,158.0735,20000,4
-20.326732635498047,1016.17,13.47,5,665.08,157.7739,25000,5
-70.2326889038086,781.42,13.2154,6,740.42,157.5106,30000,6
-86.80868530273438,1002.21,14.5912,7,838.99,157.7141,35000,7
-107.6507568359375,1317.84,15.1204,8,967.95,157.6973,40000,8
-148.49681091308594,1218.15,15.3362,9,982.64,158.0722,45000,9
-178.80284118652344,706.32,15.9181,10,1035.53,158.0655,50000,10
-210.7926025390625,1088.39,16.4061,11,1101.94,158.0243,55000,11
-256.26611328125,423.02,15.6673,12,846.94,157.8065,60000,12
-257.94256591796875,1554.03,16.4576,13,1179.14,157.8083,65000,13
-301.18756103515625,1550.24,16.504,14,1165.19,157.854,70000,14
-349.3082580566406,1643.03,15.9121,15,1244.46,157.876,75000,15
-378.8526611328125,1227.44,16.3409,16,859.98,157.8249,80000,16
-426.9981384277344,1684.19,15.096,17,1247.3,157.796,85000,17
-427.4609680175781,1790.45,16.1946,18,1372.3,157.5724,90000,18
-496.7695007324219,1552.89,16.2364,19,1390.43,157.8792,95000,19
-551.8427734375,1711.82,16.3174,20,1311.07,157.8893,100000,20
-592.8959350585938,1805.06,16.0935,21,1428.67,157.7188,105000,21
-597.0664672851562,1855.33,16.5998,22,1482.84,157.7317,110000,22
-656.4279174804688,1853.53,16.5276,23,1519.57,157.623,115000,23
-712.398193359375,1832.47,16.2318,24,1494.52,157.7271,120000,24
-748.7625122070312,1856.39,16.2847,25,1552.37,157.7238,125000,25
-759.5521240234375,1924.44,16.4642,26,1568.39,157.3267,130000,26
-797.1423950195312,1915.56,16.2311,27,1549.16,157.4902,135000,27
-828.2608032226562,1944.03,16.5383,28,1587.76,157.3192,140000,28
-878.7086181640625,1976.78,16.2738,29,1579.6,157.2037,145000,29
-918.4395751953125,1969.66,16.2185,30,1573.46,157.3357,150000,30
-943.8493041992188,1967.01,16.1739,31,1626.22,157.3204,155000,31
-987.6802368164062,2007.08,16.5379,32,1631.15,157.3183,160000,32
-1025.724365234375,1983.84,16.1242,33,1627.51,156.9336,165000,33
-1054.921630859375,1981.94,16.1314,34,1645.7,157.0645,170000,34
-1088.2738037109375,1990.03,15.9323,35,1641.59,157.0915,175000,35
-1139.8388671875,2038.2,16.111,36,1685.71,157.168,180000,36
-1175.0750732421875,2009.22,15.7229,37,1636.16,157.0231,185000,37
-1210.34912109375,2009.25,15.7735,38,1623.81,157.0966,190000,38
-1267.476318359375,1908.06,15.6516,39,1619.92,157.3644,195000,39
-1273.9461669921875,2058.0,15.8706,40,1709.72,156.9277,200000,40
-1319.9832763671875,2005.75,15.9823,41,1646.53,156.9221,205000,41
-1352.14453125,2023.88,15.7685,42,1673.38,157.2446,210000,42
-1367.7906494140625,2049.81,16.686,43,1744.73,157.014,215000,43
-1398.884033203125,2064.25,15.7738,44,1682.41,156.6432,220000,44
-1469.1171875,2028.73,16.003,45,1675.09,157.0566,225000,45
-1473.1834716796875,2085.88,15.7138,46,1735.31,157.0034,230000,46
