Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Itration,Real Det Return,Running Forward KL,Reward Loss
18.0472,0,325.21,0,0,338.62,30.5645,661.3507080078125
22.5452,5000,275.64,1,1,293.01,30.5523,398.9532775878906
42.0432,10000,336.99,2,2,351.57,29.2971,717.3352661132812
31.3837,15000,354.91,3,3,474.31,26.9699,232.09194946289062
30.8983,20000,400.27,4,4,385.03,27.7049,310.5541687011719
29.0183,25000,397.82,5,5,407.85,29.655,222.71810913085938
18.2917,30000,593.36,6,6,537.74,25.7256,241.04971313476562
105.5318,35000,1.71,7,7,1.69,36.6573,-164.5028076171875
209.7473,40000,36.5,8,8,36.01,38.2345,-190.73402404785156
156.3123,45000,227.77,9,9,257.67,33.9087,-145.188720703125
176.2073,50000,143.92,10,10,133.59,32.4965,7.763134002685547
59.6344,55000,182.32,11,11,181.59,35.2529,-81.59042358398438
23.6682,60000,70.76,12,12,70.76,33.0496,-22.222698211669922
34.3103,65000,163.52,13,13,164.49,33.1891,-1.4469716548919678
218.9078,70000,47.03,14,14,47.35,35.7209,-497.74127197265625
154.6665,75000,106.08,15,15,111.31,31.3651,-229.35818481445312
55.1294,80000,978.37,16,16,978.84,36.0557,-427.71014404296875
48.1963,85000,464.63,17,17,469.85,34.1235,-872.3607177734375
41.7125,90000,1042.52,18,18,1042.59,37.2146,-531.2280883789062
129.7713,95000,141.79,19,19,140.49,32.6671,-586.9260864257812
73.2361,100000,972.92,20,20,972.63,39.2882,-626.6458740234375
83.34,105000,390.38,21,21,388.13,38.0849,-705.5413208007812
143.7275,110000,181.95,22,22,190.97,36.4162,-834.2991943359375
60.7818,115000,335.52,23,23,386.26,36.4667,-762.136962890625
88.0986,120000,217.43,24,24,217.71,32.0404,-671.140625
60.6808,125000,691.58,25,25,693.59,34.3678,-879.6771240234375
88.5777,130000,812.83,26,26,801.44,33.3147,-730.5174560546875
66.6771,135000,1071.66,27,27,1071.79,37.7836,-981.9583129882812
42.1112,140000,454.48,28,28,450.94,39.2372,-1013.59619140625
45.3651,145000,994.93,29,29,994.96,39.4748,-1011.6000366210938
38.9213,150000,272.4,30,30,271.02,38.388,-1104.0882568359375
43.5603,155000,333.86,31,31,332.3,39.9987,-1173.7239990234375
56.2876,160000,175.93,32,32,174.8,33.5522,-1055.5970458984375
77.6205,165000,93.66,33,33,93.86,33.7318,-1348.2078857421875
27.0468,170000,805.49,34,34,769.8,35.8112,-900.7501831054688
36.2748,175000,988.0,35,35,988.34,36.4591,-1045.023193359375
32.3197,180000,943.15,36,36,943.08,35.7912,-1246.5567626953125
32.5446,185000,906.54,37,37,885.73,35.7496,-1194.633544921875
32.7398,190000,528.46,38,38,542.1,35.8405,-1310.2177734375
37.5914,195000,317.26,39,39,328.11,35.9274,-1187.3770751953125
33.7608,200000,654.15,40,40,675.44,35.815,-1290.772705078125
32.7456,205000,705.48,41,41,669.84,31.5495,-1402.975341796875
27.5365,210000,873.41,42,42,873.95,35.4725,-1241.462646484375
166.3117,215000,91.78,43,43,92.45,37.846,-1922.1387939453125
122.9566,220000,167.26,44,44,164.96,36.127,-1835.42822265625
26.6168,225000,175.48,45,45,186.69,35.1807,-1111.4339599609375
36.0817,230000,967.9,46,46,982.38,34.4823,-1793.0550537109375
22.5208,235000,932.27,47,47,961.66,34.823,-1313.881591796875
20.3416,240000,890.06,48,48,849.02,34.346,-951.2504272460938
22.7088,245000,948.75,49,49,948.89,34.8227,-1353.2860107421875
36.686,250000,993.83,50,50,993.66,37.4026,-2034.9703369140625
21.3954,255000,949.61,51,51,963.98,34.3939,-1508.2501220703125
30.3088,260000,167.75,52,52,227.95,35.5043,-1681.7603759765625
26.1452,265000,955.02,53,53,956.67,35.1899,-1772.114013671875
23.6568,270000,948.3,54,54,946.23,34.7414,-1656.8275146484375
29.759,275000,1007.82,55,55,1008.23,36.7345,-2059.858154296875
24.0253,280000,976.65,56,56,976.43,35.072,-1912.08203125
28.208,285000,934.39,57,57,925.11,34.9119,-2004.391845703125
28.1256,290000,964.4,58,58,966.48,35.3351,-2124.180908203125
31.581,295000,973.91,59,59,972.7,36.3366,-2281.445068359375
22.8656,300000,852.17,60,60,781.94,32.0419,-1803.677001953125
26.3901,305000,947.77,61,61,951.73,34.7211,-2346.5205078125
26.1464,310000,954.16,62,62,954.22,34.8434,-2256.626220703125
26.1177,315000,948.01,63,63,954.49,34.8733,-2212.02880859375
30.2509,320000,1007.93,64,64,1008.85,36.0711,-2671.09033203125
20.7418,325000,944.5,65,65,943.19,33.511,-2024.5096435546875
20.77,330000,944.76,66,66,944.03,34.5438,-1484.1563720703125
22.3819,335000,845.98,67,67,764.26,32.7784,-2558.897705078125
21.3828,340000,185.99,68,68,171.15,30.2945,-1869.9150390625
19.9588,345000,172.69,69,69,206.68,29.8716,-1722.74560546875
22.2869,350000,1020.88,70,70,1018.09,34.8586,-2368.795166015625
18.563,355000,939.7,71,71,888.85,34.3623,-2092.518310546875
20.1303,360000,965.25,72,72,963.39,34.6749,-2296.36279296875
22.4327,365000,941.93,73,73,942.84,34.668,-2193.13525390625
23.8554,370000,964.51,74,74,964.14,35.3217,-2765.707763671875
22.1315,375000,931.5,75,75,946.66,35.5786,-2765.462890625
66.6806,380000,198.98,76,76,184.43,35.642,-3242.152587890625
75.1995,385000,150.3,77,77,145.13,35.7007,-3318.79150390625
34.9802,390000,574.21,78,78,553.39,35.1367,-3171.589599609375
21.9564,395000,933.03,79,79,949.46,35.2525,-2824.16162109375
24.4636,400000,947.63,80,80,923.09,35.3454,-2775.072021484375
25.6929,405000,951.15,81,81,951.67,35.0698,-2727.762939453125
30.4175,410000,591.71,82,82,613.85,35.5808,-3088.55322265625
58.7134,415000,392.78,83,83,381.48,36.2176,-3379.36181640625
25.7996,420000,642.89,84,84,616.82,35.6971,-3029.39453125
25.7954,425000,499.82,85,85,520.11,35.7571,-2802.300537109375
24.9991,430000,771.68,86,86,770.33,35.6719,-3123.02685546875
26.6035,435000,884.86,87,87,903.94,35.5207,-2907.300537109375
26.6743,440000,347.43,88,88,326.54,35.7743,-2852.99609375
25.7959,445000,730.44,89,89,646.92,35.6055,-3074.625732421875
25.3888,450000,779.84,90,90,825.89,35.6069,-3124.88232421875
24.7471,455000,311.6,91,91,312.69,35.493,-2983.80078125
24.2771,460000,344.93,92,92,361.46,35.5761,-3340.62353515625
29.1238,465000,350.71,93,93,371.21,36.3566,-3554.417236328125
26.5996,470000,868.37,94,94,877.45,35.1913,-3808.744384765625
29.6534,475000,970.98,95,95,970.75,36.7235,-4073.68212890625
38.2746,480000,1009.96,96,96,1010.15,37.4614,-4446.24365234375
30.3081,485000,951.38,97,97,950.64,35.936,-3672.88525390625
29.9704,490000,995.03,98,98,993.85,36.7472,-4245.27685546875
27.1003,495000,962.74,99,99,961.53,35.9103,-3900.116455078125
29.0215,500000,966.59,100,100,966.54,36.0972,-3917.8837890625
32.788,505000,964.13,101,101,964.13,36.2629,-3787.5830078125
29.0239,510000,970.33,102,102,970.42,35.956,-4207.39404296875
