Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Itration,Running Update Time,Real Sto Return
0,22.4836,33.872,196.64,288.2138366699219,0,0,195.56
5000,19.0439,31.1681,253.35,243.97877502441406,1,1,263.34
10000,27.6926,31.7565,296.23,59.35414123535156,2,2,289.76
15000,39.7782,31.2648,334.91,-24.445659637451172,3,3,319.7
20000,48.5234,30.8038,322.7,-37.76298522949219,4,4,313.0
25000,38.8171,30.3211,366.73,-62.337890625,5,5,360.68
30000,33.6009,27.7989,302.5,-89.6806869506836,6,6,325.3
35000,30.0217,25.5921,966.6,-79.28691864013672,7,7,855.21
40000,24.7477,24.8949,598.56,-84.03900146484375,8,8,730.39
45000,22.4875,25.6712,788.5,-123.30711364746094,9,9,827.12
50000,31.3741,26.4266,824.84,-155.61830139160156,10,10,728.94
55000,31.4738,25.7124,851.79,-189.96348571777344,11,11,819.61
60000,17.7773,24.8425,1130.74,-69.7007064819336,12,12,1014.73
65000,16.5556,23.8474,997.51,264.23980712890625,13,13,992.57
70000,13.6262,22.8114,1003.23,-40.77607727050781,14,14,1019.75
75000,12.1891,23.7779,957.76,169.99615478515625,15,15,887.59
80000,13.4022,23.8984,832.23,97.47854614257812,16,16,759.32
85000,12.4929,22.8871,1133.05,140.81640625,17,17,1018.55
90000,12.9398,22.9995,1032.92,31.979562759399414,18,18,889.79
95000,11.4315,20.085,2832.75,-5.332744121551514,19,19,1806.23
100000,18.426,22.2644,1964.99,-236.45184326171875,20,20,1353.98
105000,14.2241,21.2823,2919.82,-173.24398803710938,21,21,1817.18
110000,12.6505,21.4322,2816.98,-99.9226303100586,22,22,1927.69
115000,15.8123,22.3812,1450.55,-169.60977172851562,23,23,1254.19
120000,19.8263,22.0455,1091.99,-286.448974609375,24,24,1099.52
125000,18.2074,21.8677,1234.32,-309.6474609375,25,25,1180.19
130000,20.3026,22.1227,1195.57,-340.64276123046875,26,26,1016.77
135000,16.0099,20.8262,3250.27,-236.83657836914062,27,27,1900.08
140000,17.9547,20.4113,1583.93,-389.07769775390625,28,28,1102.95
145000,11.1104,19.1112,3211.85,-129.19842529296875,29,29,2816.0
150000,13.7157,19.9738,3220.37,-300.0139465332031,30,30,2691.76
155000,11.7345,20.5687,3061.54,-225.75274658203125,31,31,3067.34
160000,12.9061,22.1058,3064.53,-235.69259643554688,32,32,3078.63
165000,11.1625,20.2348,3165.18,-191.1536102294922,33,33,2772.94
170000,10.2615,17.4725,3284.8,-191.3169403076172,34,34,2835.52
175000,10.7557,19.4129,3190.42,-187.37403869628906,35,35,3230.59
180000,11.0841,19.6964,3231.26,-187.9578094482422,36,36,3182.33
185000,11.5168,19.9265,3209.8,-178.3719482421875,37,37,3134.46
190000,11.6683,20.4774,3213.39,-248.9585418701172,38,38,3186.05
195000,10.6779,19.0946,3179.72,-227.69454956054688,39,39,2875.88
200000,10.7011,19.6483,3159.94,-211.82171630859375,40,40,3167.62
205000,12.8188,20.8706,3053.12,-487.5013732910156,41,41,1790.58
210000,9.9498,18.8048,3040.88,-231.64442443847656,42,42,2857.97
215000,10.8809,19.0772,3189.77,-213.1580047607422,43,43,3016.76
220000,10.5294,20.064,3006.95,-307.007568359375,44,44,2814.42
225000,10.3514,18.6701,3210.57,-187.674560546875,45,45,3236.49
230000,9.9502,19.3225,3107.13,-277.6379699707031,46,46,3133.99
235000,10.9331,19.5522,3109.02,-216.71177673339844,47,47,3084.11
240000,10.5123,19.606,3104.41,-299.22454833984375,48,48,3073.29
245000,11.1288,20.2154,3097.63,-360.4685363769531,49,49,3117.2
250000,10.395,18.2626,3198.65,-246.6355743408203,50,50,3154.24
255000,10.9481,19.0657,3211.01,-273.2572937011719,51,51,3181.87
260000,10.2033,18.8087,3153.68,-270.39703369140625,52,52,3181.72
265000,10.6942,18.3732,3265.75,-255.15623474121094,53,53,3291.85
270000,10.9475,19.73,3180.93,-301.348388671875,54,54,3163.69
275000,10.2595,18.0243,3363.87,-377.2937927246094,55,55,2870.92
280000,9.3483,18.0009,3163.3,-288.87109375,56,56,3210.91
285000,10.7601,19.5102,3187.08,-361.099853515625,57,57,3169.49
290000,11.1989,17.954,3355.46,-210.5906524658203,58,58,3268.57
295000,12.3245,19.6637,3194.84,-386.7698059082031,59,59,3167.64
300000,11.702,17.7509,3248.53,-291.05950927734375,60,60,3288.08
305000,11.2996,19.1247,3213.42,-325.5633850097656,61,61,3225.76
