Running Update Time,Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return,Reward Loss,Running Env Steps
0,0,19.6996,31.0662,297.21,328.09,-1197.531494140625,0
1,1,30.1303,31.7004,321.92,343.93,-1263.7637939453125,5000
2,2,36.8671,29.9156,366.94,373.06,-1326.205810546875,10000
3,3,34.9109,29.8497,342.08,371.42,-1477.98974609375,15000
4,4,39.9723,28.6024,369.43,301.93,-1422.2921142578125,20000
5,5,33.4224,27.3316,331.88,328.36,-1417.97265625,25000
6,6,35.3795,27.9608,547.18,573.44,-1455.162109375,30000
7,7,24.8072,25.6751,765.41,836.39,-1388.269287109375,35000
8,8,25.3928,25.4964,827.92,886.62,-1434.2725830078125,40000
9,9,25.3323,26.0393,713.07,733.41,-1506.8521728515625,45000
10,10,27.7754,25.8227,887.04,903.47,-1540.024169921875,50000
11,11,25.874,24.6245,1180.77,1437.95,-1380.2872314453125,55000
12,12,13.9518,23.5751,2591.32,2840.06,-470.4861145019531,60000
13,13,14.2513,23.469,2146.37,2753.38,-764.724853515625,65000
14,14,17.4766,24.0167,1869.01,3148.92,-1115.8001708984375,70000
15,15,14.7652,23.1546,2948.58,2898.57,-451.8185119628906,75000
16,16,15.0785,22.8458,2994.37,2961.18,-457.2547302246094,80000
17,17,13.9962,22.8338,2950.34,2960.46,-532.6323852539062,85000
18,18,14.9321,22.8823,3040.64,3014.66,-357.8456726074219,90000
19,19,14.1345,22.0874,3094.03,3033.01,-416.3375244140625,95000
20,20,15.0658,22.8607,3009.54,3086.82,-405.4505615234375,100000
21,21,14.7181,22.93,2221.91,1119.09,-473.2171630859375,105000
22,22,13.351,21.5712,2975.93,3181.86,-442.5196228027344,110000
23,23,18.6695,23.2196,1512.69,1762.12,-1482.1053466796875,115000
24,24,12.803,20.9853,2527.03,3174.36,-414.4360046386719,120000
25,25,14.9126,22.5463,3088.11,3098.37,-469.79022216796875,125000
26,26,13.5774,21.9575,3031.75,3145.16,-506.4446105957031,130000
27,27,14.3539,22.1867,3125.39,3080.27,-505.68353271484375,135000
28,28,13.7276,21.6378,3081.26,3088.65,-489.5979919433594,140000
29,29,17.1795,21.6076,3086.29,3187.26,-743.0498657226562,145000
30,30,16.2494,22.2302,2930.84,3190.22,-679.7528686523438,150000
