Real Sto Return,Running Env Steps,Running Forward KL,Running Update Time,Real Det Return,Running Reverse KL,Itration,Reward Loss
-63.17,0,75.095,0,376.81,26.1808,0,48.49681854248047
-36.34,5000,73.301,1,463.02,24.7617,1,32.76158905029297
-27.49,10000,74.1365,2,460.24,26.7591,2,23.48069953918457
28.54,15000,73.5061,3,448.72,26.7985,3,15.828514099121094
10.7,20000,73.5789,4,555.18,27.3008,4,1.0278410911560059
48.83,25000,71.7712,5,507.08,28.079,5,-4.338967800140381
59.81,30000,72.2359,6,557.2,29.1498,6,-13.88213062286377
114.0,35000,69.9824,7,799.04,28.9119,7,-25.847074508666992
129.13,40000,71.1975,8,805.62,29.6519,8,-37.53797149658203
152.52,45000,69.0799,9,966.94,30.0547,9,-44.24094009399414
156.49,50000,67.4029,10,766.08,29.4034,10,-56.242698669433594
132.58,55000,70.5192,11,739.37,30.8408,11,-74.47323608398438
133.57,60000,71.8673,12,730.05,30.3963,12,-89.08802795410156
198.06,65000,68.8917,13,1036.86,30.6849,13,-95.31591033935547
218.08,70000,68.6424,14,864.93,31.5179,14,-107.4066162109375
181.49,75000,71.2831,15,868.24,31.2412,15,-120.12227630615234
189.18,80000,71.8218,16,957.01,31.0307,16,-132.71360778808594
173.16,85000,70.5476,17,801.83,31.1238,17,-142.91677856445312
205.31,90000,71.6627,18,874.38,30.8112,18,-159.89808654785156
169.66,95000,71.9367,19,947.78,31.129,19,-174.38233947753906
180.49,100000,70.9896,20,793.16,31.5136,20,-186.75149536132812
161.43,105000,73.8382,21,476.78,33.7176,21,-189.93370056152344
34.52,110000,75.1996,22,430.22,32.4518,22,-212.65834045410156
-470.31,115000,79.5755,23,-961.82,53.5754,23,-221.1593017578125
-213.09,120000,76.369,24,-30.86,42.574,24,-249.28875732421875
-253.2,125000,74.8491,25,440.61,35.3063,25,-242.40017700195312
-198.89,130000,72.2473,26,138.78,27.1165,26,-252.70521545410156
-93.55,135000,71.6276,27,72.89,28.0099,27,-271.4340515136719
-153.7,140000,73.0598,28,106.4,30.5042,28,-288.8048095703125
-92.34,145000,77.1099,29,-62.9,33.5855,29,-293.65325927734375
-197.56,150000,74.5997,30,62.27,30.4199,30,-318.7608337402344
-98.18,155000,73.9082,31,136.06,30.1913,31,-324.10296630859375
-64.94,160000,73.5056,32,116.86,29.069,32,-343.44781494140625
-134.14,165000,73.388,33,-107.11,30.2939,33,-354.53985595703125
-19.93,170000,74.4214,34,102.59,30.9277,34,-368.3341979980469
-67.58,175000,72.6103,35,87.13,33.7366,35,-385.43951416015625
-134.84,180000,74.3079,36,1.55,35.1542,36,-398.3245544433594
-23.31,185000,71.2759,37,12.47,28.318,37,-406.14306640625
-109.41,190000,73.798,38,-604.71,30.0369,38,-422.9725341796875
-76.82,195000,74.2751,39,158.6,32.5808,39,-428.1085510253906
-54.17,200000,75.0352,40,251.42,33.414,40,-447.537353515625
-38.93,205000,75.3029,41,167.24,30.1254,41,-460.0140686035156
-52.95,210000,74.0642,42,192.94,30.7302,42,-476.7523498535156
-313.04,215000,71.2916,43,-499.49,39.8756,43,-438.11309814453125
-208.33,220000,73.539,44,-423.63,39.4899,44,-481.1966247558594
-67.59,225000,72.612,45,-41.26,31.9093,45,-515.0770263671875
-59.2,230000,73.6664,46,99.38,32.6286,46,-536.1671752929688
-141.65,235000,73.1732,47,9.81,33.13,47,-532.4114990234375
-64.4,240000,72.413,48,72.67,32.0873,48,-551.0260009765625
-29.86,245000,71.8404,49,5.74,30.2694,49,-566.044921875
-41.68,250000,71.9018,50,259.42,29.2148,50,-578.6783447265625
-52.05,255000,72.6048,51,87.15,28.1578,51,-586.175537109375
-31.34,260000,73.2951,52,82.45,30.7206,52,-615.8170166015625
-31.44,265000,75.1991,53,-178.73,31.3016,53,-633.3527221679688
-17.51,270000,73.044,54,244.21,29.0069,54,-653.6686401367188
-20.53,275000,75.77,55,38.39,33.9992,55,-650.8366088867188
-56.29,280000,73.1372,56,68.32,32.7964,56,-689.6755981445312
-31.14,285000,71.8274,57,35.04,31.7864,57,-686.3175048828125
-29.17,290000,73.7704,58,-64.26,29.8702,58,-703.9232177734375
-57.23,295000,72.8444,59,144.75,30.8823,59,-714.3710327148438
-3.64,300000,73.766,60,110.86,31.637,60,-759.3216552734375
-18.45,305000,72.8505,61,94.11,30.5267,61,-737.5294189453125
-27.03,310000,72.4349,62,120.54,34.4608,62,-770.3081665039062
-61.14,315000,71.7124,63,-342.37,45.9662,63,-724.1268920898438
-33.87,320000,74.1795,64,106.71,29.9542,64,-786.03125
-28.55,325000,71.2006,65,-13.08,30.3662,65,-808.1426391601562
-4.38,330000,71.6996,66,42.35,30.1585,66,-834.2631225585938
-7.38,335000,72.8881,67,186.75,33.2761,67,-866.874755859375
-7.28,340000,73.5973,68,224.06,30.1209,68,-870.9658813476562
-17.25,345000,71.9816,69,305.45,30.5135,69,-868.0360717773438
-9.04,350000,73.5358,70,226.07,32.3625,70,-888.0218505859375
-33.99,355000,74.9157,71,-75.0,30.8893,71,-933.111572265625
-6.07,360000,70.5872,72,306.64,29.8623,72,-917.8238525390625
-17.45,365000,70.0004,73,248.0,30.0427,73,-936.2951049804688
-40.47,370000,73.888,74,86.74,29.4485,74,-967.7802734375
-36.86,375000,71.8081,75,-1.62,33.0426,75,-985.9718017578125
-57.51,380000,73.551,76,-229.48,29.9869,76,-1016.7738037109375
-50.77,385000,70.7541,77,172.17,31.5734,77,-1033.044189453125
-38.62,390000,72.5515,78,229.73,33.1627,78,-1053.777099609375
-76.22,395000,73.3133,79,94.09,33.7072,79,-1075.391357421875
-80.85,400000,71.4791,80,200.61,31.5614,80,-1079.0625
-60.84,405000,75.1344,81,42.8,41.4511,81,-1138.88330078125
-56.38,410000,72.2163,82,-23.05,32.2642,82,-1134.7713623046875
-42.25,415000,73.3512,83,23.19,32.8117,83,-1181.1904296875
-41.0,420000,72.3268,84,184.97,28.5929,84,-1168.2105712890625
-64.17,425000,70.9729,85,-136.06,32.3732,85,-1218.46435546875
2.51,430000,72.8641,86,224.5,31.3096,86,-1235.243408203125
-50.45,435000,71.8278,87,320.19,30.0011,87,-1255.0045166015625
-32.87,440000,72.5713,88,258.75,30.614,88,-1262.902099609375
-29.16,445000,71.2708,89,196.13,29.3312,89,-1262.6898193359375
-38.05,450000,69.4829,90,247.88,31.0181,90,-1320.9781494140625
-67.88,455000,71.0715,91,137.07,32.7701,91,-1326.07080078125
-78.83,460000,71.9201,92,-0.83,28.7703,92,-1331.402587890625
-74.44,465000,73.1072,93,107.54,36.7644,93,-1411.6883544921875
-112.55,470000,74.2105,94,-99.17,34.8679,94,-1429.083740234375
-148.04,475000,73.2278,95,35.56,36.9172,95,-1456.4071044921875
-213.48,480000,76.6378,96,6.82,39.3884,96,-1511.362060546875
-27.14,485000,74.9222,97,-48.02,47.9804,97,-1519.2802734375
3.07,490000,72.311,98,169.04,28.0866,98,-1494.22509765625
-81.4,495000,71.9987,99,170.23,35.3533,99,-1537.1885986328125
-76.94,500000,72.5162,100,204.72,34.1735,100,-1577.359130859375
8.08,505000,72.5021,101,234.37,29.3094,101,-1617.110595703125
-72.13,510000,72.9361,102,149.95,29.798,102,-1595.91845703125
-43.39,515000,73.9916,103,114.02,32.2952,103,-1718.285400390625
-29.03,520000,71.5259,104,199.56,30.3012,104,-1673.49560546875
-66.02,525000,72.6132,105,281.51,31.9448,105,-1663.931640625
-96.89,530000,71.5575,106,105.53,29.7324,106,-1733.9332275390625
-48.01,535000,73.3038,107,39.4,31.0304,107,-1772.1175537109375
-140.73,540000,72.6444,108,88.18,29.5998,108,-1762.1827392578125
