Running Forward KL,Real Det Return,Real Sto Return,Itration,Running Env Steps,Running Reverse KL,Reward Loss,Running Update Time
39.3176,1017.98,1018.02,135,675000,118.3946,-5642.69677734375,135
40.2464,995.12,995.11,136,680000,150.8785,-5820.02783203125,136
39.501,1004.91,1004.45,137,685000,131.8734,-5867.44921875,137
39.86,1008.33,1008.26,138,690000,149.3844,-5874.84716796875,138
30.5869,1862.01,1861.2,139,695000,22.9101,-2687.126220703125,139
28.4713,1539.11,1387.17,140,700000,65.226,-3040.01416015625,140
29.734,1501.68,1429.72,141,705000,23.5609,-3503.930908203125,141
32.7053,1385.6,1371.04,142,710000,38.7646,-4362.67626953125,142
30.2594,424.86,420.47,143,715000,192.7376,-4096.59130859375,143
28.6613,1623.86,1578.38,144,720000,41.9837,-3127.6884765625,144
29.0663,990.13,1046.58,145,725000,125.9651,-3297.810791015625,145
28.7434,925.09,981.97,146,730000,66.2299,-5584.7890625,146
27.2194,1216.32,1240.46,147,735000,52.1171,-4233.166015625,147
34.0085,1029.14,1035.34,148,740000,33.4436,-5776.369140625,148
32.4215,1130.24,1107.47,149,745000,33.4108,-5071.431640625,149
31.8304,1336.43,1349.26,150,750000,24.6577,-3866.044189453125,150
31.6391,221.74,220.14,151,755000,44.5654,-4982.3369140625,151
29.9614,1040.51,1217.56,152,760000,35.9448,-4198.6171875,152
30.4367,1263.27,1201.62,153,765000,17.9412,-4672.935546875,153
29.2497,751.96,1167.79,154,770000,23.8487,-3977.513916015625,154
29.0231,1023.8,1120.61,155,775000,21.3037,-4687.6474609375,155
29.0025,1379.63,1279.25,156,780000,32.5748,-4806.11376953125,156
38.9655,1006.6,1006.81,157,785000,122.3046,-6959.41259765625,157
38.9604,985.28,985.57,158,790000,96.6967,-6621.9443359375,158
31.1735,1139.23,1055.4,159,795000,22.6834,-5529.15966796875,159
32.0129,967.33,981.74,160,800000,27.8371,-5723.7763671875,160
33.6223,1109.89,1043.6,161,805000,33.92,-5754.04541015625,161
30.2656,1015.09,1266.8,162,810000,28.16,-5254.09228515625,162
29.1015,1387.13,1214.29,163,815000,45.9328,-4751.9130859375,163
29.4473,1679.16,1658.72,164,820000,20.3831,-4082.269775390625,164
29.5692,1272.46,1258.88,165,825000,38.8268,-5189.9794921875,165
28.4758,1281.58,1342.23,166,830000,27.3997,-5159.25439453125,166
31.0473,1140.24,1069.08,167,835000,44.4364,-5849.8544921875,167
30.9841,1296.69,1096.12,168,840000,38.182,-5129.2099609375,168
32.0054,1282.98,1302.48,169,845000,38.2674,-5558.2783203125,169
40.2917,1002.82,1002.31,170,850000,140.508,-7663.39111328125,170
35.9383,1058.22,1058.15,171,855000,98.9925,-7377.48193359375,171
38.9948,1035.63,1035.35,172,860000,107.5349,-7922.9970703125,172
37.8243,575.19,572.11,173,865000,102.3445,-7278.0361328125,173
34.703,1105.21,1084.97,174,870000,67.7025,-7210.4638671875,174
32.4968,452.22,456.3,175,875000,178.3993,-7106.27734375,175
32.54,211.0,206.98,176,880000,52.5538,-6099.66357421875,176
29.2472,155.29,161.49,177,885000,84.4844,-5284.9453125,177
31.3662,195.09,195.34,178,890000,49.4988,-6169.74560546875,178
32.4866,196.21,194.67,179,895000,49.8234,-7552.6123046875,179
30.256,715.29,706.26,180,900000,25.3314,-6144.25,180
30.762,580.52,643.73,181,905000,21.3869,-5739.87744140625,181
31.1321,1387.55,1382.91,182,910000,19.4263,-5166.2158203125,182
31.1738,1345.75,1355.88,183,915000,20.1729,-4920.86083984375,183
30.8803,1122.21,1073.65,184,920000,29.6109,-5824.25390625,184
29.2454,1538.52,1510.48,185,925000,64.3285,-5772.2646484375,185
29.656,1801.49,1486.37,186,930000,46.509,-5187.12158203125,186
31.2435,1519.94,1362.97,187,935000,31.6649,-5892.74560546875,187
31.81,1367.69,1367.36,188,940000,32.8698,-6841.19970703125,188
32.7633,1337.13,1344.54,189,945000,35.2655,-6967.67236328125,189
32.6216,798.82,877.52,190,950000,48.0981,-7667.34814453125,190
32.5901,796.24,794.68,191,955000,31.0442,-7490.5087890625,191
34.4647,1030.1,1031.65,192,960000,30.3614,-7052.02197265625,192
34.6441,1027.99,1029.05,193,965000,34.2719,-7105.734375,193
35.0409,1012.16,1012.04,194,970000,32.7047,-7392.21533203125,194
34.5704,16.89,17.7,195,975000,28.729,-7344.98291015625,195
33.9829,1028.52,1030.48,196,980000,27.1252,-7712.453125,196
34.7907,1023.78,1022.47,197,985000,32.3305,-8063.89111328125,197
33.7937,1019.37,1019.44,198,990000,33.7985,-7781.8271484375,198
31.8606,1209.72,1205.46,199,995000,30.8663,-7254.7275390625,199
