Running Env Steps,Running Forward KL,Real Det Return,Running Update Time,Reward Loss,Running Reverse KL,Itration,Real Sto Return
0,33.0237,225.33,0,685.5589599609375,25.9602,0,214.59
5000,31.4712,249.59,1,592.1239013671875,27.6386,1,248.25
10000,31.7816,279.29,2,511.13739013671875,58.3122,2,268.31
15000,31.4046,264.3,3,481.3669738769531,26.5945,3,271.05
20000,30.6204,290.63,4,451.4131164550781,22.3865,4,291.39
25000,30.5769,312.54,5,355.9519348144531,17.6408,5,313.33
30000,30.8568,335.73,6,17.03598403930664,18.8877,6,330.75
35000,30.8305,369.01,7,-22.376163482666016,19.8765,7,362.84
40000,30.5979,381.29,8,-139.68536376953125,25.2552,8,376.29
45000,30.3205,394.83,9,-171.80130004882812,23.6604,9,384.87
50000,30.0171,390.12,10,-232.39466857910156,27.2642,10,384.0
55000,30.0413,393.49,11,-306.2054443359375,30.8066,11,390.04
60000,30.3315,389.47,12,-341.7934265136719,30.4316,12,386.56
65000,29.9298,405.25,13,-395.29339599609375,27.115,13,392.08
70000,30.0349,402.77,14,-434.5918273925781,24.724,14,392.42
75000,29.753,403.1,15,-440.574462890625,24.0678,15,398.8
80000,29.0597,396.82,16,-471.7373352050781,22.9037,16,397.38
85000,28.715,399.33,17,-607.0746459960938,29.8056,17,393.9
90000,27.7448,384.6,18,-634.59619140625,25.1817,18,406.57
95000,25.1886,426.48,19,-431.8290710449219,51.8561,19,406.69
100000,27.6477,573.84,20,-674.26806640625,24.6021,20,542.99
105000,25.4409,652.87,21,-458.9599304199219,20.5203,21,496.57
110000,25.1235,537.38,22,-807.59033203125,27.8156,22,523.94
115000,25.5424,647.84,23,-896.7463989257812,27.4578,23,599.08
120000,26.8001,731.3,24,-835.6744384765625,27.8758,24,709.28
125000,27.354,625.87,25,-1018.8621215820312,25.9124,25,616.88
130000,24.2257,848.56,26,-929.7208862304688,21.374,26,672.22
135000,26.5729,777.85,27,-1014.422607421875,24.0843,27,648.69
140000,25.5614,864.11,28,-1024.180419921875,25.1234,28,772.85
145000,26.7868,692.53,29,-1087.35498046875,28.7497,29,726.45
150000,26.0372,737.19,30,-1165.2237548828125,28.5038,30,712.15
155000,25.5324,693.66,31,-1196.109130859375,30.7829,31,703.9
160000,26.3432,756.41,32,-1184.776123046875,29.2773,32,705.39
165000,25.1766,692.25,33,-1299.697265625,28.5707,33,703.67
170000,25.17,700.52,34,-1323.98193359375,29.7373,34,745.6
175000,24.2012,802.51,35,-1341.384765625,28.1563,35,876.12
180000,24.9803,743.15,36,-1401.4234619140625,28.6347,36,773.6
185000,26.078,839.24,37,-1377.18505859375,29.422,37,881.17
190000,26.587,821.35,38,-1436.9298095703125,33.5826,38,845.74
195000,26.8386,780.89,39,-1516.380126953125,32.0291,39,779.27
200000,25.6993,936.86,40,-1534.27685546875,26.1822,40,851.14
205000,26.4881,812.85,41,-1667.320556640625,25.7961,41,804.62
210000,26.5898,954.31,42,-1650.19482421875,24.1227,42,910.59
215000,25.9765,930.96,43,-1613.1334228515625,38.56,43,898.54
220000,25.5938,925.53,44,-1767.400146484375,28.1167,44,843.92
225000,25.3093,998.44,45,-1760.2025146484375,26.1235,45,928.01
230000,25.6206,1000.44,46,-1534.1002197265625,17.7528,46,956.5
235000,25.3607,1036.7,47,-1725.63330078125,24.3002,47,977.56
240000,25.1641,1227.25,48,-1633.2567138671875,27.1003,48,1072.79
245000,24.8534,1148.34,49,-1709.4215087890625,39.1414,49,1018.2
250000,24.0249,1159.32,50,-1584.6822509765625,39.2483,50,1260.18
255000,25.142,991.53,51,-1859.816162109375,44.9601,51,1026.15
260000,23.1369,1147.1,52,-1891.7635498046875,47.9111,52,1237.13
265000,24.3274,1391.68,53,-1654.3985595703125,36.6095,53,1353.46
270000,24.5198,1085.21,54,-1977.7891845703125,49.0435,54,1031.24
275000,24.0662,1022.27,55,-2097.5185546875,50.7804,55,1023.55
280000,24.1319,1393.02,56,-1687.4111328125,43.3308,56,1408.69
285000,23.9387,1390.59,57,-2056.861083984375,49.1487,57,1171.89
290000,24.4311,1140.48,58,-2047.41259765625,39.8718,58,1070.23
295000,23.9405,1287.61,59,-1551.078857421875,19.2678,59,990.44
300000,23.5565,1506.86,60,-1962.0501708984375,42.2801,60,1216.55
305000,23.4304,3226.19,61,-845.6589965820312,17.0851,61,2057.22
310000,23.3878,1583.25,62,-1543.2119140625,21.272,62,1656.72
315000,23.3123,1328.37,63,-2325.205810546875,26.5063,63,976.68
320000,22.2089,3262.33,64,-1242.4144287109375,23.8616,64,2168.76
325000,23.7894,1803.36,65,-2293.703857421875,33.3809,65,1400.14
330000,23.0472,1349.8,66,-1971.570068359375,28.1813,66,1377.91
335000,22.8108,1513.96,67,-2115.598388671875,36.0278,67,1407.33
340000,23.1364,1487.39,68,-2020.554443359375,32.3136,68,1534.44
345000,23.2507,1406.74,69,-2168.4697265625,30.0652,69,1339.64
350000,22.6115,3200.13,70,-1240.8612060546875,24.3734,70,1875.18
355000,23.1136,3161.48,71,-2221.94873046875,30.9504,71,1402.05
360000,22.0941,3062.74,72,-510.305419921875,16.8561,72,2852.21
365000,22.6182,3253.48,73,-1236.612548828125,24.9712,73,2402.12
370000,23.6697,3143.49,74,-2554.423095703125,36.4447,74,1530.09
375000,22.3496,3203.09,75,-1431.08642578125,23.5734,75,2503.71
380000,23.0504,3251.26,76,-1481.0618896484375,24.4526,76,2540.19
385000,23.0409,2981.09,77,-1778.580078125,28.9631,77,1509.81
390000,23.6254,3278.0,78,-2543.47705078125,35.342,78,1522.02
395000,22.4216,2470.43,79,-920.6644287109375,19.0652,79,1985.0
400000,22.5414,3188.08,80,-1315.7342529296875,23.5452,80,2609.04
405000,22.8721,1339.68,81,-2106.89794921875,31.5494,81,1752.93
410000,22.5281,1627.52,82,-1562.099853515625,20.0989,82,2057.82
415000,23.2511,1480.56,83,-2298.842529296875,24.4696,83,1626.98
420000,23.5327,1384.31,84,-2820.701416015625,28.1365,84,1488.42
425000,23.6049,1284.18,85,-2686.650146484375,25.9652,85,1473.68
430000,23.984,1202.39,86,-2982.615478515625,30.743,86,1206.65
435000,24.0325,1229.29,87,-2963.460693359375,33.7909,87,1178.24
440000,22.9195,1648.52,88,-2447.904541015625,26.5571,88,1661.51
445000,22.4816,1391.67,89,-2103.806640625,18.7561,89,1498.14
450000,24.3178,1212.49,90,-3035.025634765625,28.0313,90,1268.18
455000,22.3467,2232.03,91,-2325.11376953125,23.6617,91,2330.23
460000,23.306,1278.18,92,-2888.147216796875,31.6817,92,1380.4
465000,22.6213,1221.16,93,-2180.3935546875,21.8574,93,1449.46
470000,23.5235,1201.62,94,-3257.3525390625,29.3451,94,1192.26
475000,23.0851,1407.09,95,-2314.209716796875,26.6754,95,2275.68
480000,22.6966,1281.13,96,-2885.711181640625,28.1503,96,1395.46
485000,22.657,3145.98,97,-1782.2562255859375,20.2322,97,2588.57
490000,22.8197,1278.81,98,-2581.6630859375,22.2772,98,1456.74
495000,21.9314,3108.62,99,-1683.9599609375,20.0142,99,2621.29
500000,23.3227,1233.22,100,-3121.750732421875,28.7802,100,1235.0
505000,22.6979,1473.72,101,-2128.4619140625,22.2325,101,2442.56
510000,23.4025,1263.0,102,-3390.803955078125,40.2673,102,1299.66
515000,23.4874,1267.29,103,-3314.621337890625,25.3112,103,1469.22
520000,23.2666,1244.24,104,-3208.2529296875,27.5056,104,1189.73
525000,22.9158,1282.35,105,-2973.060546875,28.9682,105,1402.07
530000,22.2189,1746.92,106,-1470.716064453125,17.2468,106,2294.94
535000,22.199,1455.4,107,-2266.274169921875,28.0385,107,1901.59
540000,22.0716,1390.18,108,-2731.586669921875,19.1783,108,1874.39
545000,22.6679,1365.75,109,-2554.952880859375,23.092,109,1672.85
550000,23.9374,1261.63,110,-3600.42431640625,24.0154,110,1403.34
555000,22.9197,1291.44,111,-3178.9140625,32.5168,111,1646.7
