Running Reverse KL,Running Update Time,Itration,Real Det Return,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss
11.6829,0,0,-27.56,-178.36,0,158.4444,-5.410462379455566
11.9395,1,1,351.98,-14.75,5000,158.2783,-14.041036605834961
12.9687,2,2,836.34,301.84,10000,158.0214,39.132476806640625
12.8279,3,3,742.37,417.5,15000,157.6839,8.530675888061523
13.4102,4,4,891.82,551.04,20000,157.69,-26.261329650878906
13.9933,5,5,992.63,646.79,25000,158.0682,-61.46818542480469
14.1051,6,6,1176.64,744.78,30000,157.842,-105.73625183105469
13.8141,7,7,509.03,842.72,35000,157.7556,-164.1968536376953
14.6337,8,8,1187.08,909.5,40000,157.857,-172.54263305664062
15.2941,9,9,1358.22,1002.56,45000,157.8591,-201.0430145263672
15.3587,10,10,1445.72,1068.73,50000,157.8218,-233.7698974609375
15.7281,11,11,1525.56,1133.51,55000,157.7567,-231.93687438964844
15.708,12,12,1551.85,1161.67,60000,157.8009,-301.2072448730469
15.7999,13,13,1619.51,1210.99,65000,157.8902,-329.9694519042969
15.5204,14,14,1608.43,1225.79,70000,157.8377,-404.2926330566406
16.0814,15,15,1723.45,1307.37,75000,157.8096,-416.430419921875
16.209,16,16,1724.73,1334.59,80000,157.8042,-462.8211975097656
16.1301,17,17,1781.39,1282.75,85000,157.4812,-487.098876953125
15.9128,18,18,1814.88,1336.55,90000,157.6968,-525.6978149414062
16.4114,19,19,1872.62,1468.78,95000,157.6073,-550.363037109375
16.4164,20,20,1907.15,1518.12,100000,157.6609,-587.1851196289062
16.5758,21,21,1913.35,1557.11,105000,157.3885,-620.5980834960938
16.1674,22,22,1919.64,1507.85,110000,157.4387,-664.3291015625
16.1885,23,23,1897.22,1567.91,115000,157.4148,-699.1637573242188
16.2801,24,24,1900.33,1543.22,120000,157.4169,-744.115966796875
16.3976,25,25,1945.16,1580.41,125000,157.5732,-769.64794921875
16.252,26,26,1933.64,1584.21,130000,157.5628,-814.9759521484375
16.2874,27,27,1992.04,1599.45,135000,157.4405,-822.2994995117188
16.6468,28,28,2008.08,1647.97,140000,157.5782,-871.18701171875
16.1101,29,29,1905.38,1587.6,145000,157.4395,-921.8965454101562
16.0306,30,30,1984.25,1589.46,150000,157.2727,-951.843505859375
16.0516,31,31,2026.95,1679.25,155000,157.2632,-968.8567504882812
16.1555,32,32,2046.07,1693.92,160000,157.3336,-1000.7855834960938
16.1925,33,33,2005.12,1650.72,165000,157.2828,-1050.129638671875
15.7984,34,34,2012.35,1637.78,170000,157.2542,-1074.24951171875
15.9971,35,35,2081.65,1665.69,175000,156.981,-1099.8702392578125
16.1237,36,36,2036.2,1666.62,180000,157.2533,-1142.4698486328125
16.1673,37,37,2113.4,1700.58,185000,157.061,-1158.0250244140625
16.1699,38,38,2089.28,1718.0,190000,157.0202,-1224.57861328125
