Running Forward KL,Real Sto Return,Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Real Det Return,Itration
50.0138,296.22,0,438.65185546875,16.14,0,280.23,0
50.2528,255.45,1,150.00877380371094,18.3798,5000,219.36,1
51.3456,169.19,2,225.5562286376953,19.9949,10000,146.6,2
49.8685,553.02,3,248.90269470214844,18.5647,15000,495.85,3
50.1091,347.56,4,347.562744140625,19.2482,20000,469.67,4
49.8519,574.99,5,235.92050170898438,16.1362,25000,597.77,5
49.0408,830.82,6,305.8302307128906,40.8831,30000,1069.66,6
47.0591,1201.7,7,183.9993896484375,25.9866,35000,913.05,7
46.4363,1743.44,8,168.183349609375,16.2609,40000,1248.95,8
47.387,1160.06,9,173.6082763671875,22.5573,45000,887.31,9
47.8479,1427.18,10,182.07177734375,27.9286,50000,1971.62,10
47.1745,1108.02,11,144.6172332763672,20.2051,55000,2420.39,11
46.901,2122.72,12,123.1647720336914,25.4647,60000,1761.14,12
46.9451,2060.25,13,111.73489379882812,25.0433,65000,3033.33,13
46.7966,2304.43,14,95.83097839355469,24.0244,70000,3421.67,14
47.2098,3142.16,15,101.42919158935547,21.2182,75000,3053.89,15
46.6393,3041.81,16,112.17514038085938,21.766,80000,3657.93,16
46.2302,3360.38,17,95.0723876953125,22.306,85000,3220.33,17
45.8705,2882.6,18,106.15745544433594,23.4227,90000,663.69,18
46.308,3468.36,19,91.29020690917969,21.5121,95000,3761.36,19
45.7767,3434.39,20,53.03940200805664,19.395,100000,3615.98,20
47.6967,3940.27,21,38.88234329223633,23.8109,105000,4144.36,21
45.8609,3444.66,22,72.6077880859375,20.4187,110000,3810.82,22
46.1573,4089.93,23,33.9092903137207,24.133,115000,4453.01,23
47.4761,3945.4,24,26.90601348876953,23.1643,120000,4136.34,24
48.4023,4130.37,25,28.273672103881836,24.0212,125000,4458.78,25
46.4596,4205.56,26,-2.6369094848632812,23.974,130000,4318.92,26
46.6838,4013.51,27,20.561100006103516,23.2824,135000,4420.79,27
45.6981,3910.11,28,-17.474084854125977,22.3599,140000,4646.5,28
45.8733,3507.86,29,-25.96184539794922,23.2986,145000,4451.93,29
47.0837,4091.26,30,-29.191225051879883,23.1609,150000,4603.6,30
46.1645,4190.1,31,-49.67311096191406,22.6657,155000,4365.6,31
46.1689,4114.05,32,-45.98432922363281,20.4602,160000,3410.86,32
47.4463,4125.22,33,-72.53187561035156,24.1579,165000,4437.23,33
44.9448,3887.92,34,-100.42715454101562,22.5076,170000,2177.04,34
46.7238,4306.17,35,-107.43883514404297,23.0751,175000,4421.91,35
45.6712,4246.11,36,-115.68882751464844,23.6931,180000,4365.13,36
44.2264,4214.38,37,-132.4697723388672,22.8091,185000,4078.18,37
46.0116,4246.47,38,-138.038330078125,23.1523,190000,4325.6,38
45.4212,4257.73,39,-131.0090789794922,23.2732,195000,1007.19,39
46.2257,4230.22,40,-138.81114196777344,23.3661,200000,4223.47,40
46.3574,4335.64,41,-165.78042602539062,24.161,205000,4634.0,41
45.8081,4125.79,42,-203.20860290527344,23.2253,210000,1057.45,42
45.7625,4380.54,43,-199.06309509277344,23.3639,215000,4234.16,43
44.8585,4440.45,44,-221.62887573242188,23.4228,220000,4581.97,44
46.263,4527.77,45,-237.65748596191406,25.3232,225000,4458.0,45
47.5069,4530.03,46,-242.69512939453125,24.8328,230000,4554.25,46
46.1031,4425.64,47,-253.63552856445312,23.2934,235000,4411.81,47
44.1599,4302.58,48,-255.31321716308594,22.5389,240000,4611.77,48
46.7482,4523.52,49,-269.2949523925781,24.1277,245000,4646.76,49
45.8751,4439.16,50,-312.7867431640625,24.8949,250000,4480.45,50
46.2475,4606.42,51,-292.627685546875,24.7224,255000,4689.56,51
47.2347,4463.94,52,-308.4698181152344,24.1374,260000,4527.97,52
45.563,4346.98,53,-303.40576171875,23.6626,265000,4305.4,53
46.0442,4476.22,54,-318.6534118652344,24.122,270000,4462.89,54
45.7944,4209.09,55,-320.6329345703125,23.7978,275000,4509.55,55
45.7391,4186.43,56,-325.111328125,23.0452,280000,4466.34,56
45.265,4380.47,57,-353.3330383300781,23.3736,285000,4510.36,57
46.2665,4609.54,58,-391.5165710449219,24.977,290000,4716.17,58
46.133,4426.27,59,-378.32452392578125,24.0013,295000,4770.92,59
45.3799,4202.68,60,-370.33544921875,22.8234,300000,4252.8,60
45.9373,4288.09,61,-402.895263671875,22.951,305000,4584.06,61
45.4274,4571.05,62,-423.357666015625,23.9017,310000,4496.98,62
45.2782,4461.3,63,-416.2279968261719,22.6812,315000,4581.89,63
45.8874,4531.39,64,-395.8338623046875,22.261,320000,4540.05,64
45.3901,4490.25,65,-441.1736755371094,22.7535,325000,4603.72,65
44.9712,4605.53,66,-476.91595458984375,23.7789,330000,4722.04,66
