Running Forward KL,Itration,Real Det Return,Real Sto Return,Running Reverse KL
158.4555,0,-20.61,-212.82,11.4906
158.5061,1,-36.46,-52.13,12.0884
158.2757,2,630.84,90.96,11.962
158.0871,3,154.91,330.18,12.8365
158.0183,4,915.88,450.88,13.6024
157.8762,5,865.15,539.18,13.3473
157.9072,6,992.49,668.18,13.8119
157.8097,7,1179.59,622.9,14.1317
158.199,8,1251.58,889.67,14.8186
157.9755,9,1323.24,972.34,15.7666
157.9479,10,1427.38,1043.86,16.0266
158.1251,11,1506.82,1091.47,16.6057
158.0802,12,1574.79,1158.57,16.6578
157.9903,13,1619.54,1198.6,16.5758
158.0339,14,1602.61,1191.96,16.5508
157.8781,15,1647.78,1221.34,16.237
158.0979,16,1664.39,1208.27,16.7859
158.015,17,1705.17,1275.69,16.5261
158.2282,18,1745.01,1342.83,16.9613
158.0345,19,1773.38,1372.81,16.7708
157.9252,20,1801.9,1397.69,16.5936
157.955,21,1851.26,1424.62,16.7652
157.6643,22,1828.56,1423.91,16.8494
157.656,23,1830.34,1447.51,16.5813
157.875,24,1871.04,1477.56,16.9943
157.9575,25,1925.81,1513.77,17.0133
157.9213,26,1870.34,1496.16,16.6479
157.7067,27,1925.82,1537.06,16.7893
157.9135,28,1885.3,1521.77,16.7714
157.851,29,1921.4,1571.06,17.008
157.8532,30,1945.31,1565.08,17.1463
157.8121,31,1982.03,1602.22,16.9783
157.5318,32,1930.95,1601.52,16.6457
157.5396,33,1896.51,1587.5,16.8718
157.7307,34,1983.78,1609.08,16.7642
157.7289,35,2017.39,1637.86,16.6866
157.6093,36,1966.2,1602.56,16.5118
157.5499,37,1949.35,1593.43,16.2786
157.512,38,1971.71,1659.28,16.4592
157.6211,39,1980.33,1632.39,16.9139
157.588,40,2019.46,1649.95,16.8683
157.646,41,2036.68,1659.58,16.5857
157.4406,42,2042.45,1669.52,16.6372
157.4299,43,2021.08,1671.88,16.6913
157.6918,44,2073.19,1706.39,17.0628
