Real Det Return,Itration,Running Env Steps,Running Reverse KL,Reward Loss,Running Update Time,Real Sto Return,Running Forward KL
211.5,0,0,23.8754,43.065921783447266,0,211.7,32.7169
213.9,1,5000,15.758,59.42354202270508,1,214.58,32.5451
223.09,2,10000,23.113,52.6572380065918,2,221.2,33.2402
305.62,3,15000,17.0365,26.886180877685547,3,275.34,32.3112
371.42,4,20000,18.0743,-18.670574188232422,4,363.12,33.2642
349.69,5,25000,17.7333,-15.321023941040039,5,350.28,32.6929
341.18,6,30000,21.0967,-22.6783447265625,6,334.39,31.9684
342.88,7,35000,18.4487,-17.90947151184082,7,343.33,31.4887
323.08,8,40000,21.2479,-22.139869689941406,8,329.16,31.0568
327.33,9,45000,19.5346,-18.194194793701172,9,333.35,31.0552
325.42,10,50000,18.5231,-22.98393440246582,10,328.49,30.9932
328.86,11,55000,22.7068,-22.33820152282715,11,326.21,31.4496
324.47,12,60000,20.0097,-53.94595718383789,12,320.56,31.3518
330.28,13,65000,18.5352,-65.51261138916016,13,326.68,31.1362
327.0,14,70000,18.3143,-73.85968017578125,14,324.11,30.896
324.77,15,75000,18.5527,-75.63348388671875,15,324.4,31.375
327.9,16,80000,27.7918,-59.98980712890625,16,322.2,31.0016
325.39,17,85000,19.021,-96.91868591308594,17,323.59,30.9505
327.55,18,90000,20.1288,-112.09283447265625,18,323.03,31.1239
326.09,19,95000,28.1021,-99.25215148925781,19,323.04,30.9884
331.76,20,100000,22.5611,-109.95104217529297,20,327.03,31.5239
328.45,21,105000,19.9676,-141.6641845703125,21,326.26,31.7278
327.07,22,110000,34.1115,-104.56327819824219,22,325.17,31.2057
324.01,23,115000,21.2685,-163.60610961914062,23,322.67,31.1969
322.13,24,120000,20.1415,-174.3789520263672,24,319.44,31.3039
329.53,25,125000,23.6908,-173.23104858398438,25,328.63,31.0594
330.31,26,130000,19.0751,-185.6532440185547,26,327.69,31.4408
326.84,27,135000,19.5488,-165.10609436035156,27,324.66,31.1782
327.35,28,140000,17.7008,-191.35731506347656,28,328.08,31.2158
324.69,29,145000,17.2718,-192.4280548095703,29,322.49,31.0461
326.45,30,150000,17.4755,-197.10997009277344,30,328.62,31.1191
327.8,31,155000,16.2084,-211.37657165527344,31,329.14,31.0504
325.3,32,160000,19.0746,-204.66934204101562,32,329.41,31.019
325.95,33,165000,17.5739,-234.12225341796875,33,327.6,31.3847
333.1,34,170000,16.3422,-244.84564208984375,34,336.51,31.6057
331.1,35,175000,21.2037,-232.20889282226562,35,326.02,30.7168
328.08,36,180000,18.1626,-238.34951782226562,36,332.84,30.6599
336.64,37,185000,46.1906,-186.37698364257812,37,337.8,30.1515
364.74,38,190000,53.7539,-165.97483825683594,38,349.8,28.8976
386.83,39,195000,14.2404,-215.6116943359375,39,350.92,27.4176
381.94,40,200000,20.4525,-298.5335693359375,40,377.73,28.1054
