Running Forward KL,Real Sto Return,Running Update Time,Running Env Steps,Reward Loss,Running Reverse KL,Itration,Real Det Return
38.4702,234.09,0,0,-47.03272247314453,29.8591,0,235.13
38.5151,210.05,1,5000,-52.67534255981445,139.1353,1,223.3
38.047,263.11,2,10000,-1.8716528415679932,33.2659,2,267.66
37.1638,316.67,3,15000,-73.45201110839844,60.6443,3,329.92
37.3709,317.82,4,20000,-104.46758270263672,49.2013,4,318.09
36.6014,348.48,5,25000,-122.69196319580078,52.1219,5,337.76
36.0962,389.0,6,30000,-103.07620239257812,32.1431,6,396.67
35.4361,400.99,7,35000,-264.7820129394531,88.3235,7,372.62
34.1455,453.22,8,40000,-137.25634765625,55.1835,8,545.09
33.4205,799.02,9,45000,-110.03412628173828,39.8607,9,717.21
33.8469,507.17,10,50000,-59.9646110534668,23.8318,10,631.17
34.2161,679.71,11,55000,-205.8435821533203,35.7953,11,684.56
34.9212,535.22,12,60000,-207.6330108642578,78.6854,12,533.48
34.1325,584.62,13,65000,-160.60101318359375,68.9604,13,646.11
33.8587,535.38,14,70000,-182.004150390625,55.7445,14,563.91
33.0005,882.36,15,75000,-186.28759765625,76.3021,15,765.92
32.5051,1178.87,16,80000,-120.06133270263672,26.3676,16,1071.19
31.2195,2295.86,17,85000,-15.735328674316406,15.5591,17,3037.95
31.5523,2202.44,18,90000,-66.6270523071289,17.794,18,2394.22
32.1418,2684.94,19,95000,-20.04377555847168,18.7382,19,2927.17
31.2903,2305.66,20,100000,-53.8378791809082,21.0669,20,2930.78
33.043,836.03,21,105000,-212.18455505371094,28.7437,21,895.18
28.1427,2526.61,22,110000,-51.958396911621094,15.0313,22,3146.05
32.643,1348.46,23,115000,-218.14784240722656,28.4064,23,1191.94
32.3861,1481.01,24,120000,-223.3758087158203,28.2686,24,1315.21
34.3676,1261.67,25,125000,-255.8980255126953,21.1858,25,1141.95
33.0008,1340.41,26,130000,-342.11114501953125,24.6339,26,1930.7
31.2036,3112.03,27,135000,-21.010473251342773,18.3323,27,3126.08
32.5062,2763.72,28,140000,-102.94815826416016,19.415,28,3166.11
33.2664,2672.12,29,145000,-115.93199157714844,27.2456,29,3131.91
31.248,2383.72,30,150000,-120.78660583496094,26.1509,30,3203.73
31.6,1619.94,31,155000,-152.0782012939453,25.8835,31,2285.21
32.9989,1043.75,32,160000,-289.0772399902344,40.5328,32,940.67
33.863,1484.27,33,165000,-309.3851623535156,35.2451,33,1415.17
32.4545,1278.87,34,170000,-277.3467712402344,39.7699,34,1515.43
33.8808,948.95,35,175000,-309.8455505371094,36.3593,35,971.37
32.214,1361.84,36,180000,-195.1673583984375,43.0325,36,1180.64
33.965,989.54,37,185000,-323.0284423828125,59.0526,37,955.85
31.7155,2025.94,38,190000,-122.4001235961914,28.4785,38,3153.35
32.3431,2714.51,39,195000,-50.47455596923828,21.0222,39,3158.07
31.3978,1869.87,40,200000,-201.00320434570312,34.8926,40,3211.33
32.0984,1991.75,41,205000,-156.72483825683594,37.3349,41,3213.11
33.1628,1228.81,42,210000,-419.22100830078125,93.8317,42,1123.11
31.8977,1070.65,43,215000,-350.40301513671875,60.3147,43,1120.88
31.9953,2697.74,44,220000,-138.0724334716797,31.5344,44,3205.69
33.1989,1157.57,45,225000,-480.2967224121094,59.9767,45,1012.33
32.5474,1342.38,46,230000,-360.0216064453125,57.3735,46,2724.65
33.3783,1481.11,47,235000,-340.6912841796875,31.5558,47,2983.45
32.4576,1348.67,48,240000,-386.2491455078125,45.8048,48,1230.98
33.6655,1026.15,49,245000,-411.5048522949219,45.92,49,1099.31
33.0544,1066.99,50,250000,-360.65911865234375,39.2021,50,1360.65
32.2068,1981.57,51,255000,-150.88259887695312,21.1793,51,3162.11
32.3,1462.43,52,260000,-357.86175537109375,49.6939,52,1525.66
31.2635,1316.52,53,265000,-356.53680419921875,44.8363,53,1438.58
31.9425,2701.0,54,270000,-65.03507232666016,18.6051,54,3174.71
32.424,1602.02,55,275000,-469.5181884765625,52.1011,55,1396.6
31.1499,1186.2,56,280000,-357.1067810058594,30.755,56,1228.31
32.038,1671.79,57,285000,-266.6470031738281,29.8101,57,3232.33
31.5411,2540.05,58,290000,-206.5400390625,19.9106,58,3182.45
31.6364,1458.04,59,295000,-345.0560607910156,31.7282,59,2200.75
31.0403,2268.08,60,300000,-259.0440979003906,35.8984,60,3196.35
32.7905,970.1,61,305000,-421.123291015625,30.3645,61,987.55
32.6134,1164.53,62,310000,-401.3487243652344,30.4482,62,1246.25
31.4043,2896.38,63,315000,-99.31111145019531,17.9214,63,3243.89
32.0966,1767.5,64,320000,-325.412109375,26.4895,64,3208.32
31.89,1881.25,65,325000,-357.8416748046875,28.9692,65,3060.14
31.6998,2455.57,66,330000,-158.2188262939453,16.1127,66,3206.2
31.2907,1377.75,67,335000,-424.9315185546875,31.8919,67,1457.36
31.1143,3096.52,68,340000,-136.8900909423828,17.7458,68,3199.0
32.405,1341.93,69,345000,-510.08819580078125,58.1285,69,2121.38
30.3459,2077.15,70,350000,-154.26475524902344,22.6853,70,3278.73
32.2788,1382.12,71,355000,-445.8192443847656,51.6368,71,2555.07
31.61,1208.94,72,360000,-494.4856262207031,47.1964,72,1513.48
30.6681,2265.27,73,365000,-199.86790466308594,22.1301,73,3260.32
29.655,2878.42,74,370000,-161.1892547607422,16.4587,74,3274.12
30.5283,1998.44,75,375000,-318.7043151855469,23.0913,75,3318.94
30.6849,2760.3,76,380000,-170.49819946289062,18.5248,76,3218.71
31.8822,1915.57,77,385000,-363.37841796875,37.0187,77,3259.33
30.8821,1600.63,78,390000,-382.17779541015625,22.1392,78,3256.84
31.0199,1324.87,79,395000,-500.2983093261719,32.9743,79,2900.75
31.2983,2111.28,80,400000,-377.9637145996094,28.6264,80,3239.15
31.7529,1316.47,81,405000,-480.7339172363281,37.9501,81,2701.92
31.1497,1496.85,82,410000,-407.3892822265625,24.6409,82,2786.81
30.7247,1765.51,83,415000,-425.70050048828125,23.0516,83,3004.99
31.5224,1705.75,84,420000,-335.625,16.3309,84,3165.47
31.6626,1662.2,85,425000,-415.93487548828125,23.6748,85,1626.24
30.1486,2439.96,86,430000,-253.33773803710938,19.6775,86,3217.17
30.4162,1653.82,87,435000,-322.1477966308594,16.5284,87,3253.12
30.1786,2796.44,88,440000,-277.769775390625,18.2793,88,3242.83
30.9344,1828.09,89,445000,-201.69692993164062,14.9907,89,3194.04
31.3772,2249.85,90,450000,-233.20416259765625,15.4721,90,3180.87
30.2389,2180.24,91,455000,-360.7326965332031,21.4459,91,3157.76
29.8665,3140.42,92,460000,-144.6427459716797,16.7384,92,3223.94
30.5581,2714.1,93,465000,-277.7420959472656,20.2741,93,3223.7
30.0263,2751.83,94,470000,-199.774658203125,16.1616,94,3213.18
30.835,1881.62,95,475000,-327.9063720703125,14.1297,95,3127.92
31.8875,1345.44,96,480000,-502.540283203125,18.936,96,2286.43
32.9573,1351.62,97,485000,-564.0980834960938,24.2176,97,2127.32
31.5889,2229.35,98,490000,-516.1956787109375,21.8683,98,2982.44
32.0529,2091.16,99,495000,-330.7857666015625,16.139,99,2881.96
30.6125,2157.45,100,500000,-344.1670837402344,18.1435,100,3237.6
31.0179,1406.57,101,505000,-556.2633056640625,19.7182,101,2565.08
30.9043,2245.08,102,510000,-195.42218017578125,16.8951,102,3213.16
31.9518,1666.29,103,515000,-456.5177917480469,23.677,103,3252.29
