Running Forward KL,Real Det Return,Running Env Steps,Itration,Real Sto Return,Running Update Time,Running Reverse KL,Reward Loss
33.4248,174.29,0,0,177.9,0,31.6832,32.49710464477539
31.3293,205.54,5000,1,221.22,1,24.6988,-36.220558166503906
30.9486,286.5,10000,2,284.27,2,36.8804,-61.109039306640625
30.1623,322.82,15000,3,319.87,3,24.07,-92.69600677490234
29.4239,341.4,20000,4,343.69,4,23.2913,-127.11890411376953
28.0723,385.34,25000,5,378.43,5,18.9064,321.2618103027344
28.3991,362.54,30000,6,373.05,6,32.7476,-113.99595642089844
26.4828,399.97,35000,7,383.48,7,18.3983,211.29002380371094
26.1385,484.23,40000,8,425.92,8,18.4305,513.7073974609375
25.5131,610.65,45000,9,542.85,9,19.32,573.6487426757812
25.8049,530.08,50000,10,572.83,10,16.57,603.9908447265625
25.9036,471.56,55000,11,554.11,11,18.115,780.9357299804688
25.4562,605.63,60000,12,726.71,12,19.159,684.0911254882812
25.3432,993.39,65000,13,952.8,13,14.5109,236.08815002441406
22.3736,2852.89,70000,14,1544.44,14,12.8096,86.37078094482422
22.25,1814.5,75000,15,1648.95,15,11.8378,99.80640411376953
22.6549,553.58,80000,16,1750.21,16,11.7995,23.267210006713867
22.0475,3081.34,85000,17,2938.39,17,13.3035,-89.43406677246094
22.9337,3195.23,90000,18,2977.3,18,13.9947,-92.4499740600586
22.58,2912.56,95000,19,2849.38,19,12.7558,-54.218238830566406
22.4246,3152.86,100000,20,3005.14,20,15.0966,-185.21328735351562
20.5037,3142.22,105000,21,2897.03,21,12.7092,-99.28497314453125
20.5056,3194.66,110000,22,2902.59,22,15.1108,-213.86343383789062
22.4215,2142.51,115000,23,2403.54,23,20.8096,-382.2803039550781
21.7007,2402.79,120000,24,2287.59,24,12.9633,-160.43228149414062
20.0206,1319.92,125000,25,1788.92,25,11.5681,-69.88452911376953
22.9456,1070.88,130000,26,1765.4,26,16.4737,-232.13565063476562
22.3239,3117.78,135000,27,2677.98,27,14.7391,-198.92091369628906
21.528,3169.62,140000,28,3055.74,28,13.6906,-208.00289916992188
23.7417,1034.28,145000,29,1401.36,29,20.5541,-312.61334228515625
22.2931,3205.18,150000,30,2785.48,30,16.3991,-207.97122192382812
22.6107,3185.36,155000,31,2905.52,31,14.5868,-225.8785400390625
22.2749,3224.72,160000,32,2159.05,32,21.2437,-381.7225036621094
21.9065,3192.09,165000,33,2638.16,33,16.8422,-169.09463500976562
22.1869,3217.31,170000,34,3038.87,34,15.2914,-144.0707550048828
22.1596,3202.47,175000,35,2093.19,35,17.8084,-177.27578735351562
21.6497,3244.11,180000,36,2596.97,36,14.6019,-152.82225036621094
22.6361,3263.44,185000,37,2456.63,37,58.9544,-8.909429550170898
21.5897,3263.54,190000,38,2869.85,38,16.1053,-162.02943420410156
23.5853,2320.68,195000,39,1526.32,39,57.2154,-46.4930305480957
24.2977,1130.43,200000,40,1037.15,40,25.1923,-120.13035583496094
22.2971,3269.3,205000,41,2352.88,41,20.1255,-268.8381652832031
21.0037,3225.75,210000,42,2944.7,42,13.2794,-291.3741455078125
23.834,1297.37,215000,43,1097.52,43,34.6688,-508.7333679199219
21.2064,3225.62,220000,44,2895.44,44,21.604,-247.36062622070312
21.4932,3212.41,225000,45,2394.26,45,22.561,-367.5658264160156
22.8654,3006.42,230000,46,1659.49,46,35.2772,-418.7776184082031
21.8367,3245.85,235000,47,1791.34,47,25.2491,-316.13677978515625
21.3677,3210.47,240000,48,2468.53,48,24.171,-329.7989807128906
21.8819,2860.87,245000,49,1997.86,49,84.8115,-383.2989196777344
22.1789,1462.27,250000,50,1409.92,50,102.5156,-545.8900146484375
20.1921,3293.83,255000,51,2714.75,51,18.3194,-472.7101135253906
20.5315,3312.09,260000,52,3194.28,52,13.5101,-237.1942138671875
19.9788,3267.71,265000,53,3254.95,53,13.3923,-262.1638488769531
22.1277,1362.32,270000,54,1441.04,54,60.098,-597.0235595703125
20.8589,3281.33,275000,55,2720.93,55,20.3198,-394.15545654296875
20.3613,3272.85,280000,56,3276.3,56,12.9328,-288.3459777832031
20.7122,3254.28,285000,57,3115.48,57,18.8479,-482.3417053222656
22.0178,3183.48,290000,58,1870.24,58,23.739,-712.594482421875
21.2941,3204.34,295000,59,3199.11,59,13.8072,-413.6709899902344
20.4948,3315.85,300000,60,2985.5,60,16.4739,-442.6390075683594
20.6744,3263.93,305000,61,3126.05,61,16.5522,-411.5507507324219
20.4166,3257.16,310000,62,3011.42,62,13.2512,-347.2213439941406
20.1786,3299.6,315000,63,3102.65,63,16.8477,-356.12542724609375
21.7962,3167.52,320000,64,2166.74,64,54.2206,-564.4327392578125
22.5698,3287.57,325000,65,1552.26,65,78.8673,-803.4609375
20.7095,3305.64,330000,66,2252.53,66,60.1709,-664.1974487304688
21.5253,3330.62,335000,67,1619.33,67,96.8795,-836.3806762695312
20.8037,3254.18,340000,68,1648.77,68,71.6211,-673.2023315429688
22.1811,3167.21,345000,69,1276.93,69,97.9436,-968.3544921875
20.939,3251.48,350000,70,3090.25,70,40.9427,-569.1647338867188
22.1851,2903.27,355000,71,1526.36,71,39.5278,-1014.9957275390625
20.5617,3297.63,360000,72,3016.26,72,17.397,-492.5800476074219
19.4893,3279.69,365000,73,3275.73,73,12.4245,-377.212158203125
19.883,3303.5,370000,74,2464.34,74,32.526,-518.0341796875
20.524,3249.97,375000,75,3248.89,75,13.6269,-463.0397644042969
19.2755,3302.77,380000,76,3303.97,76,12.4491,-358.3990173339844
19.9458,3319.11,385000,77,3299.71,77,12.2835,-465.3829650878906
20.4271,3353.19,390000,78,2359.87,78,16.4564,-820.812255859375
19.587,3277.94,395000,79,3283.32,79,12.435,-448.6213684082031
19.9608,3322.88,400000,80,3279.17,80,12.9336,-422.070068359375
19.5591,3312.46,405000,81,3119.75,81,26.7871,-551.8091430664062
20.4498,3275.14,410000,82,3037.7,82,26.5944,-613.4557495117188
19.5865,3330.61,415000,83,3314.92,83,12.7681,-414.07061767578125
19.7723,3311.16,420000,84,3309.82,84,12.7477,-438.1699523925781
20.5407,3283.08,425000,85,3267.42,85,13.1986,-530.0797119140625
19.9424,3319.63,430000,86,2921.6,86,19.4734,-663.5999145507812
19.7025,3329.26,435000,87,3089.24,87,13.961,-516.4765625
20.0516,3304.96,440000,88,2978.97,88,25.3121,-696.0953369140625
19.6593,3285.84,445000,89,3270.2,89,12.686,-511.2060546875
19.479,3305.08,450000,90,3297.47,90,12.7613,-463.6348876953125
19.9329,3346.37,455000,91,3348.35,91,13.1911,-454.82232666015625
20.1979,3299.8,460000,92,3295.03,92,13.2906,-536.7297973632812
20.3366,3352.23,465000,93,3042.3,93,12.5532,-596.5059814453125
19.5324,3275.76,470000,94,3272.94,94,13.0103,-531.97802734375
18.8382,3347.98,475000,95,3348.74,95,12.2396,-420.0664978027344
19.785,3340.51,480000,96,3227.73,96,11.9308,-649.4156494140625
19.0493,3355.18,485000,97,3341.69,97,12.6767,-523.949951171875
19.5794,3314.75,490000,98,3235.71,98,11.571,-685.9511108398438
19.5306,3338.85,495000,99,2797.97,99,11.3246,-779.010009765625
19.4817,3343.57,500000,100,3134.03,100,12.2665,-578.0296020507812
