Running Env Steps,Reward Loss,Real Sto Return,Real Det Return,Running Update Time,Running Forward KL,Itration,Running Reverse KL
0,1542.9583740234375,402.72,499.67,0,48.996,0,12.8594
5000,1308.3360595703125,397.5,320.9,1,48.8184,1,12.7564
10000,862.4568481445312,456.86,452.26,2,49.2799,2,14.6694
15000,781.3907470703125,311.47,365.64,3,49.7675,3,22.7447
20000,473.4309997558594,407.37,403.5,4,49.518,4,39.1255
25000,647.3297729492188,486.53,551.97,5,48.7228,5,22.1239
30000,478.2071533203125,457.42,415.21,6,48.6537,6,15.172
35000,906.1878051757812,452.6,489.26,7,48.7441,7,15.297
40000,759.8497924804688,532.42,581.64,8,47.9696,8,18.4522
45000,197.78375244140625,677.97,736.91,9,47.6387,9,37.2697
50000,171.3018341064453,636.68,835.47,10,48.0533,10,35.1855
55000,250.29640197753906,622.84,691.31,11,47.6514,11,18.7863
60000,324.2242431640625,611.32,846.58,12,47.1756,12,27.7039
65000,341.4695739746094,687.39,825.08,13,47.3078,13,27.7392
70000,249.08837890625,822.73,762.32,14,47.349,14,21.994
75000,536.45751953125,815.0,869.6,15,47.4786,15,16.8941
80000,393.63568115234375,925.87,885.59,16,46.8527,16,19.2024
85000,-147.09165954589844,938.97,729.2,17,47.0828,17,28.0477
90000,127.60150146484375,1217.82,1188.17,18,46.9754,18,19.4906
95000,-85.78833770751953,1714.79,2407.0,19,46.1603,19,19.3039
100000,534.4786987304688,1034.54,1066.98,20,46.0395,20,15.8816
105000,54.21056365966797,1191.71,1259.61,21,46.1387,21,22.3046
110000,345.2077331542969,1051.3,1014.05,22,46.3337,22,18.4456
115000,-356.83306884765625,1575.97,2010.03,23,44.8055,23,27.8447
120000,-165.58819580078125,1684.74,2502.95,24,44.6946,24,17.0494
125000,-109.24457550048828,1804.38,2255.19,25,45.1199,25,17.3713
130000,-337.8804931640625,2256.53,2478.24,26,44.4849,26,13.5035
135000,-487.8924255371094,2295.57,2299.81,27,44.6145,27,16.9142
140000,-339.83807373046875,2290.43,2172.43,28,43.5582,28,14.9992
145000,-558.926513671875,2058.73,1950.91,29,43.7353,29,18.1112
150000,-499.39654541015625,2703.05,2991.47,30,43.0985,30,15.4069
155000,-460.6762390136719,2567.28,3031.18,31,43.0664,31,14.9271
160000,-441.52398681640625,2192.74,2541.23,32,43.6969,32,15.3948
165000,-604.1979370117188,2112.78,2926.16,33,43.5019,33,19.3249
170000,-605.91748046875,2075.29,1822.01,34,43.5817,34,14.3542
175000,-500.1421203613281,2804.56,3456.62,35,42.9544,35,13.9262
180000,-561.9005737304688,2591.47,3359.71,36,43.1788,36,12.9227
185000,-545.3366088867188,3101.62,3444.54,37,43.1837,37,15.9826
190000,-632.932861328125,3042.32,3407.94,38,42.9783,38,14.4079
195000,-657.1989135742188,2968.41,3499.1,39,43.0302,39,14.118
200000,-686.7236328125,3188.78,3596.72,40,42.7402,40,14.053
205000,-875.52490234375,2787.34,3465.33,41,43.1044,41,16.5977
210000,-702.7509155273438,3388.49,3564.59,42,43.3257,42,16.3146
215000,-739.8204956054688,3353.86,3532.19,43,43.7016,43,15.0577
220000,-784.784423828125,3424.97,3344.09,44,44.0933,44,16.2447
225000,-789.9594116210938,3638.48,3613.79,45,43.0105,45,15.5477
230000,-863.7637329101562,3602.94,3705.79,46,41.8778,46,14.805
235000,-816.1334228515625,3802.76,3825.06,47,41.5309,47,15.6293
240000,-838.5786743164062,3778.04,3857.32,48,41.6551,48,14.786
245000,-955.7055053710938,3230.38,3799.63,49,41.8503,49,15.4757
250000,-947.8172607421875,3579.07,3771.44,50,41.7437,50,17.0382
255000,-999.3067016601562,3801.89,3792.13,51,42.4037,51,17.1192
260000,-922.3428344726562,3850.5,3920.47,52,41.5869,52,15.8132
265000,-910.8223266601562,3918.99,3996.58,53,41.1104,53,16.3081
270000,-957.2064819335938,3891.74,3871.93,54,40.9657,54,15.2323
275000,-1010.2030029296875,3947.72,3976.11,55,41.7868,55,16.6418
280000,-959.2577514648438,4046.13,4117.6,56,40.7815,56,16.8463
285000,-978.5079345703125,3999.43,4037.68,57,41.4518,57,16.8056
290000,-862.3665771484375,4115.62,4150.6,58,40.2345,58,16.8414
295000,-955.0433349609375,4130.16,4178.06,59,40.849,59,17.0238
300000,-1029.82177734375,4072.7,4083.47,60,41.1038,60,16.33
305000,-911.4471435546875,4253.86,4305.6,61,39.9104,61,16.0966
310000,-1063.23876953125,4123.67,4169.21,62,40.7037,62,17.3082
315000,-942.718994140625,4226.52,4159.22,63,40.2674,63,16.779
320000,-1038.92041015625,4240.41,4339.28,64,40.8276,64,17.1044
325000,-1010.7316284179688,4286.98,4364.79,65,40.2777,65,17.2178
330000,-1066.4091796875,4305.39,4392.67,66,40.2118,66,16.2509
335000,-1056.2833251953125,4316.85,4389.0,67,39.8016,67,17.0859
340000,-1094.4151611328125,4325.55,4418.51,68,39.7631,68,16.4028
345000,-1085.025390625,4382.76,4483.56,69,39.5537,69,16.838
350000,-1071.7171630859375,4171.98,4506.95,70,38.8253,70,15.4359
355000,-1132.682861328125,4430.19,4502.79,71,39.507,71,16.8259
360000,-1166.1746826171875,4426.72,4438.8,72,39.2042,72,17.1539
365000,-1180.47509765625,4417.37,4473.53,73,39.0136,73,16.4818
370000,-1188.357177734375,4471.05,4570.45,74,38.5935,74,16.481
375000,-1188.9561767578125,4450.78,4495.05,75,38.3469,75,15.588
380000,-1163.479736328125,4517.36,4595.3,76,38.0179,76,16.2531
385000,-1245.4747314453125,4450.29,4496.77,77,39.2795,77,16.315
390000,-1237.74267578125,4486.28,4499.55,78,38.5236,78,15.6936
395000,-1342.8447265625,4368.63,4526.9,79,38.5262,79,15.9774
400000,-1312.316162109375,4457.84,4527.72,80,37.9806,80,15.0703
405000,-1299.5203857421875,4521.81,4596.51,81,38.6419,81,15.0631
410000,-1300.57470703125,4454.67,4577.1,82,38.2219,82,15.6668
415000,-1421.685302734375,4490.82,4558.96,83,38.7613,83,15.4797
420000,-1422.0079345703125,4524.04,4612.34,84,38.3959,84,17.1592
425000,-1397.848876953125,4333.1,4670.68,85,37.7344,85,15.2372
430000,-1325.0228271484375,4546.98,4683.12,86,37.6898,86,15.511
435000,-1331.47900390625,4530.9,4671.27,87,37.4005,87,15.0619
440000,-1331.1739501953125,4548.05,4658.29,88,37.058,88,14.6423
445000,-1354.571044921875,4571.33,4681.28,89,38.4204,89,15.6641
450000,-1346.2218017578125,4068.73,4691.53,90,37.1385,90,14.4197
455000,-1417.4085693359375,4606.3,4630.64,91,37.1501,91,15.7076
460000,-1336.8890380859375,4575.8,4704.19,92,37.347,92,15.3435
465000,-1524.47265625,4434.82,4836.47,93,36.7713,93,15.705
470000,-1436.6650390625,4553.18,4701.97,94,37.7114,94,16.0282
475000,-1438.9437255859375,4584.65,4753.22,95,37.3974,95,14.6259
480000,-1435.52783203125,4573.84,4784.57,96,36.4888,96,14.6408
485000,-1455.607666015625,4583.55,4685.52,97,37.3866,97,14.6429
490000,-1449.052734375,4461.51,4768.74,98,36.4976,98,14.2641
495000,-1539.641845703125,4542.36,4651.19,99,36.7906,99,14.3131
