Itration,Reward Loss,Running Reverse KL,Running Forward KL,Running Update Time,Real Det Return,Running Env Steps,Real Sto Return
0,25.154144287109375,14.5954,158.9064,0,-103.11,0,-130.7
1,-19.634187698364258,11.4251,158.2593,1,65.5,5000,-31.59
2,-82.80411529541016,12.6902,158.6477,2,20.1,10000,-108.6
3,-89.9638900756836,12.5386,158.6284,3,154.41,15000,79.81
4,-144.7030792236328,11.9263,157.8201,4,35.19,20000,314.69
5,-198.50489807128906,11.9303,157.8406,5,763.86,25000,494.09
6,-237.16673278808594,12.1776,157.6217,6,819.19,30000,616.67
7,-272.4772644042969,12.1667,157.5623,7,1363.14,35000,819.78
8,-309.5949401855469,12.3123,157.5606,8,1449.42,40000,964.34
9,-363.3569030761719,12.4125,157.1464,9,1816.45,45000,1319.98
10,-409.3564453125,12.0998,156.807,10,2164.28,50000,1817.55
11,-447.8293762207031,12.6014,156.6076,11,2302.29,55000,1992.94
12,-500.7411193847656,12.6164,155.9246,12,3127.18,60000,2541.84
13,-557.218994140625,13.13,155.4172,13,3673.35,65000,3212.32
14,-603.3116455078125,14.8624,155.1858,14,3790.06,70000,3455.44
15,-613.056884765625,15.7927,154.8682,15,4123.06,75000,3787.93
16,-636.2825927734375,17.0275,154.6726,16,4299.96,80000,4004.75
17,-677.0413208007812,15.9936,154.482,17,4618.83,85000,4128.76
18,-731.1101684570312,16.501,154.4096,18,4561.82,90000,4209.6
19,-760.6364135742188,16.5785,154.2929,19,4586.45,95000,4248.14
20,-803.9409790039062,16.0237,154.0649,20,4687.07,100000,4297.3
21,-825.7535400390625,15.5519,154.2385,21,4839.87,105000,4353.44
22,-845.12548828125,14.6221,154.1123,22,4813.92,110000,4346.28
23,-897.11474609375,15.6789,153.7842,23,4817.79,115000,4556.44
24,-897.6483154296875,14.4777,153.6322,24,4914.88,120000,4563.67
25,-954.46923828125,15.1546,153.808,25,5067.18,125000,4632.45
26,-943.0138549804688,13.1483,153.2829,26,4627.87,130000,4647.24
27,-970.2374267578125,12.9276,153.0725,27,5177.08,135000,4696.63
28,-1013.9764404296875,13.1965,153.1586,28,5208.24,140000,4767.51
29,-1006.7937622070312,13.3498,152.7122,29,5304.2,145000,4918.73
30,-1006.3616943359375,13.2649,152.2012,30,5271.29,150000,4816.65
31,-1076.2205810546875,13.0357,152.2811,31,5441.02,155000,4769.37
32,-1089.8292236328125,13.6901,152.3834,32,5451.73,160000,5042.8
33,-1153.356689453125,13.9807,152.8292,33,5479.03,165000,5149.85
34,-1174.945068359375,13.9782,152.7664,34,5495.47,170000,5097.8
35,-1163.986328125,13.5584,152.8515,35,5480.95,175000,5096.16
36,-1199.0982666015625,13.7806,152.7328,36,5579.22,180000,5156.39
37,-1218.5052490234375,13.906,152.2129,37,5635.1,185000,5355.31
38,-1276.2843017578125,14.3673,152.7767,38,5559.49,190000,5238.42
39,-1258.443115234375,13.4566,152.5989,39,5634.2,195000,5212.98
40,-1309.712890625,13.5772,152.6112,40,5746.47,200000,5119.27
41,-1365.358642578125,13.9474,152.703,41,5778.23,205000,5295.96
42,-1355.4815673828125,14.2668,152.3593,42,5859.62,210000,5401.51
43,-1379.8514404296875,13.7088,152.2024,43,5766.3,215000,5365.09
44,-1401.6845703125,13.6994,152.2341,44,5870.71,220000,5422.5
45,-1407.4027099609375,14.0444,152.061,45,5892.58,225000,5470.7
46,-1471.038818359375,14.3821,152.577,46,5886.93,230000,5427.83
47,-1481.5460205078125,14.4775,152.0879,47,5851.09,235000,5516.94
