Real Sto Return,Running Forward KL,Real Det Return,Itration,Running Reverse KL
-202.35,158.3672,-6.29,0,11.2734
-77.65,158.4911,13.81,1,11.64
67.1,158.2327,711.6,2,12.1007
302.04,157.8698,734.41,3,12.6456
448.43,157.9945,821.03,4,13.6395
561.14,157.6505,946.56,5,13.8834
550.2,157.9754,741.45,6,13.8645
763.95,158.1189,1172.64,7,14.6691
899.05,158.0591,1358.85,8,15.3187
964.41,157.8438,1360.23,9,15.7971
1028.35,157.967,1438.43,10,15.8802
1094.01,158.0795,1533.75,11,16.4665
1139.98,157.6771,1599.77,12,16.4093
1148.02,157.8548,1608.86,13,16.2739
1178.17,157.8568,1620.98,14,16.5471
1175.46,157.9534,1534.97,15,16.7307
1243.86,157.5198,1666.33,16,16.1961
1254.35,157.8483,1672.66,17,16.6937
1307.17,157.6476,1785.87,18,16.4533
1312.01,157.724,1789.83,19,16.3127
1338.09,157.6967,1802.8,20,15.9634
1382.86,157.6807,1827.52,21,16.3567
1413.28,157.5749,1862.16,22,15.9751
1472.43,157.4608,1882.81,23,16.3257
1499.78,157.5927,1894.1,24,16.063
1510.03,157.5707,1914.05,25,16.2676
1514.49,157.5357,1939.31,26,16.1893
1522.82,157.1055,1905.69,27,16.2573
1505.45,157.6317,1900.32,28,16.3
1570.63,157.5492,1941.41,29,16.2954
1560.01,157.2099,1957.51,30,15.9684
1581.53,157.6434,1954.37,31,16.1483
1623.68,157.4481,1978.16,32,16.4567
1628.49,157.3797,1983.92,33,16.1113
1647.29,157.5206,1957.62,34,16.551
1619.68,157.421,1978.57,35,16.3704
