Real Det Return,Itration,Real Sto Return,Running Reverse KL,Running Forward KL
124.97,212,198.32,25.5644,50.9967
78.3,213,112.09,36.6397,51.3447
76.6,214,126.7,45.0495,51.0216
288.02,215,141.01,72.8521,51.1824
396.41,216,363.94,54.2497,50.3949
383.82,217,255.5,21.8742,49.8747
282.89,218,257.33,61.7168,49.9462
304.22,219,279.94,24.3301,49.6202
317.13,220,280.23,26.561,50.5856
28.57,221,217.33,35.3494,49.4562
153.79,222,267.45,25.0837,49.8406
410.57,223,368.31,17.6449,49.4652
485.12,224,352.39,15.2513,50.1004
320.95,225,264.04,28.7596,50.4595
269.26,226,254.73,25.1004,49.9382
409.83,227,341.74,20.1192,50.064
362.84,228,309.18,20.1813,50.043
393.01,229,317.84,15.9289,49.7021
375.77,230,312.43,17.0115,49.5506
234.49,231,279.41,18.3011,49.7559
438.93,232,277.97,20.5899,50.0242
377.12,233,302.81,25.6453,50.4372
323.25,234,261.08,21.1546,50.2377
213.92,235,170.88,29.3106,50.1439
358.18,236,299.95,22.4887,50.0026
167.09,237,329.5,18.9349,50.1222
308.9,238,156.22,22.7674,50.9949
348.0,239,263.89,17.1357,50.2676
415.38,240,307.89,19.1838,50.0536
308.93,241,210.9,17.2151,50.6326
189.15,242,267.87,16.6227,50.5799
312.19,243,158.65,14.3039,50.5262
318.11,244,156.44,19.8152,51.6945
49.94,245,210.24,24.4204,50.6038
224.56,246,288.95,20.1627,50.3686
196.14,247,171.98,17.7384,49.9761
258.52,248,295.99,16.0455,50.0733
203.13,249,242.61,21.0372,50.0151
60.82,250,181.1,30.5711,49.8753
-7.29,251,147.56,16.2944,49.3019
191.22,252,198.42,19.6195,50.1805
310.24,253,308.81,18.1872,50.2089
348.88,254,321.53,20.4338,49.9144
178.25,255,303.83,19.6805,50.1271
326.34,256,318.32,16.9083,49.8326
334.25,257,265.25,17.9329,50.4924
237.61,258,297.91,16.1026,50.0298
336.74,259,319.56,16.2635,50.4207
335.14,260,234.37,16.7749,51.0506
239.5,261,274.69,19.7679,50.5175
291.33,262,239.15,15.89,50.0611
199.7,263,222.04,16.7605,50.0115
94.73,264,201.38,15.7639,50.1262
292.24,265,190.66,16.5231,50.8656
400.25,266,312.25,16.0247,49.5798
316.22,267,265.94,18.5685,50.3672
145.54,268,289.48,16.4583,50.3448
338.85,269,300.48,19.6276,50.5018
354.08,270,370.73,20.2015,49.57
438.51,271,364.35,15.6845,50.3165
359.32,272,281.67,18.8058,49.8242
303.04,273,278.28,18.171,50.9225
442.1,274,359.11,18.3634,49.914
273.56,275,376.18,21.481,50.0022
496.76,276,365.7,17.447,49.9256
284.28,277,331.84,15.5871,49.4446
415.39,278,343.04,15.8895,49.6765
479.9,279,354.32,18.0605,50.0683
397.38,280,334.3,20.8,49.9812
394.67,281,331.58,21.1082,49.5825
402.35,282,352.05,24.0836,49.5938
375.45,283,274.87,15.3721,49.9352
52.21,284,243.23,22.3317,50.7902
0.1,285,125.58,26.2505,50.2538
386.7,286,303.44,37.6994,50.6014
252.97,287,272.5,25.4289,50.2128
347.08,288,273.71,31.7994,50.3185
441.4,289,279.21,15.8379,49.8405
265.0,290,383.73,34.9975,50.4491
170.95,291,302.51,20.9236,50.406
239.96,292,230.02,22.9366,50.2598
406.36,293,307.82,22.0887,50.1215
188.0,294,193.89,31.6321,50.0576
358.81,295,297.99,38.8821,50.8646
333.25,296,293.86,30.1815,49.4064
339.99,297,309.89,29.2885,50.6016
455.87,298,306.57,31.5802,49.4217
395.17,299,346.86,24.1429,50.3324
567.77,300,316.66,35.9311,50.3216
504.05,301,412.17,23.5678,50.2261
408.41,302,420.6,24.653,50.3277
330.18,303,268.45,32.379,50.4825
447.8,304,518.01,34.8709,49.6727
450.51,305,336.52,21.7148,49.8565
466.1,306,303.04,37.1118,50.6517
246.19,307,206.56,25.6652,51.7595
394.67,308,358.21,22.9159,50.5772
426.67,309,443.05,55.9533,49.9147
303.3,310,497.36,25.5925,51.3988
392.45,311,312.85,28.3046,50.518
501.58,312,357.32,20.4272,49.8345
232.82,313,274.86,25.9667,50.1667
382.81,314,349.7,14.0667,49.7298
546.05,315,410.63,16.0224,49.9251
489.2,316,552.87,15.5338,48.8466
593.17,317,463.66,14.7032,49.528
519.51,318,411.61,18.8109,50.2723
732.14,319,581.31,20.3839,49.2876
694.49,320,716.8,22.603,49.3265
950.99,321,831.73,31.3965,48.2674
1127.15,322,1056.77,17.2917,47.4557
973.45,323,994.18,30.4208,49.3005
1182.98,324,622.86,25.0629,48.317
1099.4,325,1126.79,18.0517,48.7838
1404.37,326,815.43,20.3059,47.9626
1616.1,327,893.92,23.8313,48.6181
2330.34,328,1341.01,22.4175,47.5848
1504.77,329,946.29,23.4512,47.0519
2055.29,330,1498.54,19.2522,48.5563
2940.26,331,2224.01,20.2872,47.6645
2307.46,332,2226.53,16.8182,46.2184
3180.72,333,1867.63,19.0744,47.7838
2520.6,334,2323.17,19.4165,48.1763
230.43,335,2057.06,17.4904,48.1592
2266.49,336,2439.84,16.0611,46.9278
2354.33,337,2140.98,16.9303,47.4248
1789.3,338,1263.27,18.2347,47.2179
2931.85,339,1395.13,16.0378,47.0541
2684.94,340,2483.61,19.5842,47.649
1931.62,341,2424.66,20.1178,47.5434
2433.4,342,2289.43,19.8121,47.3314
1000.14,343,947.19,19.5963,48.1728
2890.21,344,1323.81,23.7694,47.9356
47.05,345,1023.68,20.7114,47.7655
1809.25,346,1205.79,16.7754,47.854
2637.12,347,1103.27,20.4025,48.2158
910.12,348,1288.49,39.6515,48.8442
1376.98,349,1740.54,16.4065,47.0906
2592.5,350,2757.43,16.5747,46.377
2331.49,351,895.19,15.2279,46.8872
3045.11,352,1851.21,17.1191,47.4478
2817.31,353,2350.32,16.2364,47.4376
1449.31,354,1838.97,16.4191,47.3071
3143.23,355,1695.72,16.571,47.4976
1686.96,356,1172.21,20.5015,47.2243
1538.17,357,1689.34,18.2453,47.311
20.14,358,24.15,146.0125,51.352
56.41,359,92.54,237.733,54.5602
3.77,360,3.06,217.6832,55.5437
92.1,361,132.29,105.7872,52.2468
359.19,362,370.17,42.7563,51.4268
860.37,363,890.43,29.7803,50.0589
949.32,364,1039.26,21.6548,49.3709
1380.63,365,1293.64,29.4016,50.4572
938.81,366,945.97,41.7507,53.2295
1107.21,367,976.86,31.5875,50.3078
1008.86,368,1008.45,57.7558,56.1791
675.18,369,716.46,43.8936,55.5552
1015.77,370,928.56,52.2346,55.7834
1044.1,371,680.13,29.8,51.6024
293.02,372,453.75,70.4852,53.9618
377.73,373,419.06,34.2673,53.661
1013.99,374,1013.29,52.2958,56.2199
240.89,375,191.46,84.389,50.6839
273.82,376,311.92,90.24,51.1058
499.72,377,282.41,45.5696,48.981
82.42,378,112.99,57.4577,52.2399
4.13,379,5.46,108.1373,52.9173
-6.66,380,-6.82,27.3898,53.0817
43.37,381,37.41,53.0006,55.1151
999.46,382,791.45,30.5349,53.0625
1018.03,383,1013.79,37.8041,54.8545
511.93,384,263.83,21.1027,48.4638
2548.2,385,2133.61,18.1071,47.8761
818.5,386,1037.78,18.3804,48.6449
1910.71,387,1752.46,17.0818,48.0935
2349.88,388,1881.27,17.0725,48.6693
42.87,389,726.09,16.2143,48.6294
1446.52,390,1509.6,16.097,49.0609
1487.95,391,1501.83,15.8461,49.7833
1801.81,392,1607.75,16.2186,48.9424
1312.91,393,1311.89,17.288,49.0551
1375.98,394,1202.72,25.1188,48.6233
1329.92,395,1487.08,15.145,48.523
1108.03,396,1012.86,15.6152,49.2281
1530.97,397,1379.52,16.0671,48.3163
1475.71,398,1073.56,19.7803,49.073
944.1,399,1173.19,17.649,48.454
789.61,400,790.92,51.5402,48.6854
483.24,401,387.54,156.0689,50.1062
263.04,402,282.92,51.8772,51.2499
436.52,403,435.02,34.0415,50.5179
946.42,404,714.71,34.0564,52.9594
