Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL
197.09385681152344,75.025,-44.92,0,0,346.21,0,26.7432
117.4245376586914,74.8231,-30.1,1,5000,484.27,1,26.4878
124.04846954345703,74.1284,0.73,2,10000,529.37,2,29.3222
62.624908447265625,70.534,93.36,3,15000,679.19,3,28.4183
-15.991437911987305,71.0194,53.85,4,20000,520.89,4,29.5682
-61.279808044433594,70.5386,168.92,5,25000,629.05,5,29.1304
-126.79464721679688,68.5519,126.49,6,30000,583.41,6,30.8119
-176.20840454101562,71.3952,83.91,7,35000,470.41,7,31.5264
-217.03948974609375,69.539,200.23,8,40000,430.3,8,30.9292
-269.3807678222656,68.7673,213.52,9,45000,482.3,9,29.4658
-331.3480224609375,67.5732,276.72,10,50000,601.94,10,30.1844
-394.7374267578125,68.5134,278.89,11,55000,839.58,11,30.4858
-458.3568420410156,71.2966,213.11,12,60000,885.62,12,30.666
-493.97259521484375,66.4988,174.2,13,65000,622.12,13,28.8731
-588.564208984375,70.4949,214.18,14,70000,475.51,14,30.5182
-624.5087890625,67.1817,208.51,15,75000,798.37,15,29.0595
-707.4630737304688,70.114,252.0,16,80000,675.91,16,30.2987
-715.4884033203125,66.4409,355.34,17,85000,831.6,17,28.4648
-755.6039428710938,64.8185,309.89,18,90000,836.43,18,28.5428
-810.9025268554688,63.5629,335.57,19,95000,820.2,19,28.0802
-800.2006225585938,61.2255,477.28,20,100000,954.37,20,26.318
-770.147705078125,58.3192,542.26,21,105000,1285.57,21,26.7327
-842.1461791992188,58.6642,706.92,22,110000,1674.33,22,26.5193
-979.4236450195312,61.14,531.89,23,115000,1673.16,23,26.5123
-955.7844848632812,59.706,731.11,24,120000,1506.8,24,25.8131
-1055.021484375,60.09,741.09,25,125000,1741.7,25,26.3516
-851.3548583984375,55.5325,1250.33,26,130000,2180.91,26,27.5511
-978.1764526367188,54.4221,1032.3,27,135000,2236.93,27,24.5329
-995.3658447265625,55.5067,1044.65,28,140000,1824.31,28,24.2901
-1116.6370849609375,55.5856,932.89,29,145000,1255.49,29,24.1528
-992.0383911132812,53.7262,1303.46,30,150000,2457.39,30,26.156
-1222.894287109375,54.4338,751.94,31,155000,1409.67,31,23.3961
