Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Real Det Return
253.2241,327.26,444.5096,0,184.83
277.7013,382.86,427.1822,1,276.02
268.4742,373.63,413.3102,2,424.7
270.9956,416.87,410.2372,3,369.43
261.4938,381.45,418.5239,4,447.63
259.549,461.07,407.0158,5,518.45
264.4802,452.12,394.0578,6,463.8
262.4287,520.63,395.1939,7,586.23
286.7648,520.8,402.0207,8,602.09
299.1281,450.34,408.8945,9,540.79
275.5088,572.83,413.1283,10,535.29
315.5013,449.63,404.4271,11,540.29
288.9525,555.73,390.2462,12,569.97
347.9416,526.24,395.9303,13,463.72
279.8025,551.89,387.6851,14,621.69
255.4988,526.46,387.2905,15,534.6
254.1058,537.58,388.1372,16,508.76
239.3169,518.08,390.8978,17,520.08
252.5463,560.57,391.1618,18,605.78
258.2472,642.23,392.8691,19,618.47
261.821,475.06,401.0258,20,530.15
265.1267,580.5,386.9821,21,530.36
281.549,537.51,388.4147,22,488.4
294.5508,589.54,397.076,23,533.45
259.5496,603.98,392.4199,24,605.62
243.3294,637.94,391.7265,25,791.85
248.5386,655.02,397.1844,26,832.76
249.8287,640.63,397.8054,27,705.59
240.0638,706.06,390.6163,28,706.53
264.7253,642.29,391.8955,29,635.22
269.4528,709.49,394.2846,30,654.13
261.1938,649.74,385.1253,31,626.31
254.3914,646.33,385.0522,32,749.97
267.543,590.18,374.5674,33,566.76
276.6427,747.7,379.5969,34,947.4
242.7816,718.5,377.2228,35,707.66
227.7381,641.83,380.2992,36,919.44
234.0524,710.24,387.4438,37,931.46
232.6949,778.92,378.8037,38,784.0
237.3278,823.25,376.7553,39,924.19
238.9647,707.03,372.2792,40,1049.63
247.268,912.19,370.2195,41,847.55
238.0796,969.11,375.6312,42,703.98
220.5175,765.31,357.779,43,502.34
219.9518,954.69,361.6007,44,856.84
228.6622,916.54,360.8308,45,732.64
252.8544,891.53,400.5281,46,664.61
249.3926,1044.14,366.9051,47,1365.16
266.068,921.96,376.0801,48,1165.34
237.2459,947.4,351.1639,49,1360.74
223.2359,1073.67,358.3418,50,1177.26
254.5925,925.48,375.3482,51,2812.9
238.2442,878.45,368.9791,52,1174.0
250.7413,982.18,379.9197,53,771.2
241.0465,1017.78,361.8634,54,2954.28
227.2188,1101.56,372.5564,55,2002.73
220.2205,1054.19,370.9471,56,1046.28
212.5297,1436.5,354.4032,57,1206.84
207.5768,1132.81,364.8625,58,873.94
223.2171,1188.81,357.8664,59,593.08
195.1216,1211.33,348.1452,60,524.16
213.8922,1543.15,357.2572,61,1414.21
211.0071,1378.26,360.2371,62,1619.04
187.2954,1728.34,344.7304,63,1911.18
223.9723,1583.38,359.8901,64,1630.34
199.0889,1478.65,348.9791,65,1642.45
174.4256,1973.15,333.8666,66,1953.47
197.1354,1856.4,340.9383,67,2139.91
168.9411,1750.97,322.738,68,3885.24
176.5117,1626.99,315.1493,69,1379.46
177.7837,2640.38,333.0084,70,2355.48
149.6943,2947.43,319.8349,71,1993.16
166.2508,2299.6,320.9527,72,2063.6
157.8733,2777.92,324.5246,73,3870.11
141.8619,2466.72,316.785,74,4260.24
158.0696,2855.19,316.4984,75,4569.54
182.4723,2703.28,334.4663,76,2766.86
