Real Sto Return,Running Update Time,Running Reverse KL,Running Forward KL,Real Det Return,Running Env Steps,Reward Loss,Itration
216.63,0,19.438,33.5944,198.12,0,125.26219940185547,0
248.78,1,44.444,32.9644,224.33,5000,154.39878845214844,1
248.74,2,50.1107,33.904,248.43,10000,129.0515899658203,2
273.08,3,43.2223,32.5858,260.57,15000,80.03123474121094,3
341.25,4,23.2744,30.9575,342.37,20000,31.532325744628906,4
322.76,5,31.6707,31.2957,303.91,25000,53.511009216308594,5
332.74,6,26.1852,29.6086,332.83,30000,46.049625396728516,6
348.97,7,32.9703,31.0326,352.03,35000,20.291156768798828,7
329.28,8,30.8679,27.1547,486.56,40000,3.699347496032715,8
386.46,9,23.4158,30.7699,361.49,45000,-16.340373992919922,9
539.04,10,21.7915,28.7585,448.62,50000,-24.386077880859375,10
627.58,11,15.8327,27.7155,674.13,55000,-33.53601837158203,11
650.52,12,18.0989,26.8573,571.82,60000,-17.085731506347656,12
568.13,13,14.2796,23.4657,591.2,65000,-15.803083419799805,13
719.68,14,21.1289,27.4295,411.45,70000,-39.52421951293945,14
1727.62,15,13.3346,25.4578,1889.63,75000,-25.355607986450195,15
1972.87,16,19.0875,24.2505,1002.2,80000,-37.73807144165039,16
2597.34,17,15.13,24.247,2854.62,85000,-11.365294456481934,17
1228.01,18,26.7559,26.0881,1202.56,90000,-78.32693481445312,18
341.04,19,25.5882,25.5349,7.81,95000,-87.34600830078125,19
2318.36,20,27.3522,23.5296,2978.81,100000,-48.12403106689453,20
2998.45,21,16.9867,21.1436,3131.73,105000,-24.258792877197266,21
1497.77,22,32.396,22.9393,880.11,110000,-81.24207305908203,22
2657.48,23,19.7644,22.8586,2957.33,115000,-38.779258728027344,23
2739.02,24,18.0159,23.3186,2941.29,120000,-25.82210350036621,24
2931.16,25,15.5574,22.9398,2953.81,125000,-8.876323699951172,25
2298.99,26,21.6719,22.4088,2964.12,130000,-46.805946350097656,26
2614.67,27,14.9419,22.2275,2933.65,135000,-23.435667037963867,27
2782.38,28,15.4118,23.0167,2886.61,140000,-20.01175308227539,28
2200.0,29,22.7083,22.3156,3045.43,145000,-67.38606262207031,29
2155.11,30,25.2995,23.6304,2991.4,150000,-69.30281066894531,30
1480.98,31,33.0031,24.0166,2681.26,155000,-105.74720764160156,31
2941.75,32,15.0074,22.0719,3016.0,160000,-23.941368103027344,32
1506.43,33,35.5593,23.0977,1347.86,165000,-125.4295425415039,33
3056.32,34,16.3567,22.4771,3098.01,170000,-50.52465057373047,34
3080.93,35,14.3701,21.4599,3093.85,175000,-29.85630989074707,35
2492.44,36,21.2914,21.1242,965.71,180000,-62.4149284362793,36
2917.13,37,17.8404,22.0948,3045.04,185000,-51.99846649169922,37
2990.86,38,16.5619,21.3652,3110.04,190000,-44.22934341430664,38
3088.63,39,15.7656,21.7039,3145.3,195000,-49.80128860473633,39
2792.49,40,15.0971,21.6335,3192.31,200000,-65.75626373291016,40
2183.34,41,19.8736,22.0575,2881.71,205000,-92.50265502929688,41
2386.89,42,13.1178,22.1888,3208.03,210000,-72.94024658203125,42
2265.38,43,12.8582,21.9434,3188.42,215000,-67.45480346679688,43
