Running Forward KL,Running Reverse KL,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Itration,Reward Loss
158.7046,12.1238,-13.08,0,0,-221.19,0,45.92937088012695
158.5495,12.0231,103.41,1,5000,-118.28,1,12.237310409545898
158.4497,12.0656,57.89,2,10000,-24.44,2,-11.511519432067871
158.2882,12.622,625.64,3,15000,169.37,3,-78.97500610351562
158.3068,13.588,776.94,4,20000,365.83,4,-141.14398193359375
158.1998,13.5328,831.04,5,25000,437.04,5,-116.54425048828125
158.1342,14.0205,888.48,6,30000,590.29,6,-164.932373046875
157.8998,14.1484,1124.96,7,35000,744.05,7,-195.21205139160156
157.8207,14.6304,1247.02,8,40000,815.66,8,-209.70355224609375
157.7474,15.1167,1263.27,9,45000,916.17,9,-237.6557159423828
157.903,15.3919,1355.97,10,50000,1008.89,10,-273.4336242675781
157.7913,15.9197,1544.58,11,55000,1110.04,11,-326.31256103515625
157.5659,16.2677,1589.67,12,60000,1170.48,12,-357.1888427734375
157.7078,16.5607,1650.79,13,65000,1230.32,13,-395.42681884765625
157.7074,16.5549,1688.78,14,70000,1272.65,14,-412.2024841308594
157.8323,16.1211,1660.42,15,75000,1276.71,15,-429.59912109375
157.7675,16.2677,1702.36,16,80000,1301.6,16,-468.6539001464844
157.7817,16.5107,1676.31,17,85000,1318.09,17,-502.2830810546875
157.5324,16.0118,1759.38,18,90000,1346.67,18,-517.916015625
157.7796,16.3059,1765.68,19,95000,1414.7,19,-550.8505249023438
157.7882,16.2223,1844.76,20,100000,1411.18,20,-580.7247924804688
157.6964,16.3031,1848.96,21,105000,1470.4,21,-603.4202880859375
157.6789,15.9802,1880.91,22,110000,1494.9,22,-639.0403442382812
157.6157,16.453,1916.76,23,115000,1530.25,23,-661.1484985351562
157.6247,16.2739,1909.42,24,120000,1518.1,24,-691.4755859375
157.3998,16.1617,1936.09,25,125000,1544.26,25,-715.0487060546875
157.5136,16.5391,1982.33,26,130000,1578.46,26,-740.9192504882812
157.4464,16.0606,1967.22,27,135000,1594.47,27,-755.20947265625
157.8751,16.4389,1931.9,28,140000,1572.21,28,-789.9548950195312
