Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Itration,Running Env Steps,Running Reverse KL
378.78,48.9174,577.8048095703125,416.43,0,0,0,12.0772
434.64,49.3265,-16.35675048828125,290.42,1,1,5000,14.5371
361.65,49.2916,-152.3775634765625,364.9,2,2,10000,17.1969
407.64,48.9674,420.77398681640625,411.19,3,3,15000,13.1389
340.69,49.2298,249.5277099609375,396.28,4,4,20000,17.9589
414.0,48.7511,380.35986328125,432.89,5,5,25000,15.2943
391.65,49.5201,192.9152374267578,436.54,6,6,30000,16.5069
568.34,49.0671,490.7038269042969,705.97,7,7,35000,15.5054
605.33,48.4031,-148.12413024902344,701.03,8,8,40000,21.967
797.66,48.0389,-428.4232482910156,707.37,9,9,45000,32.5247
767.91,48.0089,-299.44732666015625,1042.11,10,10,50000,18.5003
926.92,48.5846,-337.9820251464844,1181.83,11,11,55000,25.45
759.41,48.4879,-414.5428161621094,636.7,12,12,60000,21.8548
890.92,47.7523,-505.94586181640625,1292.8,13,13,65000,17.9921
1184.42,47.6033,-667.9971923828125,1942.44,14,14,70000,22.4465
1356.04,47.9832,-575.9524536132812,973.9,15,15,75000,19.6286
1239.25,48.0715,-629.2637329101562,1592.24,16,16,80000,25.9489
1344.18,47.6429,-767.572021484375,1608.18,17,17,85000,28.4068
1324.23,47.3742,-717.3958740234375,1870.07,18,18,90000,21.3813
1160.7,47.7501,-639.1385498046875,1411.65,19,19,95000,20.4121
1393.49,47.7842,-924.403564453125,1548.59,20,20,100000,24.5462
864.25,48.4511,-965.7267456054688,1099.15,21,21,105000,30.536
1085.9,47.9808,-1138.8001708984375,1331.29,22,22,110000,33.361
1688.39,47.33,-1134.1707763671875,2791.6,23,23,115000,23.8839
1526.31,47.8297,-1192.4989013671875,3147.61,24,24,120000,24.4927
1232.06,47.6642,-1105.1148681640625,1804.3,25,25,125000,22.5937
1123.21,47.6814,-1203.111328125,1321.82,26,26,130000,23.6172
1265.42,47.6736,-1245.799560546875,1425.87,27,27,135000,22.4343
1277.83,47.6427,-1135.0333251953125,1917.23,28,28,140000,18.7425
1266.75,47.8334,-1397.2308349609375,1585.25,29,29,145000,20.7022
1191.06,47.2673,-1251.8135986328125,1488.28,30,30,150000,19.4846
1239.79,48.6512,-1563.669677734375,1442.31,31,31,155000,25.4149
1445.01,47.8591,-1637.2220458984375,1479.18,32,32,160000,23.9537
1746.05,47.0404,-1450.8145751953125,2818.16,33,33,165000,21.746
1356.65,47.5733,-1404.2296142578125,1992.06,34,34,170000,16.7185
1268.82,48.0514,-1604.1373291015625,1433.83,35,35,175000,21.3413
1626.56,46.8926,-1453.113037109375,2064.37,36,36,180000,17.0551
1292.77,48.1559,-1807.2889404296875,1434.16,37,37,185000,21.3252
1460.46,47.6654,-1666.2208251953125,2532.65,38,38,190000,20.7067
1319.26,48.1363,-1746.2413330078125,1371.24,39,39,195000,19.6212
1342.94,48.4395,-1960.08984375,1514.11,40,40,200000,20.3597
1291.0,48.0607,-2039.186767578125,1530.36,41,41,205000,24.2531
2610.36,47.1013,-1500.82373046875,3488.79,42,42,210000,18.5194
1731.42,47.5098,-1679.316650390625,2671.56,43,43,215000,18.6147
1295.13,48.3236,-2075.25439453125,2064.82,44,44,220000,27.7474
2518.08,47.1471,-1725.175048828125,2971.32,45,45,225000,20.4473
1781.52,47.1168,-1806.8382568359375,2974.77,46,46,230000,21.4401
2036.32,46.7432,-2010.5560302734375,3431.17,47,47,235000,23.0445
2054.28,46.3997,-1544.6534423828125,3566.23,48,48,240000,17.322
2702.85,47.0137,-1855.45556640625,3647.65,49,49,245000,23.8349
2276.11,46.9796,-1850.6341552734375,3611.85,50,50,250000,19.7434
2518.73,46.8776,-1795.1805419921875,3644.0,51,51,255000,18.437
2429.52,46.8759,-1908.7310791015625,3418.71,52,52,260000,19.0808
1867.3,47.6707,-2264.658447265625,3241.72,53,53,265000,36.2957
2932.88,46.3336,-1779.5986328125,3719.45,54,54,270000,27.2768
2744.56,46.1542,-1687.8145751953125,3591.59,55,55,275000,18.6737
2677.28,46.3795,-1847.38232421875,3593.35,56,56,280000,18.5251
2381.97,46.5712,-1946.8428955078125,3708.02,57,57,285000,21.2213
2495.38,47.0771,-2513.889892578125,3511.17,58,58,290000,26.0257
3016.2,46.837,-2005.4232177734375,3745.8,59,59,295000,19.9326
2752.36,46.6905,-2088.813720703125,3636.66,60,60,300000,17.5089
2765.97,46.9022,-2589.7822265625,3106.33,61,61,305000,29.2298
3092.21,46.4948,-2132.3466796875,3666.4,62,62,310000,17.4894
3196.02,46.5545,-2090.42578125,3660.04,63,63,315000,19.5869
2966.79,46.3179,-2297.474365234375,3570.55,64,64,320000,21.1128
3061.61,46.8537,-2252.07275390625,3571.54,65,65,325000,21.2129
3289.06,46.0044,-2039.8502197265625,3725.12,66,66,330000,19.3446
3374.7,46.3232,-2420.8798828125,3749.06,67,67,335000,25.2661
2853.89,46.499,-2388.8623046875,3762.23,68,68,340000,21.2375
3190.97,46.2389,-2379.478515625,3770.03,69,69,345000,19.6727
2823.91,46.2274,-2849.31640625,3707.34,70,70,350000,19.5082
2528.29,47.0675,-2828.611572265625,3762.36,71,71,355000,31.3773
2846.96,46.3329,-2635.934326171875,3787.29,72,72,360000,29.3898
2780.86,45.9295,-2441.649658203125,3788.19,73,73,365000,19.4543
3051.62,46.0151,-2617.213134765625,3724.45,74,74,370000,17.3382
3245.5,46.1735,-2736.987548828125,3693.87,75,75,375000,17.695
3159.83,45.9681,-2728.06396484375,3727.43,76,76,380000,22.6166
2345.2,46.6277,-2893.0673828125,3563.35,77,77,385000,18.0714
2782.47,46.3275,-3013.214599609375,3552.53,78,78,390000,19.6284
3134.8,46.3714,-2649.99560546875,3791.5,79,79,395000,18.519
2983.09,46.0106,-3003.96337890625,3780.9,80,80,400000,20.3239
3088.46,45.605,-2681.79541015625,3854.7,81,81,405000,18.7384
3272.93,45.8761,-2632.54541015625,3731.46,82,82,410000,18.2048
3362.82,46.184,-2833.6533203125,3773.05,83,83,415000,19.9382
3256.03,45.9466,-2837.50732421875,3772.68,84,84,420000,17.4797
3257.79,46.2098,-2920.173095703125,3829.25,85,85,425000,17.076
3392.34,45.7619,-2878.548095703125,3883.94,86,86,430000,18.2192
3406.05,45.8115,-2878.4111328125,3841.49,87,87,435000,17.4451
3257.31,45.7672,-3000.960693359375,3851.04,88,88,440000,19.1101
3385.29,45.6269,-3029.07958984375,3106.14,89,89,445000,18.3879
3542.22,45.845,-2928.00732421875,3825.46,90,90,450000,19.4662
3573.88,45.9325,-2965.103271484375,3911.32,91,91,455000,19.0842
3519.05,45.7237,-2992.052490234375,3772.46,92,92,460000,19.4463
