Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Running Reverse KL,Itration,Running Update Time,Running Env Steps
-134.43,74.8647,39.50876998901367,230.41,26.139,0,0,0
-80.47,74.2968,30.50752067565918,425.98,26.1444,1,1,5000
-46.55,72.8808,20.397689819335938,520.21,25.0901,2,2,10000
8.22,72.3383,14.397324562072754,603.38,26.5133,3,3,15000
50.16,71.5056,1.745084285736084,496.63,27.7221,4,4,20000
65.23,69.7333,-8.02941608428955,559.17,28.2641,5,5,25000
128.79,69.9693,-20.211471557617188,784.66,28.2161,6,6,30000
167.0,70.918,-24.771766662597656,615.52,30.1184,7,7,35000
239.38,70.0503,-38.715267181396484,620.52,29.7257,8,8,40000
241.93,71.4015,-53.25232696533203,760.33,30.9024,9,9,45000
170.22,70.2566,-62.84671401977539,760.52,30.6614,10,10,50000
244.71,68.8221,-73.1422348022461,715.42,30.3196,11,11,55000
168.12,68.8145,-83.79751586914062,816.85,29.9972,12,12,60000
174.71,68.4419,-90.2029800415039,870.73,29.5817,13,13,65000
264.12,69.6308,-109.7622299194336,551.01,29.8557,14,14,70000
237.86,68.1337,-120.86292266845703,531.82,30.145,15,15,75000
350.68,64.9629,-122.13683319091797,1298.83,28.0584,16,16,80000
425.07,64.7462,-133.43466186523438,1365.01,28.1738,17,17,85000
315.46,64.8563,-143.70077514648438,1074.19,29.236,18,18,90000
337.73,64.3705,-162.27769470214844,1105.49,28.2367,19,19,95000
504.85,63.1534,-164.94203186035156,1288.2,27.9045,20,20,100000
481.73,66.8435,-186.57537841796875,1154.16,29.2154,21,21,105000
550.82,63.653,-181.0530242919922,1397.97,28.3956,22,22,110000
373.34,65.7114,-209.0602264404297,1181.71,29.6942,23,23,115000
493.58,60.2866,-199.93479919433594,1266.37,26.9304,24,24,120000
595.63,65.588,-232.13670349121094,1088.32,29.4978,25,25,125000
460.41,62.5114,-230.4570770263672,998.63,27.238,26,26,130000
330.46,64.4799,-255.6806182861328,860.26,28.5534,27,27,135000
581.19,61.0555,-256.5220947265625,1118.46,27.6008,28,28,140000
441.06,60.5128,-251.879638671875,1218.1,27.1281,29,29,145000
654.04,60.5633,-267.3433532714844,1272.59,25.8449,30,30,150000
