Itration,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Real Sto Return,Running Env Steps
0,11.3034,158.4542,-48.73,-301.0049743652344,0,-230.43,0
1,11.4221,158.4233,-193.29,-361.0157470703125,1,-165.72,5000
2,11.7482,158.5924,-182.88,-380.7539978027344,2,-137.27,10000
3,12.5314,158.452,62.37,-423.4757995605469,3,84.13,15000
4,12.3212,158.3393,355.38,-511.69879150390625,4,229.69,20000
5,13.0815,158.242,-8.21,-637.7523193359375,5,424.75,25000
6,12.9984,158.235,507.16,-593.6722412109375,6,425.59,30000
7,12.8543,158.2259,468.75,-635.3101806640625,7,630.85,35000
8,12.929,158.1512,396.41,-693.59326171875,8,705.15,40000
9,13.7865,157.7685,751.15,-758.4859008789062,9,919.95,45000
10,13.3574,157.8066,1424.3,-611.2525634765625,10,949.22,50000
11,13.8101,157.4145,1448.14,-781.9219360351562,11,1076.01,55000
12,13.4325,157.3939,1600.64,-727.2410888671875,12,1249.19,60000
13,13.95,157.5506,1679.84,-701.3814697265625,13,1286.46,65000
14,13.5258,157.2676,1757.09,-852.7703247070312,14,1367.65,70000
15,13.5658,157.0967,1723.89,-938.2623291015625,15,1279.55,75000
16,13.1784,157.173,1722.86,-895.1653442382812,16,1386.49,80000
17,14.0714,157.3696,1813.93,-1027.0419921875,17,1383.04,85000
18,13.7454,157.3692,1937.16,-1020.9082641601562,18,1451.65,90000
19,14.5064,157.4128,1849.47,-1110.1256103515625,19,1509.45,95000
20,16.044,157.5359,1846.17,-1249.1763916015625,20,1419.29,100000
21,15.1088,157.5067,1909.89,-1225.494140625,21,1494.37,105000
22,13.7915,157.2603,2150.6,-1084.6171875,22,1587.69,110000
23,14.2574,157.21,2183.38,-1237.5333251953125,23,1617.24,115000
24,13.3624,156.9978,2110.97,-1135.203857421875,24,1716.41,120000
25,13.385,157.158,2228.7,-1205.7122802734375,25,1833.3,125000
26,13.4394,157.3794,2081.63,-1238.9908447265625,26,1771.62,130000
27,13.3095,157.1494,2370.71,-1226.468017578125,27,1933.86,135000
28,13.9168,157.0339,2778.56,-1250.7686767578125,28,2259.05,140000
29,14.7291,156.923,3173.23,-1293.844970703125,29,2567.51,145000
30,16.2351,157.2894,3211.96,-1247.1854248046875,30,2429.29,150000
31,14.9087,156.3854,3573.21,-1360.3037109375,31,2951.02,155000
32,15.5526,156.6118,3799.53,-1287.8519287109375,32,3167.28,160000
33,16.116,156.8339,3751.03,-1330.3489990234375,33,3117.28,165000
34,16.1211,156.783,3700.27,-1343.55419921875,34,3368.56,170000
35,15.7552,156.441,4093.9,-1362.1171875,35,3576.94,175000
36,16.0702,156.5397,4353.18,-1386.0186767578125,36,3843.43,180000
37,16.1435,156.6486,4431.54,-1421.8297119140625,37,4058.47,185000
38,16.0592,156.5567,4713.04,-1474.6866455078125,38,4078.11,190000
39,16.1432,155.737,4932.72,-1423.562255859375,39,4526.0,195000
40,17.0586,156.1163,5100.17,-1483.4239501953125,40,4525.24,200000
41,17.4013,155.814,5249.14,-1462.842041015625,41,4828.06,205000
42,15.5231,155.5726,5407.98,-1522.885498046875,42,4925.94,210000
43,16.0362,155.7469,5583.84,-1528.24853515625,43,5132.07,215000
44,16.0902,154.7569,5477.79,-1602.682373046875,44,4838.06,220000
45,17.2161,155.9958,5793.5,-1560.27783203125,45,5211.54,225000
46,16.8742,155.3084,6009.03,-1540.95703125,46,5471.1,230000
47,17.297,155.3661,6118.36,-1612.691650390625,47,5720.9,235000
48,16.3648,155.0538,6150.76,-1612.8399658203125,48,5742.41,240000
49,17.6195,154.8654,6608.56,-1652.6844482421875,49,6194.35,245000
50,17.7372,154.2052,6248.34,-1629.43212890625,50,6105.54,250000
51,15.1039,152.9487,6632.25,-1761.311279296875,51,5713.76,255000
52,15.172,154.3623,5667.97,-1862.3426513671875,52,5427.08,260000
53,17.8691,154.2706,6734.53,-1705.9244384765625,53,6511.47,265000
54,16.7639,153.7946,7092.41,-1731.636962890625,54,6555.68,270000
55,16.8811,152.7267,7592.74,-1766.4927978515625,55,6869.77,275000
56,16.8798,153.8407,6669.14,-1774.1591796875,56,6206.97,280000
57,17.8505,152.7227,7514.12,-1769.6512451171875,57,6902.07,285000
58,17.3278,153.3696,7520.22,-1898.439697265625,58,6792.14,290000
59,18.3692,152.492,7771.82,-1813.73486328125,59,6853.8,295000
60,17.7648,152.2403,6797.31,-1899.2039794921875,60,5786.46,300000
61,18.1463,152.46,8264.24,-1903.6424560546875,61,7271.91,305000
62,19.7142,152.5979,8326.25,-1854.4727783203125,62,7664.87,310000
63,20.1775,152.4742,8739.47,-1856.152587890625,63,7899.97,315000
64,16.9676,152.1627,6989.01,-2112.19580078125,64,6604.84,320000
65,19.189,152.3383,8591.48,-1876.1475830078125,65,7684.01,325000
66,20.4221,152.237,7702.15,-1967.4940185546875,66,7521.95,330000
67,20.4034,152.5148,8147.34,-1943.0244140625,67,7943.36,335000
68,20.4947,152.3683,8820.99,-1937.69384765625,68,8199.23,340000
69,21.1761,152.0084,9000.44,-1906.50927734375,69,8466.22,345000
70,20.3592,151.7628,8821.91,-1926.8765869140625,70,8232.84,350000
71,20.8566,151.9678,9180.11,-1945.5418701171875,71,8602.55,355000
72,20.9507,152.1272,8656.47,-1974.722412109375,72,8313.13,360000
73,20.2028,151.5457,8800.2,-2052.456298828125,73,8081.79,365000
74,22.546,151.9028,9338.24,-1966.219482421875,74,8736.82,370000
75,21.1749,151.6037,9324.69,-2021.7425537109375,75,8696.79,375000
76,20.2916,150.5187,9374.5,-2038.4473876953125,76,8762.2,380000
77,20.5946,151.7604,9404.39,-2121.2958984375,77,8742.75,385000
78,20.5904,151.0791,9258.7,-2177.94921875,78,8557.18,390000
79,20.4475,150.5769,9445.9,-2094.7724609375,79,8849.46,395000
80,20.3809,150.5376,9258.42,-2088.756591796875,80,8755.48,400000
81,20.3843,150.3518,9521.35,-2153.517333984375,81,8796.9,405000
82,21.4289,150.716,9765.04,-2094.66650390625,82,9057.51,410000
83,20.3719,150.4687,9059.86,-2210.037109375,83,8389.75,415000
84,20.9973,150.4981,9631.51,-2138.248046875,84,8529.04,420000
85,21.775,151.3093,9794.86,-2166.1708984375,85,9257.53,425000
86,19.8583,149.3871,9912.64,-2257.52978515625,86,8901.5,430000
87,21.4353,150.8071,9623.94,-2187.0595703125,87,9228.76,435000
88,21.0106,149.7799,9978.63,-2259.107177734375,88,9467.62,440000
89,22.4084,150.6649,10066.97,-2162.178955078125,89,9535.11,445000
90,19.7753,150.2212,9675.01,-2352.80322265625,90,8845.34,450000
91,20.9523,150.7144,9348.81,-2260.243408203125,91,9086.4,455000
92,22.5453,150.4041,9602.38,-2296.425537109375,92,9213.83,460000
93,21.8586,149.6805,10151.01,-2305.14404296875,93,9462.72,465000
94,19.5633,149.0569,9332.28,-2442.83251953125,94,8321.79,470000
95,22.6834,148.8304,10245.07,-2461.19873046875,95,7666.47,475000
96,21.6215,149.6706,10044.02,-2302.54052734375,96,9653.24,480000
97,22.4515,149.9862,10193.44,-2424.164306640625,97,9794.13,485000
98,20.3795,148.6879,9013.13,-2520.31005859375,98,8332.99,490000
99,22.0619,150.0812,9744.56,-2506.325439453125,99,9369.29,495000
100,22.4395,150.0895,9800.29,-2607.46435546875,100,9114.35,500000
101,21.1512,148.727,10193.06,-2498.24072265625,101,9455.62,505000
102,21.9969,149.4698,10168.85,-2464.37109375,102,9024.14,510000
103,22.2933,149.2447,10041.52,-2520.66943359375,103,9676.11,515000
104,21.5955,149.3432,9879.53,-2526.58642578125,104,9472.02,520000
105,21.6136,150.4403,10032.34,-2581.893798828125,105,9564.57,525000
106,18.7873,148.3978,9930.88,-2684.565185546875,106,9280.36,530000
107,21.9007,149.8569,9958.18,-2585.388916015625,107,9509.3,535000
108,23.2459,149.4885,10272.8,-2634.21435546875,108,9833.07,540000
109,21.2526,149.7521,10041.19,-2587.681884765625,109,9689.49,545000
110,20.8702,148.1647,9815.07,-2687.6396484375,110,9450.12,550000
111,21.2953,148.5357,10339.39,-2678.127197265625,111,9847.36,555000
112,21.3273,148.8326,9985.1,-2687.037353515625,112,9574.34,560000
113,19.83,148.5541,10197.25,-2718.99267578125,113,8976.68,565000
114,21.0166,149.4954,9505.76,-2760.860595703125,114,9209.35,570000
115,20.0957,148.5635,10091.82,-2850.030517578125,115,9750.43,575000
116,19.32,148.1442,10243.06,-2885.21240234375,116,9717.73,580000
117,20.6083,148.5122,10314.4,-2905.154052734375,117,8727.77,585000
118,21.2031,148.3501,10198.33,-2881.618408203125,118,9765.53,590000
119,21.2048,148.3259,10256.87,-2938.297119140625,119,9715.91,595000
120,21.0679,148.8568,10270.07,-2860.953125,120,9770.38,600000
121,22.0344,148.5519,10653.02,-2874.346435546875,121,10215.79,605000
122,19.7751,146.9341,10680.15,-2835.34765625,122,10140.65,610000
123,20.9343,147.6618,10797.45,-2934.00048828125,123,10236.06,615000
124,20.1081,146.7235,10410.11,-2957.7568359375,124,9873.33,620000
