Running Reverse KL,Running Update Time,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps,Itration,Running Forward KL
16.1308,0,286.2672424316406,227.91,220.44,0,0,31.359
51.8789,1,66.08452606201172,262.66,266.85,5000,1,31.116
43.4858,2,171.88803100585938,294.55,311.48,10000,2,30.1363
64.3917,3,240.07333374023438,396.25,357.93,15000,3,30.927
33.56,4,522.7564086914062,365.48,375.18,20000,4,31.4497
20.1788,5,296.3554382324219,388.02,451.66,25000,5,26.7336
18.349,6,126.43641662597656,435.39,409.38,30000,6,29.2351
16.9009,7,260.49237060546875,496.71,541.14,35000,7,26.1144
13.139,8,89.06063842773438,822.97,737.68,40000,8,28.1627
15.9465,9,25.91989517211914,686.35,734.21,45000,9,26.2522
13.8322,10,31.106916427612305,716.89,685.01,50000,10,24.7026
12.0584,11,-21.472265243530273,2190.27,1501.22,55000,11,22.2202
14.2956,12,-102.52326202392578,1026.7,829.2,60000,12,24.1728
20.5459,13,-65.91770935058594,749.82,775.41,65000,13,25.8223
14.8117,14,-23.686967849731445,2294.62,1821.23,70000,14,23.8264
14.3518,15,-14.277406692504883,1634.42,1560.84,75000,15,25.2055
18.8329,16,-65.979736328125,1014.39,998.95,80000,16,26.1021
14.9443,17,-67.50659942626953,1909.2,1497.38,85000,17,24.2931
18.3228,18,-189.6527099609375,1030.14,1042.82,90000,18,25.1013
15.4026,19,-214.9282989501953,2015.8,1777.99,95000,19,24.2808
14.7134,20,-185.65135192871094,887.86,1711.17,100000,20,22.3029
16.682,21,-247.56497192382812,1279.36,1268.57,105000,21,23.3614
12.47,22,-145.68348693847656,784.84,2107.09,110000,22,20.1929
10.9826,23,-36.28033447265625,3279.81,2302.46,115000,23,19.9264
11.8652,24,9.592074394226074,3254.44,3149.63,120000,24,20.1752
13.8979,25,-80.6683578491211,3240.75,2543.45,125000,25,18.999
10.0343,26,-29.345022201538086,3369.8,2839.71,130000,26,18.2259
11.4108,27,-125.15113067626953,1674.02,2013.9,135000,27,18.9926
10.3362,28,33.51716613769531,3442.32,3070.24,140000,28,17.4145
10.9886,29,-21.59410858154297,3361.52,3346.63,145000,29,17.7649
13.0722,30,-198.94029235839844,3018.13,2043.88,150000,30,18.2662
11.1143,31,-60.19166564941406,3395.67,2760.39,155000,31,17.8995
11.4518,32,-177.7189483642578,2969.98,2156.12,160000,32,18.9316
11.407,33,-30.851259231567383,3429.01,3355.63,165000,33,19.468
10.6426,34,-116.24803924560547,3396.8,2800.26,170000,34,17.4539
13.4444,35,-300.9367980957031,3496.02,1935.34,175000,35,19.7636
12.3759,36,-44.188411712646484,3451.45,3336.15,180000,36,17.7375
11.4416,37,-33.0394287109375,3533.93,3328.23,185000,37,17.1648
16.4612,38,-263.41058349609375,3270.85,2097.36,190000,38,17.8268
25.4266,39,-669.2291870117188,1078.88,1092.92,195000,39,22.8779
11.5417,40,-125.43917846679688,3433.42,3313.33,200000,40,16.1447
14.9478,41,-183.38702392578125,3459.0,2519.57,205000,41,17.3868
10.0165,42,-3.4321131706237793,3529.14,3441.73,210000,42,16.2809
18.8352,43,-200.8498992919922,3529.22,2883.32,215000,43,17.1509
24.945,44,-405.57080078125,3494.18,2598.74,220000,44,18.0012
