Real Sto Return,Itration,Running Forward KL,Real Det Return,Running Reverse KL
187.15,0,39.6113,181.41,25.1384
231.57,1,38.824,219.17,33.1457
274.06,2,36.9323,288.36,19.9671
302.99,3,35.7761,330.2,24.8456
324.22,4,35.5349,330.36,15.2028
419.49,5,31.9978,475.44,14.2154
473.9,6,32.324,431.36,17.5367
94.34,7,34.1244,32.31,51.2552
385.42,8,34.1758,288.83,21.4652
535.4,9,33.1271,490.37,50.385
719.85,10,31.769,352.84,38.2282
539.47,11,33.6902,630.94,42.9782
517.4,12,34.2646,153.19,29.4066
555.71,13,32.9276,720.1,52.0572
680.69,14,31.7008,664.36,45.0615
790.04,15,33.1665,828.25,44.1621
1134.06,16,30.6554,1457.2,27.583
996.9,17,30.9809,1001.49,36.5984
1023.11,18,30.5924,1238.55,46.8121
957.88,19,30.4053,1107.85,29.8737
2183.9,20,29.3606,2013.61,13.0889
1776.45,21,29.2616,1750.43,18.7574
1615.93,22,29.9072,946.56,21.0837
1647.96,23,29.8039,1508.79,16.3206
1432.93,24,27.6625,3137.68,13.8396
1595.66,25,27.972,1735.99,20.3145
1074.86,26,28.4973,2170.52,50.5673
1715.82,27,26.9082,3245.65,22.2077
2504.6,28,28.2653,3115.78,12.4416
1197.04,29,28.306,1898.69,45.3218
363.81,30,30.9223,18.13,40.3101
54.62,31,45.5891,55.65,43.3189
1007.6,32,41.567,1009.87,22.1275
423.91,33,40.5151,982.09,27.6702
973.23,34,41.6519,1019.2,36.3285
2492.04,35,30.3337,2353.16,14.5186
1069.54,36,33.0445,1071.12,18.375
1112.01,37,32.0465,624.65,19.0122
1476.83,38,27.9885,2448.88,19.529
2074.95,39,29.734,2746.45,19.1315
1004.29,40,33.2165,1004.89,30.3264
2820.17,41,28.6754,3104.19,13.7868
1418.3,42,32.2055,1019.52,30.1582
812.69,43,29.6672,845.53,129.4711
2864.92,44,29.1659,3004.75,14.7348
1593.39,45,27.7545,3041.42,22.8736
3100.12,46,28.442,3099.06,13.0153
1193.27,47,30.9235,1249.19,103.6138
2559.8,48,25.7496,3059.26,15.0503
3225.84,49,25.3607,3355.41,11.9006
3218.47,50,26.3476,3386.18,19.8263
1318.3,51,29.8008,1259.18,18.6332
3140.63,52,27.188,3405.53,14.1098
3252.03,53,28.1858,3398.33,14.0329
3236.56,54,27.1412,3383.24,13.5973
3219.05,55,27.2824,3358.77,13.07
3092.37,56,26.3808,3375.08,15.5839
3010.39,57,25.6959,3461.48,13.1743
2678.54,58,25.8083,3499.75,13.6838
3395.24,59,25.3608,3427.97,13.2839
3348.85,60,26.4411,3388.65,13.4048
3367.64,61,25.2485,3384.17,13.1475
3281.93,62,26.5266,3408.84,14.1066
3166.8,63,25.9446,3440.3,14.975
2614.35,64,26.061,3425.7,26.8713
2210.66,65,27.5693,3115.88,20.0866
2596.86,66,26.417,3412.24,23.7169
3315.91,67,25.0777,3411.64,13.933
2587.22,68,25.9876,3424.85,30.2833
2359.09,69,26.6088,3388.93,19.1382
3044.12,70,25.7802,3430.3,13.1918
3444.77,71,24.3553,3469.8,11.8894
1727.36,72,27.2533,2116.43,32.4218
3316.52,73,23.9145,3499.57,12.1158
2920.63,74,25.8586,3428.29,15.499
3357.7,75,25.304,3458.21,12.7595
3225.63,76,24.4361,3405.91,12.3853
2739.57,77,25.7649,3437.46,15.3525
2527.34,78,24.6884,3454.95,15.1374
3367.08,79,26.0842,3402.76,13.541
3047.14,80,25.8898,3402.69,12.752
3201.24,81,24.8173,3425.6,16.3355
3124.93,82,24.9168,3488.54,13.2606
2747.21,83,26.1226,3390.56,17.6531
1052.75,84,27.2736,466.98,14.0253
1517.4,85,26.17,3461.9,13.8196
3408.93,86,27.4831,3402.29,14.2382
3415.27,87,25.8615,3426.17,13.2152
2366.09,88,27.0121,2561.75,18.4844
3338.36,89,25.6957,3447.64,12.3983
3284.52,90,25.7553,3441.09,14.1104
3377.4,91,25.4676,3365.11,12.831
3378.14,92,25.0932,3449.03,12.3934
3014.48,93,25.1257,3443.08,18.2486
3382.56,94,25.7016,3386.5,12.6158
3255.58,95,27.0039,3301.34,11.9983
3329.78,96,24.8809,3341.3,11.9711
3380.7,97,25.0613,3372.15,11.7538
3306.78,98,25.5293,3433.33,13.5282
3394.82,99,25.7342,3406.38,12.9035
3228.86,100,25.3695,3451.2,19.9343
3379.56,101,24.1443,3383.12,11.9582
3414.06,102,24.2182,3415.82,11.6769
3443.41,103,25.4281,3449.7,13.0282
3380.04,104,25.2753,3400.88,13.2993
3381.04,105,24.5873,3409.52,12.4739
3329.02,106,26.4694,3329.97,13.6048
3398.12,107,25.375,3405.61,13.2499
3420.89,108,25.2259,3438.57,12.6432
3361.0,109,25.5263,3367.52,13.0657
3207.28,110,25.6246,3423.7,12.3284
3384.76,111,25.3888,3396.97,12.6892
3410.73,112,25.1899,3426.63,12.4307
3497.51,113,25.1198,3510.4,13.0452
2654.49,114,26.4874,3422.61,18.7353
3410.01,115,25.6269,3406.05,13.0275
1777.29,116,25.6185,3435.11,13.1332
3393.37,117,24.9103,3411.99,13.0233
3393.57,118,24.3643,3429.81,12.6323
3386.78,119,25.341,3405.08,13.101
3425.18,120,25.7725,3436.16,13.7328
3435.91,121,24.3532,3450.28,12.5826
3337.42,122,23.943,3485.59,15.7519
3377.96,123,26.2956,3447.82,13.7753
3422.31,124,24.4073,3434.61,15.0874
3431.18,125,25.3887,3440.66,13.057
3303.02,126,26.2737,3427.48,13.0949
3177.66,127,25.3771,3463.39,14.1465
3299.02,128,26.7252,3366.84,13.0064
2834.28,129,24.6064,258.21,13.1992
371.18,130,28.2084,234.62,16.2809
3330.9,131,26.9634,3337.51,14.2273
3371.43,132,25.3801,3407.18,13.0968
3397.11,133,25.6916,3422.5,13.9565
3360.63,134,25.285,3386.3,13.3865
3355.15,135,25.749,3381.4,13.399
3413.54,136,24.9574,3427.37,12.4457
3408.17,137,25.5811,3429.18,13.5858
3408.8,138,25.9393,3441.53,14.5618
3404.47,139,25.326,3439.65,12.5034
3271.11,140,27.4482,3381.99,14.2179
3409.18,141,25.95,3431.87,13.8239
3376.45,142,25.3987,3414.98,12.9587
3411.12,143,24.7948,3415.48,12.8886
3404.36,144,26.0595,3431.98,14.6106
3385.81,145,26.1685,3394.02,13.4738
3385.94,146,28.0938,3432.47,15.5489
3416.84,147,25.6664,3436.85,13.9418
3375.9,148,25.8908,3393.22,13.7888
2819.26,149,24.9915,3449.87,24.3688
3371.1,150,26.1732,3394.13,13.5744
3372.74,151,25.3907,3401.78,14.0037
3316.04,152,25.2963,3400.02,12.8066
3345.91,153,25.5376,3407.37,13.1766
3407.55,154,26.2461,3413.64,13.5549
3137.19,155,24.7689,3411.5,11.7877
3366.39,156,26.1231,3371.97,12.8019
3386.63,157,26.2269,3415.09,15.5142
3404.61,158,26.0484,3425.14,13.3789
3433.35,159,25.3184,3458.24,22.8958
3335.12,160,25.8471,3417.45,13.4468
3279.01,161,24.877,3386.44,12.3487
550.02,162,25.3279,613.25,13.2423
3392.7,163,25.3384,3422.4,12.7159
3359.37,164,26.056,3424.97,16.0793
3367.13,165,25.6138,3398.39,13.2234
3427.61,166,24.9635,3460.13,13.5907
3433.0,167,24.792,3468.79,12.5647
3345.31,168,24.7128,3457.25,12.9276
3391.2,169,25.2486,3417.48,12.574
3416.06,170,25.1504,3441.28,13.1956
3387.84,171,24.3671,3429.03,12.1308
3243.01,172,24.9113,3391.14,13.7079
3156.9,173,25.2943,3418.31,13.1073
3376.77,174,25.7343,3412.06,13.1448
3242.05,175,24.4328,3416.12,12.6433
3407.4,176,27.0677,3420.49,13.8597
3375.24,177,25.5992,3405.79,19.6855
3142.47,178,25.8687,3378.92,14.3351
3060.91,179,25.4053,3374.41,13.084
3245.18,180,25.6573,3442.5,13.2157
3038.9,181,26.1461,3430.57,17.837
2652.79,182,23.9745,3384.17,13.4338
3371.85,183,25.0587,3406.63,12.6709
3343.28,184,24.9022,3396.36,11.4715
3360.94,185,26.0345,3383.68,13.0346
3309.32,186,24.914,3426.55,16.2215
3188.87,187,26.5942,3410.8,12.5391
2737.55,188,27.4758,3400.2,14.4334
2118.26,189,27.6821,3267.74,24.3736
2710.06,190,25.9014,3342.33,19.3003
3375.13,191,25.8702,3380.72,12.4695
3393.18,192,24.9904,3407.64,12.4237
3399.25,193,24.5234,3438.18,12.23
3380.61,194,25.6265,3410.62,13.2186
3403.17,195,26.4955,3428.04,14.273
3381.14,196,24.8987,3403.02,15.3504
3312.28,197,24.2681,3438.45,14.1631
3282.04,198,26.6211,3352.27,13.1708
3342.75,199,26.4768,3415.51,13.1817
