Running Update Time,Reward Loss,Running Forward KL,Running Env Steps,Real Sto Return,Itration,Real Det Return,Running Reverse KL
0,376.2424621582031,49.3749,0,346.8,0,439.39,13.1036
1,283.3912353515625,49.4741,5000,452.32,1,467.99,14.1129
2,212.20654296875,49.1133,10000,576.26,2,512.15,13.9867
3,163.721923828125,49.4256,15000,348.81,3,366.06,17.5025
4,214.51019287109375,47.972,20000,551.79,4,551.3,12.7292
5,292.3110046386719,48.1127,25000,463.3,5,500.94,13.4763
6,227.07269287109375,48.8313,30000,593.72,6,1662.19,19.1229
7,90.25567626953125,49.5109,35000,469.82,7,452.57,30.7811
8,75.58172607421875,48.6825,40000,602.59,8,634.74,32.9445
9,100.91415405273438,47.7624,45000,713.67,9,639.01,26.0676
10,59.150306701660156,47.2027,50000,841.09,10,643.56,36.4562
11,109.39582824707031,47.0911,55000,784.01,11,692.69,27.4577
12,81.90953826904297,45.4309,60000,1626.45,12,2061.41,18.6337
13,66.27070617675781,45.7093,65000,1985.53,13,1457.01,17.0526
14,98.14569091796875,46.4684,70000,1376.31,14,887.32,18.8781
15,88.84245300292969,46.0266,75000,1101.8,15,1092.18,17.1956
16,66.35215759277344,45.84,80000,1279.04,16,1554.77,20.1185
17,151.75840759277344,46.0777,85000,1475.92,17,1898.76,16.0469
18,13.54330825805664,46.1191,90000,1585.81,18,1839.71,28.5418
19,29.602378845214844,46.0067,95000,2159.81,19,1654.55,16.4928
20,5.872130393981934,45.3231,100000,1746.59,20,1136.77,15.513
21,-1.9851624965667725,45.3009,105000,2689.16,21,2667.2,15.3675
22,3.311067819595337,44.5486,110000,2001.62,22,3055.87,14.5261
23,-23.635923385620117,44.2035,115000,2920.45,23,2827.4,16.3337
24,-10.589509963989258,44.2099,120000,2565.99,24,2623.59,14.6025
25,-65.5004653930664,45.738,125000,3193.3,25,3206.8,18.1228
26,-62.342613220214844,44.1601,130000,3303.75,26,3381.47,17.1316
27,-52.76665115356445,45.0076,135000,3334.27,27,3495.52,17.3739
28,-72.6504898071289,45.0496,140000,3142.26,28,3361.18,17.9579
29,-73.9912109375,44.1138,145000,3183.92,29,3206.37,16.4009
30,-81.41058349609375,43.9335,150000,3503.56,30,3730.59,17.7915
31,-90.7962646484375,44.84,155000,3511.91,31,3512.49,18.2984
32,-104.70354461669922,44.6371,160000,3643.22,32,3676.59,18.1034
33,-119.80873107910156,44.7775,165000,3623.09,33,3650.38,18.7996
34,-115.16523742675781,45.4951,170000,3559.57,34,3519.57,19.7086
35,-126.90380096435547,45.633,175000,3470.41,35,3401.04,18.7352
36,-132.48789978027344,44.6084,180000,3688.08,36,3771.93,19.6165
37,-141.93502807617188,45.4389,185000,3664.14,37,3721.41,20.2186
38,-146.8003692626953,45.7782,190000,3669.86,38,3697.35,20.3384
39,-151.66583251953125,44.8704,195000,3648.61,39,3581.39,19.0613
40,-159.13409423828125,44.4114,200000,3778.34,40,3797.11,19.0787
41,-158.3489532470703,44.73,205000,3761.4,41,3752.94,19.3084
42,-177.5936737060547,44.4569,210000,3765.7,42,3892.4,19.4147
43,-178.871337890625,44.8771,215000,3844.21,43,3893.85,20.1857
44,-171.1686248779297,43.8242,220000,3752.58,44,3865.23,18.4448
45,-180.17816162109375,43.5952,225000,3839.97,45,3879.69,19.2831
46,-190.4976348876953,43.9876,230000,3911.42,46,3937.6,19.0223
47,-182.83706665039062,42.744,235000,3995.34,47,4064.5,18.1455
48,-180.21055603027344,43.0247,240000,3902.01,48,4010.44,18.665
49,-199.22869873046875,43.4864,245000,4055.08,49,4020.1,18.8403
50,-201.85523986816406,42.9169,250000,4027.97,50,4064.01,18.893
51,-208.3965606689453,41.7549,255000,4027.39,51,3959.72,17.3452
52,-216.54010009765625,42.0003,260000,4024.07,52,4085.86,18.5168
53,-223.3398895263672,42.3304,265000,4115.99,53,4147.37,18.4788
54,-213.4390106201172,41.246,270000,4005.74,54,4136.13,16.7777
55,-223.096435546875,42.0219,275000,3981.16,55,4129.48,16.8862
56,-233.88087463378906,42.4794,280000,3926.67,56,4197.51,18.3882
57,-218.29238891601562,41.4311,285000,4062.66,57,3526.15,15.6231
58,-238.73260498046875,43.2687,290000,2903.12,58,2788.34,21.1058
59,-222.03598022460938,41.8285,295000,3635.19,59,3811.71,14.3813
60,-254.3190460205078,43.0947,300000,3853.29,60,3865.46,21.2962
61,-246.21060180664062,42.3048,305000,4011.26,61,4137.31,17.2773
62,-283.78912353515625,42.9059,310000,3863.25,62,3874.92,19.8059
63,-293.8534240722656,41.7948,315000,4062.98,63,4112.09,18.0857
64,-290.7668762207031,42.5581,320000,3817.94,64,3973.52,19.672
65,-311.6824645996094,42.0285,325000,3886.91,65,3887.41,18.1162
66,-619.1092529296875,55.9832,330000,53.11,66,51.31,88.648
67,-322.73822021484375,43.2992,335000,3803.38,67,3808.87,21.5299
68,-396.569091796875,43.5237,340000,3366.84,68,3303.01,23.6615
