Itration,Reward Loss,Running Reverse KL,Real Det Return,Running Forward KL,Real Sto Return,Running Update Time,Running Env Steps
0,18.084564208984375,28.6693,204.96,75.5997,-55.47,0,0
1,12.590728759765625,28.6066,139.98,75.9101,-18.88,1,5000
2,-8.69351577758789,28.0791,321.6,74.0332,-44.5,2,10000
3,-22.13751983642578,27.0967,522.24,73.0173,16.28,3,15000
4,-28.796417236328125,28.8077,550.97,73.1874,24.36,4,20000
5,-39.34604263305664,28.5929,505.24,74.2042,24.28,5,25000
6,-46.730621337890625,29.736,721.02,72.8349,87.43,6,30000
7,-54.91368865966797,29.644,707.52,73.3685,76.89,7,35000
8,-69.18097686767578,30.3599,593.69,71.5966,103.43,8,40000
9,-80.03592681884766,31.0429,612.46,70.9117,125.65,9,45000
10,-94.21444702148438,29.1985,751.57,65.6711,218.04,10,50000
11,-102.82878875732422,30.1094,809.76,68.7676,265.77,11,55000
12,-114.71340942382812,30.4159,597.5,70.2991,205.82,12,60000
13,-127.5609130859375,29.3028,848.78,66.9796,200.7,13,65000
14,-135.51185607910156,29.4678,924.61,68.0182,278.03,14,70000
15,-146.19851684570312,29.7256,708.63,66.7615,269.97,15,75000
16,-158.85633850097656,28.7553,817.47,64.6183,185.6,16,80000
17,-168.55287170410156,29.1878,1188.87,66.762,370.64,17,85000
18,-171.06658935546875,27.6585,886.42,60.1228,393.41,18,90000
19,-188.4773712158203,28.6019,858.37,65.4964,244.63,19,95000
20,-197.5935516357422,27.9498,1379.76,63.2673,386.54,20,100000
21,-213.7416229248047,28.1222,1391.04,64.2938,382.27,21,105000
22,-221.5188446044922,28.8677,1166.11,63.1035,214.53,22,110000
23,-242.7060546875,62.1994,-456.75,77.9838,-484.75,23,115000
24,-270.1425476074219,53.173,-233.61,76.9358,-766.54,24,120000
25,-248.2166748046875,26.3297,590.65,62.2567,79.97,25,125000
26,-275.81842041015625,26.2834,339.5,68.8157,-139.71,26,130000
27,-295.6894226074219,23.799,319.7,68.7246,0.67,27,135000
28,-315.0367736816406,24.5744,270.18,69.6793,-85.77,28,140000
29,-318.8278503417969,23.9318,520.02,67.9796,3.96,29,145000
30,-333.6437683105469,24.885,546.36,68.2876,35.68,30,150000
31,-350.41259765625,27.4615,502.54,70.8143,34.27,31,155000
32,-357.72052001953125,27.305,578.21,69.0411,90.91,32,160000
33,-365.7351379394531,27.1448,497.99,67.3436,104.27,33,165000
34,-377.3914489746094,29.7772,348.02,70.5814,53.05,34,170000
35,-395.2602844238281,28.8022,429.86,71.514,53.32,35,175000
36,-402.9509582519531,28.6467,336.94,68.4509,169.65,36,180000
37,-411.4546203613281,27.8858,355.9,68.184,123.9,37,185000
38,-429.6595764160156,28.7848,682.65,71.1423,142.22,38,190000
39,-440.4353332519531,28.5533,678.77,69.8631,167.38,39,195000
40,-453.71295166015625,29.1185,515.8,68.2788,147.01,40,200000
41,-463.75848388671875,28.7966,539.14,69.3096,183.18,41,205000
42,-480.632568359375,29.2262,648.16,69.4393,126.43,42,210000
43,-498.780517578125,28.737,640.1,68.3316,151.66,43,215000
44,-505.1339416503906,30.4734,615.45,68.9217,152.54,44,220000
45,-515.4087524414062,28.5442,553.73,68.2523,155.86,45,225000
46,-541.116455078125,29.2601,675.98,69.1137,120.4,46,230000
47,-546.4697265625,28.2211,595.66,66.8943,137.36,47,235000
48,-539.6222534179688,27.3056,688.53,64.5811,263.49,48,240000
49,-587.9511108398438,29.8723,431.89,70.1417,156.53,49,245000
50,-588.4819946289062,28.8416,567.22,68.37,138.52,50,250000
51,-612.96337890625,29.7956,475.98,68.6814,136.45,51,255000
52,-629.371826171875,30.2767,680.17,69.5233,192.65,52,260000
53,-640.1591186523438,29.355,725.75,69.2517,244.7,53,265000
54,-622.4381103515625,27.2491,712.55,63.5649,178.37,54,270000
55,-664.3001098632812,28.4936,345.41,67.178,135.8,55,275000
56,-675.0447387695312,28.8747,440.56,67.9941,113.41,56,280000
57,-683.2593383789062,27.8764,483.88,67.729,171.76,57,285000
58,-716.127197265625,28.1283,505.89,70.49,129.8,58,290000
59,-733.2471923828125,28.3637,315.78,68.9257,99.74,59,295000
60,-736.4942626953125,29.0987,380.76,71.4281,129.5,60,300000
61,-754.443603515625,28.0666,390.67,69.212,126.45,61,305000
62,-753.8980712890625,26.6397,602.86,64.9141,189.48,62,310000
63,-663.1019287109375,23.7347,726.21,54.7331,461.53,63,315000
64,-772.519775390625,26.214,584.06,64.6025,261.47,64,320000
65,-785.4708251953125,27.0466,810.25,64.1069,206.18,65,325000
66,-804.8663940429688,26.9287,648.26,64.6222,192.86,66,330000
67,-841.3677368164062,30.8954,575.34,66.9431,235.15,67,335000
68,-838.8064575195312,27.8183,555.4,66.0117,185.15,68,340000
69,-847.9306030273438,26.9552,458.15,63.6338,162.54,69,345000
70,-912.8177490234375,30.6916,467.2,71.6291,135.41,70,350000
71,-924.1688232421875,29.0559,482.88,68.9068,191.94,71,355000
72,-930.526611328125,28.3458,553.83,66.0629,187.1,72,360000
73,-960.8731079101562,30.3786,396.78,69.2422,192.16,73,365000
74,-971.025390625,28.3398,523.62,68.968,167.85,74,370000
75,-993.2799072265625,27.7827,547.26,68.6397,248.01,75,375000
76,-979.2696533203125,26.0577,474.05,64.0459,221.6,76,380000
77,-1025.4111328125,27.7513,656.23,65.4561,276.78,77,385000
78,-1031.6083984375,28.4952,481.53,65.0002,364.0,78,390000
79,-1067.7872314453125,29.1232,449.86,67.7809,145.81,79,395000
80,-949.4842529296875,23.3176,951.16,56.3958,371.62,80,400000
81,-1082.9912109375,27.6767,578.65,66.6425,290.25,81,405000
82,-1140.669921875,28.6884,520.86,71.1475,241.38,82,410000
83,-1099.8497314453125,29.0662,720.91,64.2178,230.1,83,415000
84,-1086.6761474609375,26.0296,867.64,60.6057,362.38,84,420000
85,-1166.2259521484375,27.8823,656.46,66.4723,292.16,85,425000
86,-1204.1087646484375,28.6984,721.09,69.1117,201.4,86,430000
87,-1230.3023681640625,28.1116,639.18,68.987,211.06,87,435000
88,-1248.693603515625,27.5141,616.95,66.5893,169.89,88,440000
89,-1251.63037109375,27.3254,568.55,67.3063,190.52,89,445000
90,-1289.698974609375,29.4249,493.62,68.7105,168.23,90,450000
91,-1304.7908935546875,28.9827,372.04,68.0587,153.62,91,455000
92,-1312.67578125,26.6184,727.8,65.7438,172.89,92,460000
93,-1364.8021240234375,29.7245,396.42,69.1274,205.15,93,465000
94,-1401.5263671875,30.8211,712.15,69.9522,224.88,94,470000
95,-1388.570556640625,28.0614,385.56,67.4438,186.37,95,475000
96,-1442.0457763671875,90.0247,25.28,68.0782,-325.88,96,480000
97,-1398.2852783203125,32.4635,417.28,65.2755,-77.13,97,485000
98,-1469.1009521484375,31.1017,410.9,70.5657,-25.18,98,490000
99,-1544.6151123046875,27.4506,655.71,68.7707,101.64,99,495000
100,-1479.5252685546875,27.3491,580.11,64.6166,125.4,100,500000
101,-1495.91064453125,27.2438,669.77,64.2726,234.77,101,505000
102,-1582.765869140625,29.5194,633.05,68.513,232.42,102,510000
103,-1560.1539306640625,28.8166,844.68,64.0419,217.88,103,515000
104,-1535.5947265625,26.2174,848.19,60.8989,479.21,104,520000
105,-1607.1741943359375,27.7428,702.94,64.1361,309.22,105,525000
106,-1550.4678955078125,24.7314,839.83,59.3207,364.3,106,530000
107,-1508.1143798828125,24.5607,1316.7,57.1225,633.69,107,535000
108,-1648.1295166015625,27.4869,987.16,63.5761,398.84,108,540000
