Running Env Steps,Itration,Running Forward KL,Running Reverse KL,Running Update Time,Real Det Return,Reward Loss,Real Sto Return
0,0,435.2544,251.5084,0,406.03,-22479.083984375,344.48
5000,1,424.7631,282.8999,1,381.97,-22415.904296875,368.53
10000,2,388.4296,270.966,2,513.77,-21634.408203125,449.94
15000,3,402.3416,241.8542,3,574.61,-24989.7109375,459.06
20000,4,400.2542,259.7503,4,534.3,-24499.41015625,457.1
25000,5,395.1931,257.3882,5,562.8,-28088.490234375,471.92
30000,6,399.1982,256.5237,6,484.52,-29302.67578125,524.95
35000,7,399.6516,240.3848,7,638.27,-28573.07421875,525.28
40000,8,393.4823,233.9177,8,572.71,-29456.587890625,479.77
45000,9,393.6777,269.7426,9,614.98,-32699.111328125,559.98
50000,10,388.9753,256.9109,10,582.33,-32845.90625,554.1
55000,11,416.8465,260.8819,11,507.17,-34186.96875,588.7
60000,12,376.2471,254.2165,12,727.94,-35030.88671875,609.81
65000,13,393.7545,284.7179,13,882.14,-35445.01171875,702.64
70000,14,396.3452,289.2631,14,681.75,-34964.671875,688.02
75000,15,394.4946,308.0259,15,605.34,-39409.1015625,648.22
80000,16,384.9279,287.5411,16,690.97,-38973.65234375,583.45
85000,17,387.5595,316.6384,17,611.26,-39009.5,816.67
90000,18,380.5747,374.3241,18,595.28,-39552.671875,814.53
95000,19,368.0206,290.0127,19,666.42,-40043.33984375,954.91
100000,20,384.7871,272.063,20,527.71,-40486.88671875,782.07
105000,21,372.8621,245.4061,21,520.23,-42036.6484375,920.73
110000,22,390.5138,365.1681,22,541.52,-45685.28515625,893.2
115000,23,395.0884,286.217,23,617.79,-45810.37109375,912.32
120000,24,378.859,255.7998,24,672.87,-42164.26953125,988.0
125000,25,380.2802,270.5372,25,609.17,-46064.0859375,985.2
130000,26,369.407,267.0578,26,749.57,-44687.15625,1126.97
135000,27,380.0301,253.6343,27,812.64,-46567.1015625,1146.01
140000,28,385.7826,282.1208,28,720.62,-49101.21484375,937.12
145000,29,375.5316,219.9212,29,587.46,-42527.7109375,1129.45
150000,30,389.7808,222.3455,30,666.36,-45664.86328125,1194.39
155000,31,372.7454,251.8295,31,661.58,-43796.8671875,1242.06
160000,32,380.5035,235.9634,32,881.05,-47431.03125,1188.34
165000,33,382.3046,256.2647,33,782.47,-48688.87109375,1437.81
170000,34,371.7934,256.0448,34,772.01,-47056.56640625,1412.61
175000,35,376.3334,235.3265,35,829.47,-45600.16796875,1194.73
180000,36,365.0743,222.4043,36,1120.69,-42830.75390625,2150.95
185000,37,374.5021,253.9706,37,943.88,-48309.43359375,2062.69
190000,38,370.9863,237.0749,38,1131.91,-47260.3515625,1313.09
195000,39,345.9246,207.6104,39,2956.9,-38583.05078125,2145.95
200000,40,372.1872,216.1517,40,1284.47,-45784.2265625,2185.77
205000,41,343.2767,186.6003,41,2485.19,-36029.859375,2450.7
210000,42,358.0654,208.7469,42,1784.95,-42325.31640625,2716.77
