Real Det Return,Real Sto Return,Reward Loss,Running Forward KL,Running Reverse KL,Itration,Running Update Time,Running Env Steps
-47.77,-241.75,128.7761993408203,158.4674,11.2259,0,0,0
5.77,-106.07,-83.783935546875,158.4189,11.7261,1,1,5000
101.8,47.53,-323.3393249511719,158.4163,12.1009,2,2,10000
8.56,252.31,-598.6727905273438,158.1776,12.961,3,3,15000
866.61,424.47,-837.3722534179688,158.1872,13.7626,4,4,20000
940.3,490.98,-1025.048828125,158.0968,13.9854,5,5,25000
929.97,514.77,-1320.0045166015625,157.8139,13.7503,6,6,30000
1112.56,683.91,-1469.4654541015625,158.1172,14.3284,7,7,35000
1112.93,736.83,-1660.8516845703125,157.8989,14.5611,8,8,40000
1202.06,844.21,-1810.25927734375,158.1706,15.0448,9,9,45000
1314.21,958.6,-2012.616943359375,157.8905,15.4036,10,10,50000
1434.92,1015.55,-2131.9560546875,158.0811,15.8187,11,11,55000
1441.71,1042.02,-2348.113525390625,157.9374,16.2521,12,12,60000
1513.62,1108.72,-2528.07470703125,157.8864,16.3503,13,13,65000
1502.92,1120.92,-2735.6669921875,157.9818,16.2856,14,14,70000
1530.9,1158.19,-2929.87548828125,157.8904,16.5761,15,15,75000
1670.1,1231.89,-3119.302001953125,157.789,16.3696,16,16,80000
1756.06,1283.51,-3400.767578125,157.5914,16.0957,17,17,85000
1742.09,1310.12,-3561.15966796875,157.7817,16.4784,18,18,90000
1739.3,1322.63,-3805.590576171875,157.6231,16.1771,19,19,95000
1851.95,1381.15,-3973.24658203125,157.5737,15.9882,20,20,100000
1863.52,1393.58,-4231.27783203125,157.4479,15.8111,21,21,105000
1799.76,1401.72,-4427.37451171875,157.6515,15.8366,22,22,110000
1903.52,1483.57,-4660.25732421875,157.7519,16.4523,23,23,115000
1950.99,1499.95,-4907.93408203125,157.7345,16.5322,24,24,120000
1903.01,1516.43,-5048.40478515625,157.4729,16.4821,25,25,125000
1984.19,1524.4,-5288.47705078125,157.7512,16.7471,26,26,130000
1983.02,1588.16,-5435.2509765625,157.3105,16.6096,27,27,135000
2002.93,1574.01,-5626.1298828125,157.3056,16.3072,28,28,140000
1999.76,1589.68,-5798.0302734375,157.4767,16.3214,29,29,145000
2028.5,1630.03,-6022.609375,157.5126,16.7087,30,30,150000
1938.65,1619.53,-6195.83984375,157.1776,16.2006,31,31,155000
2009.68,1649.68,-6345.7822265625,157.2637,16.2995,32,32,160000
1979.86,1638.41,-6537.703125,157.2281,16.0396,33,33,165000
2010.01,1635.72,-6699.5576171875,157.2805,16.1772,34,34,170000
2050.33,1654.58,-6914.81640625,157.2679,15.984,35,35,175000
2019.93,1628.05,-7078.5283203125,157.3742,16.0278,36,36,180000
2046.83,1692.63,-7340.67431640625,157.2916,16.6778,37,37,185000
2025.62,1701.27,-7428.9443359375,157.0495,15.9576,38,38,190000
1965.79,1659.92,-7638.55908203125,157.1909,16.0587,39,39,195000
2061.87,1701.53,-7860.0498046875,157.2426,16.4807,40,40,200000
2048.58,1699.18,-8056.40234375,157.051,16.1281,41,41,205000
2079.92,1683.37,-8210.6259765625,157.0154,16.005,42,42,210000
2081.0,1717.3,-8364.2578125,157.0837,16.2659,43,43,215000
2060.33,1724.04,-8563.7119140625,157.1106,16.083,44,44,220000
2035.01,1702.5,-8681.4423828125,157.0427,16.0498,45,45,225000
2093.85,1749.13,-8979.916015625,157.0635,16.1581,46,46,230000
2063.08,1751.24,-9130.072265625,157.1588,16.2477,47,47,235000
2092.02,1758.58,-9300.4140625,157.0059,16.0587,48,48,240000
2087.93,1740.71,-9502.0302734375,157.1408,15.9925,49,49,245000
2071.96,1744.13,-9681.6943359375,156.9288,15.9621,50,50,250000
2097.05,1764.05,-9849.2353515625,157.0538,16.1708,51,51,255000
2099.88,1761.21,-9972.9990234375,156.9074,15.7893,52,52,260000
2087.76,1732.06,-10177.1318359375,156.8339,15.4935,53,53,265000
