Running Update Time,Itration,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps,Running Forward KL,Running Reverse KL
0,0,16.871408462524414,311.13,-48.48,0,74.2781,25.0743
1,1,-4.692018032073975,368.59,-51.65,5000,75.3757,25.8299
2,2,-5.406983375549316,506.47,-31.19,10000,74.4629,26.0977
3,3,-16.928464889526367,555.84,-10.14,15000,75.1368,26.2212
4,4,-31.88950538635254,519.2,-2.53,20000,73.3429,26.8567
5,5,-36.76325988769531,528.96,37.49,25000,70.6096,27.4758
6,6,-47.388919830322266,543.66,38.86,30000,73.6364,29.2946
7,7,-60.27509307861328,768.13,35.61,35000,71.5124,28.3395
8,8,-71.72146606445312,829.44,67.76,40000,73.6758,30.1805
9,9,-83.13969421386719,872.56,125.17,45000,71.2559,30.2817
10,10,-91.1581039428711,816.61,124.56,50000,71.2974,30.0816
11,11,-104.06319427490234,651.34,112.41,55000,70.7236,30.772
12,12,-119.16851043701172,784.14,107.03,60000,71.3357,30.9441
13,13,-130.1835479736328,879.15,130.31,65000,70.6882,31.9065
14,14,-145.81024169921875,770.72,120.53,70000,73.677,31.7445
15,15,-153.21090698242188,737.76,172.17,75000,71.4567,31.6395
16,16,-165.17874145507812,727.03,155.83,80000,72.4358,31.517
17,17,-180.02093505859375,729.48,167.44,85000,70.0502,31.4444
18,18,-190.01402282714844,620.11,146.96,90000,73.6827,32.8494
19,19,-198.12017822265625,844.09,192.77,95000,71.8865,31.7471
20,20,-212.65731811523438,883.94,185.0,100000,69.8509,31.1238
21,21,-225.5535125732422,967.46,178.82,105000,70.4644,31.2148
22,22,-236.66932678222656,676.6,218.39,110000,68.6698,30.3852
23,23,-254.58982849121094,715.65,217.89,115000,68.5958,30.8636
24,24,-268.69921875,940.53,206.25,120000,69.8046,32.0305
