Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Forward KL
444.61,0,254.1448,391.99,449.8381
264.63,1,288.8591,284.11,442.8572
326.36,2,268.5704,359.81,418.3771
345.37,3,260.5174,372.18,437.8162
519.76,4,241.185,370.6,401.8528
459.97,5,268.5353,390.21,427.8098
563.11,6,263.0399,419.22,419.3775
433.19,7,241.5613,404.32,425.6525
518.69,8,239.4733,473.89,395.5202
368.82,9,261.0695,432.81,408.7151
380.12,10,246.5105,461.44,407.4477
389.95,11,249.9175,523.1,416.7086
521.72,12,258.505,489.32,417.0382
513.6,13,267.7198,505.42,389.4306
419.17,14,271.0312,549.11,383.5018
451.26,15,280.197,494.33,397.5885
497.42,16,279.0952,549.73,405.3815
471.55,17,279.5179,597.7,397.0796
497.73,18,273.4484,593.28,405.197
478.74,19,264.7917,594.82,400.0244
498.07,20,254.7623,626.15,401.1542
531.12,21,255.3982,645.09,384.8847
497.51,22,253.2093,695.52,393.9174
558.77,23,247.2591,700.17,394.0369
608.1,24,249.2012,728.9,383.555
603.24,25,244.5631,778.88,390.3662
565.82,26,276.7227,814.81,392.0835
510.38,27,259.3213,742.4,393.4209
518.26,28,246.6778,863.93,388.8154
656.3,29,235.8486,816.14,387.4872
511.29,30,255.7186,817.87,390.3121
769.8,31,229.1759,1157.77,377.1135
517.91,32,238.2312,987.7,374.3523
496.9,33,245.6771,885.4,382.1438
644.16,34,263.5724,1376.13,372.8266
553.02,35,236.6774,1076.77,369.1423
581.36,36,259.1081,1015.43,378.5323
625.44,37,233.3682,1174.71,364.904
846.8,38,250.5247,1073.12,370.1688
551.86,39,261.8251,888.53,381.0387
712.78,40,219.9835,1210.48,356.7724
954.46,41,235.5171,1085.28,360.819
769.08,42,273.3321,1363.73,373.6855
810.83,43,277.487,1357.51,367.3463
604.43,44,265.4165,1070.99,387.5174
497.96,45,313.1686,1017.67,381.2528
541.54,46,286.3252,874.84,391.5542
480.42,47,284.8718,973.5,382.4639
566.38,48,262.4147,1184.14,374.7321
667.2,49,259.1458,1135.84,376.3163
580.99,50,274.2723,1390.04,372.1755
680.14,51,247.8374,1158.83,366.5534
885.34,52,268.298,1412.9,379.0706
1057.69,53,253.5945,1308.63,355.1281
1037.56,54,212.6629,2160.03,342.3758
1870.68,55,191.3184,2630.56,349.9409
1290.54,56,245.5659,2177.6,359.7275
1530.48,57,175.9009,2408.63,337.3099
1291.39,58,251.3712,2473.92,359.2562
1359.59,59,213.2004,3238.48,353.6751
1464.39,60,165.9493,2313.31,339.5748
1376.25,61,175.7324,2313.64,342.0831
1184.2,62,239.1631,2815.07,358.4024
1766.19,63,175.7494,4060.37,341.8582
2130.97,64,178.6552,4450.54,349.8787
4165.89,65,184.8325,4413.95,350.5281
1052.33,66,150.4193,3735.54,336.2585
703.65,67,208.3717,3177.05,345.0412
1528.56,68,166.7171,3234.12,340.2148
2155.8,69,178.3966,3262.9,344.3791
