Real Sto Return,Itration,Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL,Running Env Steps,Reward Loss
291.89,0,0,445.5523,266.74,270.7052,0,-1317.0986328125
392.86,1,1,427.8569,387.54,247.8078,5000,-1131.2520751953125
361.62,2,2,431.5644,320.59,303.4133,10000,-879.193115234375
424.31,3,3,409.8395,349.39,254.0579,15000,-785.1923828125
352.67,4,4,436.9995,359.92,279.2487,20000,-892.7525634765625
339.12,5,5,420.1282,300.72,309.7737,25000,-1479.0396728515625
370.62,6,6,435.7292,352.54,305.0201,30000,-1843.498291015625
458.69,7,7,401.2806,502.11,263.9709,35000,-1345.2730712890625
477.17,8,8,402.9291,409.45,340.2082,40000,-1706.0699462890625
472.33,9,9,400.5471,465.41,320.9447,45000,-2561.96875
501.3,10,10,399.7581,528.18,263.9511,50000,-2076.281494140625
477.36,11,11,417.2917,369.27,260.0121,55000,-1955.56298828125
451.61,12,12,410.8573,567.17,281.6838,60000,-2776.906982421875
504.11,13,13,397.7818,652.32,254.4801,65000,-2949.274658203125
564.81,14,14,386.1457,612.54,281.9415,70000,-2866.24609375
539.1,15,15,398.3021,567.8,274.1722,75000,-3344.879150390625
603.48,16,16,375.3987,598.78,307.1432,80000,-3217.581298828125
568.11,17,17,381.4418,644.63,266.0807,85000,-3472.95849609375
561.95,18,18,374.6801,534.27,246.4773,90000,-3952.8701171875
603.15,19,19,368.3828,595.58,260.7038,95000,-3825.43310546875
529.33,20,20,380.7717,593.3,249.637,100000,-3952.40771484375
616.08,21,21,389.2109,605.18,258.417,105000,-4146.79345703125
612.33,22,22,393.128,540.77,242.3115,110000,-4475.0703125
615.61,23,23,383.5791,573.76,250.4807,115000,-4469.74267578125
604.58,24,24,383.1004,625.83,228.0048,120000,-4802.0146484375
649.43,25,25,385.5583,689.41,242.7188,125000,-4971.06982421875
624.71,26,26,387.3925,729.0,227.089,130000,-4618.75634765625
701.51,27,27,384.9438,690.37,238.9824,135000,-5034.42236328125
781.75,28,28,360.9716,672.17,260.8072,140000,-5690.15673828125
759.66,29,29,380.7171,735.83,240.7969,145000,-5542.26708984375
619.07,30,30,378.9765,612.29,224.4484,150000,-5707.73583984375
726.74,31,31,368.3693,733.69,246.0292,155000,-6018.21240234375
738.37,32,32,371.219,554.68,215.1839,160000,-5153.31689453125
789.56,33,33,357.2307,577.26,233.493,165000,-6085.29736328125
965.12,34,34,347.714,1369.92,220.4917,170000,-5829.63232421875
845.6,35,35,358.0909,738.38,226.9537,175000,-6389.21142578125
779.87,36,36,368.6913,680.31,233.1666,180000,-6346.18115234375
1174.24,37,37,354.1625,744.28,247.7006,185000,-6746.22900390625
849.87,38,38,353.2302,1015.93,250.3182,190000,-6813.63671875
925.71,39,39,360.9752,1033.05,210.0326,195000,-6201.625
1906.88,40,40,339.6749,1501.95,200.4901,200000,-5922.3955078125
1576.72,41,41,336.9315,1422.49,206.9847,205000,-6646.1748046875
1098.47,42,42,359.506,838.19,222.6588,210000,-7125.5830078125
1003.73,43,43,366.807,752.47,248.9485,215000,-7322.71484375
1867.17,44,44,346.5095,997.28,198.6967,220000,-7006.55908203125
1882.48,45,45,329.5714,1369.26,190.4739,225000,-6518.60888671875
1644.26,46,46,308.3512,1382.07,144.3062,230000,-4159.2099609375
1090.3,47,47,326.5081,958.97,250.7954,235000,-7963.26171875
1477.59,48,48,317.4957,1133.07,167.8571,240000,-6345.1796875
1243.69,49,49,340.4347,890.94,196.0711,245000,-6866.7568359375
1233.52,50,50,348.0763,1121.55,213.8216,250000,-7872.56494140625
2010.8,51,51,309.8052,1356.31,184.6246,255000,-6531.3212890625
2012.13,52,52,297.3716,1593.69,152.127,260000,-5439.52392578125
1936.82,53,53,302.4095,2883.83,120.2573,265000,-4516.3583984375
823.01,54,54,332.5811,1113.72,210.0022,270000,-7260.5869140625
2623.29,55,55,304.9587,1544.86,146.7467,275000,-5762.3125
2139.27,56,56,303.2825,2811.1,157.6197,280000,-6399.171875
3432.36,57,57,313.3085,3764.39,157.6812,285000,-5741.14501953125
3515.03,58,58,305.8706,3318.4,168.5418,290000,-6190.74560546875
2515.63,59,59,303.4491,2153.43,169.977,295000,-6538.6103515625
3141.04,60,60,291.8746,3806.82,122.599,300000,-4793.53857421875
3468.62,61,61,297.8905,3203.35,156.9253,305000,-5855.81396484375
3699.97,62,62,273.9269,4671.05,76.8192,310000,-1742.239013671875
3324.09,63,63,291.6298,2779.63,143.5109,315000,-5763.96337890625
