Running Env Steps,Real Det Return,Reward Loss,Running Forward KL,Running Reverse KL,Itration,Real Sto Return,Running Update Time
0,-1.61,63.402156829833984,158.6137,11.6711,0,-196.74,0
5000,-8.32,-137.10470581054688,158.3456,11.6638,1,-51.03,1
10000,659.2,-409.77618408203125,158.3791,12.3187,2,107.67,2
15000,739.15,-680.8497924804688,158.3084,12.9323,3,240.66,3
20000,796.72,-946.3768310546875,158.2978,12.8166,4,316.83,4
25000,969.56,-1162.0888671875,158.0829,13.6599,5,509.88,5
30000,925.72,-1386.5318603515625,157.9042,13.9496,6,591.43,6
35000,1064.72,-1581.501220703125,158.2064,14.3324,7,719.64,7
40000,1174.64,-1792.5875244140625,157.9363,15.1069,8,861.1,8
45000,1298.99,-2064.797119140625,157.8292,15.2973,9,1008.6,9
50000,1354.85,-2278.889404296875,157.8038,15.404,10,992.3,10
55000,1533.31,-2506.836669921875,158.0359,16.2671,11,1115.83,11
60000,1579.83,-2742.31298828125,157.8783,16.2937,12,1171.06,12
65000,1616.01,-2890.000732421875,157.8097,16.1156,13,1174.33,13
70000,1666.2,-3130.88232421875,157.7089,16.1079,14,1216.9,14
75000,1701.41,-3287.0625,157.8313,16.1602,15,1278.58,15
80000,1727.27,-3502.40283203125,157.9941,16.4139,16,1292.75,16
85000,1748.28,-3629.20703125,157.9024,16.634,17,1351.1,17
90000,1763.34,-3864.356201171875,157.9272,16.4604,18,1332.34,18
95000,1829.2,-4057.098388671875,157.8878,16.5365,19,1404.63,19
100000,1825.98,-4218.125,157.8013,16.4662,20,1435.69,20
105000,1845.42,-4450.93994140625,157.9269,16.6574,21,1486.9,21
110000,1826.35,-4597.50341796875,158.1068,16.6522,22,1472.25,22
115000,1854.46,-4825.892578125,157.8613,16.3867,23,1482.55,23
120000,1879.32,-4930.912109375,157.9144,16.4423,24,1512.04,24
125000,1894.02,-5143.66943359375,157.7862,16.7481,25,1537.52,25
130000,1866.8,-5380.935546875,157.5314,16.1878,26,1556.63,26
135000,1933.67,-5588.83740234375,157.7643,16.7866,27,1613.23,27
140000,1893.39,-5664.82470703125,157.912,16.6808,28,1562.73,28
145000,1905.65,-5886.99169921875,157.5938,16.2867,29,1567.26,29
150000,1938.65,-6095.572265625,157.5058,16.4846,30,1594.33,30
155000,1949.06,-6296.20849609375,157.6935,16.5383,31,1614.92,31
160000,1876.27,-6454.9443359375,157.5847,16.2272,32,1580.65,32
