Itration,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
0,574.0467,311.7,286.21,470.4306
1,281.3534,315.87,311.13,422.6537
2,273.9569,357.73,334.28,426.6565
3,255.4251,379.72,340.14,399.9014
4,253.3306,341.6,324.43,402.5254
5,254.6419,408.56,264.96,401.2399
6,278.7238,417.78,331.7,407.6989
7,266.2838,416.7,436.03,409.0433
8,277.2872,478.45,490.46,404.1201
9,262.2875,463.86,451.23,407.749
10,262.923,449.81,414.28,402.5225
11,242.8761,471.18,368.97,405.7094
12,258.8402,500.23,608.77,401.0932
13,260.1208,610.68,544.03,406.6566
14,257.784,523.38,537.35,395.0115
15,262.4553,580.82,583.51,400.5833
16,300.0812,472.92,433.48,417.2035
17,274.2828,492.28,575.78,390.773
18,279.6464,477.46,583.91,414.7862
19,275.2807,435.58,357.84,421.6326
20,227.0001,624.89,543.2,392.3922
21,227.1034,620.37,686.03,403.5021
22,238.5607,620.12,803.17,386.8115
23,254.6846,584.21,673.79,398.3476
24,251.5557,619.74,468.51,392.0958
25,235.3316,574.38,535.48,399.23
26,248.1574,594.68,534.87,402.1933
27,257.1362,652.11,526.48,404.0064
28,267.7084,537.28,429.19,405.9818
29,266.4983,678.49,579.2,386.0893
30,260.119,551.24,527.75,395.57
31,258.8887,595.14,460.46,405.7301
32,262.6873,611.52,527.66,382.4569
33,254.1944,701.25,666.66,394.7016
34,279.9317,609.55,471.56,388.4234
35,242.6226,835.69,785.18,384.9068
36,262.0238,637.69,543.21,396.1227
37,254.9111,972.4,621.12,383.1028
38,254.8521,715.94,536.2,386.0139
39,238.4701,864.65,832.55,367.404
40,255.6921,736.69,598.58,395.8351
41,256.1649,871.41,704.32,384.4875
42,242.721,746.25,637.53,385.521
43,242.8087,880.95,760.46,384.2346
44,234.3346,881.93,536.35,378.5812
45,240.4619,955.08,739.88,377.1926
46,246.9781,807.46,532.11,373.3299
47,231.6432,837.08,675.16,366.2746
48,244.31,951.32,867.04,384.6477
49,254.6309,817.89,659.84,371.9499
50,249.8024,893.75,578.95,381.6046
51,268.103,929.62,606.22,393.3101
52,246.0703,904.6,857.56,374.5586
53,231.2804,1065.0,948.73,371.7452
54,236.2521,797.04,742.19,375.6251
55,283.171,879.49,937.68,375.8027
56,234.9489,1031.74,663.85,353.0553
57,236.3644,1168.95,922.88,360.1171
58,237.5741,1137.35,935.67,367.8897
59,211.3816,1028.04,1079.82,364.6125
60,219.2227,1208.24,770.9,362.86
61,228.7666,898.1,733.07,386.1317
