Real Sto Return,Real Det Return,Running Reverse KL,Running Forward KL,Itration
217.2,222.85,44.9345,39.134,0
351.4,378.06,45.5552,33.834,1
392.99,389.87,18.2551,32.4395,2
513.16,519.77,18.0198,32.1307,3
414.26,440.69,16.141,29.3836,4
575.43,586.49,18.1297,33.0156,5
318.98,329.47,13.8688,30.2201,6
890.77,877.04,15.7896,30.4578,7
796.82,873.34,14.8908,30.3607,8
971.99,1255.35,14.8167,30.3038,9
1170.96,1847.38,20.6099,30.5509,10
1664.57,3084.38,18.1962,30.2743,11
1205.3,1837.71,21.4691,29.6119,12
977.18,977.62,32.7633,30.2565,13
1006.87,1154.82,35.1327,31.0305,14
2042.85,3072.76,17.5026,28.3082,15
1767.82,2763.01,20.8327,28.9395,16
1186.4,1616.7,27.556,30.2662,17
1482.46,1022.69,23.5265,28.6759,18
1985.65,3087.26,14.588,29.4254,19
1494.45,3214.41,18.6148,29.2378,20
2576.24,3044.42,14.2032,28.8883,21
2319.9,3098.92,16.042,28.9744,22
1649.99,3169.81,16.4413,29.6761,23
2233.92,3211.82,15.7071,29.7461,24
