Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Itration,Reward Loss,Running Update Time
9.44,158.5147,11.6996,-204.92,0,0,-28.544754028320312,0
148.39,158.3445,11.5462,-31.29,5000,1,-84.62300872802734,1
699.77,158.1652,12.469,131.31,10000,2,-105.94302368164062,2
722.07,158.1918,13.2611,279.94,15000,3,-157.81402587890625,3
819.68,158.2995,13.546,420.4,20000,4,-193.299560546875,4
937.84,158.133,13.5161,422.01,25000,5,-185.07333374023438,5
997.27,157.7449,13.6491,592.52,30000,6,-213.20750427246094,6
1148.53,158.0771,14.2808,712.18,35000,7,-239.9212646484375,7
1284.24,157.9769,14.6016,798.8,40000,8,-248.26104736328125,8
1327.63,157.8173,15.7466,935.11,45000,9,-270.8184814453125,9
1394.23,157.9185,15.3299,962.61,50000,10,-285.048095703125,10
1480.16,157.9191,15.9175,1049.82,55000,11,-305.1968994140625,11
1481.9,158.0529,15.8307,1044.13,60000,12,-340.9549255371094,12
1580.26,158.1137,16.5539,1144.99,65000,13,-353.9157409667969,13
1566.25,158.104,16.5995,1161.64,70000,14,-384.5384826660156,14
1648.53,158.128,16.6952,1208.0,75000,15,-409.2358703613281,15
1692.19,158.087,16.3144,1253.16,80000,16,-429.2189025878906,16
1734.03,157.9748,16.6327,1295.76,85000,17,-453.04559326171875,17
1808.17,157.9146,16.9445,1348.58,90000,18,-489.3175354003906,18
1785.81,158.0515,16.6451,1367.22,95000,19,-514.5296020507812,19
1791.24,158.0472,16.7207,1367.44,100000,20,-540.1693725585938,20
1811.24,157.9993,16.5918,1414.9,105000,21,-565.2116088867188,21
1802.79,157.9444,16.599,1437.98,110000,22,-593.0897827148438,22
1828.99,157.9592,16.7453,1460.57,115000,23,-608.3856811523438,23
1642.62,157.7808,16.62,1470.93,120000,24,-652.3871459960938,24
1865.69,157.8267,16.6935,1476.05,125000,25,-672.3895263671875,25
1872.17,157.8525,16.8066,1517.36,130000,26,-697.8355712890625,26
1878.98,158.1306,16.4704,1438.27,135000,27,-725.3414916992188,27
1937.13,157.8471,16.8706,1574.1,140000,28,-750.6626586914062,28
1919.04,157.7983,16.6432,1547.34,145000,29,-775.52392578125,29
