Itration,Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return,Running Env Steps,Running Update Time,Reward Loss
0,38.5507,253.99,17.9971,261.35,0,0,144.45745849609375
1,37.7951,277.44,20.1539,272.38,5000,1,133.81832885742188
2,36.5914,313.86,97.3845,326.08,10000,2,76.47421264648438
3,37.9134,307.38,27.8621,316.3,15000,3,108.34246063232422
4,36.5506,344.27,55.5936,341.13,20000,4,67.86383819580078
5,34.6496,361.35,47.2246,484.38,25000,5,95.24098205566406
6,34.7501,471.17,28.3418,513.0,30000,6,91.88755798339844
7,34.2834,364.49,24.0738,120.3,35000,7,112.52835083007812
8,33.8008,520.34,32.6207,523.47,40000,8,66.87692260742188
9,34.2541,619.82,18.4592,646.52,45000,9,75.3851089477539
10,32.4657,780.94,18.2042,864.99,50000,10,64.34587860107422
11,33.8089,848.79,16.1128,894.28,55000,11,56.4996223449707
12,34.0522,880.37,17.5305,1060.16,60000,12,50.36241149902344
13,34.3848,893.58,32.5089,949.08,65000,13,11.68519115447998
14,33.6536,1651.8,28.2699,2657.25,70000,14,-13.630788803100586
15,32.6774,1363.75,16.1892,1763.83,75000,15,39.38431930541992
16,33.2042,1251.71,17.0321,1461.02,80000,16,39.10600280761719
17,33.2258,1485.91,15.5438,2778.16,85000,17,21.926359176635742
18,33.798,995.51,19.3262,1311.57,90000,18,-10.679274559020996
19,32.7132,2652.66,17.2108,2697.23,95000,19,-11.462637901306152
20,32.6317,2582.34,17.6119,1746.07,100000,20,-9.864095687866211
21,33.3328,2477.22,16.2678,1695.77,105000,21,-9.031262397766113
22,33.1891,2530.77,23.6327,2753.61,110000,22,-26.37126350402832
23,32.2875,2156.43,26.1171,3059.91,115000,23,-44.23055648803711
24,31.4934,1909.87,22.9871,2754.13,120000,24,-32.24483108520508
25,32.5495,879.49,22.6947,916.76,125000,25,-6.407976150512695
26,32.4549,995.95,15.5302,1106.7,130000,26,55.86447525024414
27,33.6802,551.45,20.3971,576.04,135000,27,-30.560199737548828
28,35.2529,651.12,17.6394,674.71,140000,28,-6.804004192352295
29,33.0773,1445.51,25.5853,2174.94,145000,29,-99.68946838378906
30,33.1359,1135.44,21.0927,1075.69,150000,30,-78.74189758300781
31,32.961,1637.43,59.2601,1960.59,155000,31,-110.87822723388672
32,31.54,2851.8,18.4159,2828.52,160000,32,-50.388397216796875
33,31.8355,3066.57,19.2695,3042.82,165000,33,-44.12723922729492
34,33.2225,818.84,36.9294,974.44,170000,34,-61.661590576171875
35,32.2357,1546.99,30.0814,947.4,175000,35,-97.72770690917969
36,31.9104,2919.46,19.0743,2733.69,180000,36,-55.243350982666016
37,33.8514,638.82,26.0861,630.66,185000,37,-138.07151794433594
38,32.9962,1995.3,19.3986,3105.13,190000,38,-45.533695220947266
